lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1539CSD01_orange_sm,Size,1539CSD01_orange_sm,active,Maaji,PEQUEÑO,7702781056629,PEQUEÑO,155000,COP Price
1539CSD01_orange_md,Size,1539CSD01_orange_md,active,Maaji,MEDIO,7702781056636,MEDIO,155000,COP Price
1539CSD01_orange_lg,Size,1539CSD01_orange_lg,active,Maaji,GRANDE,7702781056643,GRANDE,155000,COP Price
1540CCT01_orange_sm,Size,1540CCT01_orange_sm,active,Maaji,PEQUEÑO,7702781058579,PEQUEÑO,120000,COP Price
1540CCT01_orange_md,Size,1540CCT01_orange_md,active,Maaji,MEDIO,7702781058586,MEDIO,120000,COP Price
1540CCT01_orange_lg,Size,1540CCT01_orange_lg,active,Maaji,GRANDE,7702781058593,GRANDE,120000,COP Price
1541CPA01_orange_sm,Size,1541CPA01_orange_sm,active,Maaji,PEQUEÑO,7702781056490,PEQUEÑO,180000,COP Price
1541CPA01_orange_md,Size,1541CPA01_orange_md,active,Maaji,MEDIO,7702781056506,MEDIO,180000,COP Price
1541CPA01_orange_lg,Size,1541CPA01_orange_lg,active,Maaji,GRANDE,7702781056513,GRANDE,180000,COP Price
1542CCT01_blue_sm,Size,1542CCT01_blue_sm,active,Maaji,PEQUEÑO,7702781058524,PEQUEÑO,120000,COP Price
1542CCT01_blue_md,Size,1542CCT01_blue_md,active,Maaji,MEDIO,7702781058531,MEDIO,120000,COP Price
1542CCT01_blue_lg,Size,1542CCT01_blue_lg,active,Maaji,GRANDE,7702781058548,GRANDE,120000,COP Price
1543CSH01_blue_sm,Size,1543CSH01_blue_sm,active,Maaji,PEQUEÑO,7702781056575,PEQUEÑO,95000,COP Price
1543CSH01_blue_md,Size,1543CSH01_blue_md,active,Maaji,MEDIO,7702781056582,MEDIO,95000,COP Price
1543CSH01_blue_lg,Size,1543CSH01_blue_lg,active,Maaji,GRANDE,7702781056599,GRANDE,95000,COP Price
1544CSD01_blue_sm,Size,1544CSD01_blue_sm,active,Maaji,PEQUEÑO,7702781058623,PEQUEÑO,155000,COP Price
1544CSD01_blue_md,Size,1544CSD01_blue_md,active,Maaji,MEDIO,7702781058630,MEDIO,155000,COP Price
1544CSD01_blue_lg,Size,1544CSD01_blue_lg,active,Maaji,GRANDE,7702781058647,GRANDE,155000,COP Price
2135SSF04_blue_sm,Size,2135SSF04_blue_sm,active,Maaji,PEQUEÑO,7702781057626,PEQUEÑO,125000,COP Price
2135SSF04_blue_md,Size,2135SSF04_blue_md,active,Maaji,MEDIO,7702781057633,MEDIO,125000,COP Price
2135SSF04_blue_lg,Size,2135SSF04_blue_lg,active,Maaji,GRANDE,7702781057640,GRANDE,125000,COP Price
2161SFA03_brown_sm,Size,2161SFA03_brown_sm,active,Maaji,PEQUEÑO,7702781057374,PEQUEÑO,135000,COP Price
2161SFA03_brown_md,Size,2161SFA03_brown_md,active,Maaji,MEDIO,7702781057381,MEDIO,135000,COP Price
2161SFA03_brown_lg,Size,2161SFA03_brown_lg,active,Maaji,GRANDE,7702781057398,GRANDE,135000,COP Price
2161SFA03_brown_xl,Size,2161SFA03_brown_xl,active,Maaji,EXTRA GRANDE,7702781057404,EXTRA GRANDE,135000,COP Price
2171SFH02_yellow_sm,Size,2171SFH02_yellow_sm,active,Maaji,PEQUEÑO,7702781057329,PEQUEÑO,135000,COP Price
2171SFH02_yellow_md,Size,2171SFH02_yellow_md,active,Maaji,MEDIO,7702781057336,MEDIO,135000,COP Price
2171SFH02_yellow_lg,Size,2171SFH02_yellow_lg,active,Maaji,GRANDE,7702781057343,GRANDE,135000,COP Price
2171SFH02_yellow_xl,Size,2171SFH02_yellow_xl,active,Maaji,EXTRA GRANDE,7702781057350,EXTRA GRANDE,135000,COP Price
2178SUN02_yellow_sm,Size,2178SUN02_yellow_sm,active,Maaji,PEQUEÑO,7702781057428,PEQUEÑO,100000,COP Price
2178SUN02_yellow_md,Size,2178SUN02_yellow_md,active,Maaji,MEDIO,7702781057435,MEDIO,100000,COP Price
2178SUN02_yellow_lg,Size,2178SUN02_yellow_lg,active,Maaji,GRANDE,7702781057442,GRANDE,100000,COP Price
2178SUN02_yellow_xl,Size,2178SUN02_yellow_xl,active,Maaji,EXTRA GRANDE,7702781057459,EXTRA GRANDE,100000,COP Price
2192SFT01_yellow_sm,Size,2192SFT01_yellow_sm,active,Maaji,PEQUEÑO,7702781057220,PEQUEÑO,115000,COP Price
