lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
2024SAC06_red,Colour,2024SAC06_red,active,Maaji,1,1,rojo,2024SAC06_red_sm|2024SAC06_red_md|2024SAC06_red_lg
2024SBC06_red,Colour,2024SBC06_red,active,Maaji,1,1,rojo,2024SBC06_red_sm|2024SBC06_red_md|2024SBC06_red_lg
2043SAC09_yellow,Colour,2043SAC09_yellow,active,Maaji,1,1,amarillo,2043SAC09_yellow_sm|2043SAC09_yellow_md|2043SAC09_yellow_lg
2043SBC09_yellow,Colour,2043SBC09_yellow,active,Maaji,1,1,amarillo,2043SBC09_yellow_sm|2043SBC09_yellow_md|2043SBC09_yellow_lg
2062SBC13_blue,Colour,2062SBC13_blue,active,Maaji,1,1,azul,2062SBC13_blue_sm|2062SBC13_blue_md|2062SBC13_blue_lg
2062SCC13_blue,Colour,2062SCC13_blue,active,Maaji,1,1,azul,2062SCC13_blue_sm|2062SCC13_blue_md|2062SCC13_blue_lg
2110SBC04_blue,Colour,2110SBC04_blue,active,Maaji,1,1,azul,2110SBC04_blue_sm|2110SBC04_blue_md|2110SBC04_blue_lg
2110SDC04_blue,Colour,2110SDC04_blue,active,Maaji,1,1,azul,2110SDC04_blue_sm|2110SDC04_blue_md|2110SDC04_blue_lg
2119SOH03_yellow,Colour,2119SOH03_yellow,active,Maaji,1,1,amarillo,2119SOH03_yellow_sm|2119SOH03_yellow_md|2119SOH03_yellow_lg
2119SOR03_yellow,Colour,2119SOR03_yellow,active,Maaji,1,1,amarillo,2119SOR03_yellow_sm|2119SOR03_yellow_md|2119SOR03_yellow_lg
2130SBC02_blue,Colour,2130SBC02_blue,active,Maaji,1,1,azul,2130SBC02_blue_sm|2130SBC02_blue_md|2130SBC02_blue_lg
2130SCC02_blue,Colour,2130SCC02_blue,active,Maaji,1,1,azul,2130SCC02_blue_sm|2130SCC02_blue_md|2130SCC02_blue_lg
2194SBC01_yellow,Colour,2194SBC01_yellow,active,Maaji,1,1,amarillo,2194SBC01_yellow_sm|2194SBC01_yellow_md|2194SBC01_yellow_lg
2194SDC01_yellow,Colour,2194SDC01_yellow,active,Maaji,1,1,amarillo,2194SDC01_yellow_sm|2194SDC01_yellow_md|2194SDC01_yellow_lg
3007SAC22_blue,Colour,3007SAC22_blue,active,Maaji,1,1,azul,3007SAC22_blue_sm|3007SAC22_blue_md|3007SAC22_blue_lg
3007SBC22_blue,Colour,3007SBC22_blue,active,Maaji,1,1,azul,3007SBC22_blue_sm|3007SBC22_blue_md|3007SBC22_blue_lg
3007SCC22_blue,Colour,3007SCC22_blue,active,Maaji,1,1,azul,3007SCC22_blue_sm|3007SCC22_blue_md|3007SCC22_blue_lg
3007SDC22_blue,Colour,3007SDC22_blue,active,Maaji,1,1,azul,3007SDC22_blue_sm|3007SDC22_blue_md|3007SDC22_blue_lg
3007SAC23_brown,Colour,3007SAC23_brown,active,Maaji,1,1,cafe,3007SAC23_brown_sm|3007SAC23_brown_md|3007SAC23_brown_lg
3007SBC23_brown,Colour,3007SBC23_brown,active,Maaji,1,1,cafe,3007SBC23_brown_sm|3007SBC23_brown_md|3007SBC23_brown_lg
3007SCC23_brown,Colour,3007SCC23_brown,active,Maaji,1,1,cafe,3007SCC23_brown_sm|3007SCC23_brown_md|3007SCC23_brown_lg
3007SDC23_brown,Colour,3007SDC23_brown,active,Maaji,1,1,cafe,3007SDC23_brown_sm|3007SDC23_brown_md|3007SDC23_brown_lg
3072SBC07_yellow,Colour,3072SBC07_yellow,active,Maaji,1,1,amarillo,3072SBC07_yellow_sm|3072SBC07_yellow_md|3072SBC07_yellow_lg
3072SCC07_yellow,Colour,3072SCC07_yellow,active,Maaji,1,1,amarillo,3072SCC07_yellow_sm|3072SCC07_yellow_md|3072SCC07_yellow_lg
