lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2024SAC06_red_sm,Size,2024SAC06_red_sm,active,Maaji,SMALL,7702781056728,SMALL,100000,COP Price
2024SAC06_red_md,Size,2024SAC06_red_md,active,Maaji,MEDIUM,7702781056735,MEDIUM,100000,COP Price
2024SAC06_red_lg,Size,2024SAC06_red_lg,active,Maaji,LARGE,7702781056742,LARGE,100000,COP Price
2024SBC06_red_sm,Size,2024SBC06_red_sm,active,Maaji,SMALL,7702781060497,SMALL,100000,COP Price
2024SBC06_red_md,Size,2024SBC06_red_md,active,Maaji,MEDIUM,7702781060503,MEDIUM,100000,COP Price
2024SBC06_red_lg,Size,2024SBC06_red_lg,active,Maaji,LARGE,7702781060510,LARGE,100000,COP Price
2043SAC09_yellow_sm,Size,2043SAC09_yellow_sm,active,Maaji,SMALL,7702781056773,SMALL,100000,COP Price
2043SAC09_yellow_md,Size,2043SAC09_yellow_md,active,Maaji,MEDIUM,7702781056780,MEDIUM,100000,COP Price
2043SAC09_yellow_lg,Size,2043SAC09_yellow_lg,active,Maaji,LARGE,7702781056797,LARGE,100000,COP Price
2043SBC09_yellow_sm,Size,2043SBC09_yellow_sm,active,Maaji,SMALL,7702781059323,SMALL,100000,COP Price
2043SBC09_yellow_md,Size,2043SBC09_yellow_md,active,Maaji,MEDIUM,7702781059330,MEDIUM,100000,COP Price
2043SBC09_yellow_lg,Size,2043SBC09_yellow_lg,active,Maaji,LARGE,7702781059347,LARGE,100000,COP Price
2062SBC13_blue_sm,Size,2062SBC13_blue_sm,active,Maaji,SMALL,7702781057572,SMALL,126000,COP Price
2062SBC13_blue_md,Size,2062SBC13_blue_md,active,Maaji,MEDIUM,7702781057589,MEDIUM,126000,COP Price
2062SBC13_blue_lg,Size,2062SBC13_blue_lg,active,Maaji,LARGE,7702781057596,LARGE,126000,COP Price
2062SCC13_blue_sm,Size,2062SCC13_blue_sm,active,Maaji,SMALL,7702781059378,SMALL,126000,COP Price
2062SCC13_blue_md,Size,2062SCC13_blue_md,active,Maaji,MEDIUM,7702781059385,MEDIUM,126000,COP Price
2062SCC13_blue_lg,Size,2062SCC13_blue_lg,active,Maaji,LARGE,7702781059392,LARGE,126000,COP Price
2110SBC04_blue_sm,Size,2110SBC04_blue_sm,active,Maaji,SMALL,7702781056674,SMALL,126000,COP Price
2110SBC04_blue_md,Size,2110SBC04_blue_md,active,Maaji,MEDIUM,7702781056681,MEDIUM,126000,COP Price
2110SBC04_blue_lg,Size,2110SBC04_blue_lg,active,Maaji,LARGE,7702781056698,LARGE,126000,COP Price
2110SDC04_blue_sm,Size,2110SDC04_blue_sm,active,Maaji,SMALL,7702781059279,SMALL,126000,COP Price
2110SDC04_blue_md,Size,2110SDC04_blue_md,active,Maaji,MEDIUM,7702781059286,MEDIUM,126000,COP Price
2110SDC04_blue_lg,Size,2110SDC04_blue_lg,active,Maaji,LARGE,7702781059293,LARGE,126000,COP Price
2119SOH03_yellow_sm,Size,2119SOH03_yellow_sm,active,Maaji,SMALL,7702781056827,SMALL,245000,COP Price
2119SOH03_yellow_md,Size,2119SOH03_yellow_md,active,Maaji,MEDIUM,7702781056834,MEDIUM,245000,COP Price
2119SOH03_yellow_lg,Size,2119SOH03_yellow_lg,active,Maaji,LARGE,7702781056841,LARGE,245000,COP Price
2119SOR03_yellow_sm,Size,2119SOR03_yellow_sm,active,Maaji,SMALL,7702781058975,SMALL,245000,COP Price
2119SOR03_yellow_md,Size,2119SOR03_yellow_md,active,Maaji,MEDIUM,7702781058982,MEDIUM,245000,COP Price
2119SOR03_yellow_lg,Size,2119SOR03_yellow_lg,active,Maaji,LARGE,7702781058999,LARGE,245000,COP Price
2130SBC02_blue_sm,Size,2130SBC02_blue_sm,active,Maaji,SMALL,7702781059224,SMALL,126000,COP Price
2130SBC02_blue_md,Size,2130SBC02_blue_md,active,Maaji,MEDIUM,7702781059231,MEDIUM,126000,COP Price
2130SBC02_blue_lg,Size,2130SBC02_blue_lg,active,Maaji,LARGE,7702781059248,LARGE,126000,COP Price
2130SCC02_blue_sm,Size,2130SCC02_blue_sm,active,Maaji,SMALL,7702781057121,SMALL,126000,COP Price
2130SCC02_blue_md,Size,2130SCC02_blue_md,active,Maaji,MEDIUM,7702781057138,MEDIUM,126000,COP Price
2130SCC02_blue_lg,Size,2130SCC02_blue_lg,active,Maaji,LARGE,7702781057145,LARGE,126000,COP Price
2194SBC01_yellow_sm,Size,2194SBC01_yellow_sm,active,Maaji,SMALL,7702781059422,SMALL,126000,COP Price
2194SBC01_yellow_md,Size,2194SBC01_yellow_md,active,Maaji,MEDIUM,7702781059439,MEDIUM,126000,COP Price
2194SBC01_yellow_lg,Size,2194SBC01_yellow_lg,active,Maaji,LARGE,7702781059446,LARGE,126000,COP Price
2194SDC01_yellow_sm,Size,2194SDC01_yellow_sm,active,Maaji,SMALL,7702781057473,SMALL,126000,COP Price
2194SDC01_yellow_md,Size,2194SDC01_yellow_md,active,Maaji,MEDIUM,7702781057480,MEDIUM,126000,COP Price
2194SDC01_yellow_lg,Size,2194SDC01_yellow_lg,active,Maaji,LARGE,7702781057497,LARGE,126000,COP Price
3007SAC22_blue_sm,Size,3007SAC22_blue_sm,active,Maaji,SMALL,7702781058876,SMALL,95000,COP Price
3007SAC22_blue_md,Size,3007SAC22_blue_md,active,Maaji,MEDIUM,7702781058883,MEDIUM,95000,COP Price
3007SAC22_blue_lg,Size,3007SAC22_blue_lg,active,Maaji,LARGE,7702781058890,LARGE,95000,COP Price
3007SBC22_blue_sm,Size,3007SBC22_blue_sm,active,Maaji,SMALL,7702781058272,SMALL,95000,COP Price
3007SBC22_blue_md,Size,3007SBC22_blue_md,active,Maaji,MEDIUM,7702781058289,MEDIUM,95000,COP Price
3007SBC22_blue_lg,Size,3007SBC22_blue_lg,active,Maaji,LARGE,7702781058296,LARGE,95000,COP Price
3007SCC22_blue_sm,Size,3007SCC22_blue_sm,active,Maaji,SMALL,7702781058920,SMALL,95000,COP Price
3007SCC22_blue_md,Size,3007SCC22_blue_md,active,Maaji,MEDIUM,7702781058937,MEDIUM,95000,COP Price
3007SCC22_blue_lg,Size,3007SCC22_blue_lg,active,Maaji,LARGE,7702781058944,LARGE,95000,COP Price
3007SDC22_blue_sm,Size,3007SDC22_blue_sm,active,Maaji,SMALL,7702781058821,SMALL,95000,COP Price
3007SDC22_blue_md,Size,3007SDC22_blue_md,active,Maaji,MEDIUM,7702781058838,MEDIUM,95000,COP Price
3007SDC22_blue_lg,Size,3007SDC22_blue_lg,active,Maaji,LARGE,7702781058845,LARGE,95000,COP Price
3007SAC23_brown_sm,Size,3007SAC23_brown_sm,active,Maaji,SMALL,7702781059125,SMALL,95000,COP Price
3007SAC23_brown_md,Size,3007SAC23_brown_md,active,Maaji,MEDIUM,7702781059132,MEDIUM,95000,COP Price
3007SAC23_brown_lg,Size,3007SAC23_brown_lg,active,Maaji,LARGE,7702781059149,LARGE,95000,COP Price
3007SBC23_brown_sm,Size,3007SBC23_brown_sm,active,Maaji,SMALL,7702781059026,SMALL,95000,COP Price
3007SBC23_brown_md,Size,3007SBC23_brown_md,active,Maaji,MEDIUM,7702781059033,MEDIUM,95000,COP Price
3007SBC23_brown_lg,Size,3007SBC23_brown_lg,active,Maaji,LARGE,7702781059040,LARGE,95000,COP Price
3007SCC23_brown_sm,Size,3007SCC23_brown_sm,active,Maaji,SMALL,7702781059071,SMALL,95000,COP Price
3007SCC23_brown_md,Size,3007SCC23_brown_md,active,Maaji,MEDIUM,7702781059088,MEDIUM,95000,COP Price
3007SCC23_brown_lg,Size,3007SCC23_brown_lg,active,Maaji,LARGE,7702781059095,LARGE,95000,COP Price
3007SDC23_brown_sm,Size,3007SDC23_brown_sm,active,Maaji,SMALL,7702781057275,SMALL,95000,COP Price
3007SDC23_brown_md,Size,3007SDC23_brown_md,active,Maaji,MEDIUM,7702781057282,MEDIUM,95000,COP Price
3007SDC23_brown_lg,Size,3007SDC23_brown_lg,active,Maaji,LARGE,7702781057299,LARGE,95000,COP Price
3072SBC07_yellow_sm,Size,3072SBC07_yellow_sm,active,Maaji,SMALL,7702781059477,SMALL,126000,COP Price
3072SBC07_yellow_md,Size,3072SBC07_yellow_md,active,Maaji,MEDIUM,7702781059484,MEDIUM,126000,COP Price
3072SBC07_yellow_lg,Size,3072SBC07_yellow_lg,active,Maaji,LARGE,7702781059491,LARGE,126000,COP Price
3072SCC07_yellow_sm,Size,3072SCC07_yellow_sm,active,Maaji,SMALL,7702781057671,SMALL,126000,COP Price
3072SCC07_yellow_md,Size,3072SCC07_yellow_md,active,Maaji,MEDIUM,7702781057688,MEDIUM,126000,COP Price
3072SCC07_yellow_lg,Size,3072SCC07_yellow_lg,active,Maaji,LARGE,7702781057695,LARGE,126000,COP Price
