lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
2024SAC06_red_sm,,19.5,20,0.19,,24,25,0.24
2024SAC06_red_md,,19.5,20,0.19,,24,25,0.24
2024SAC06_red_lg,,19.5,20,0.19,,24,25,0.24
2024SBC06_red_sm,,19.5,20,0.19,,24,25,0.24
2024SBC06_red_md,,19.5,20,0.19,,24,25,0.24
2024SBC06_red_lg,,19.5,20,0.19,,24,25,0.24
2043SAC09_yellow_sm,,19.5,20,0.19,,24,25,0.24
2043SAC09_yellow_md,,19.5,20,0.19,,24,25,0.24
2043SAC09_yellow_lg,,19.5,20,0.19,,24,25,0.24
2043SBC09_yellow_sm,,19.5,20,0.19,,24,25,0.24
2043SBC09_yellow_md,,19.5,20,0.19,,24,25,0.24
2043SBC09_yellow_lg,,19.5,20,0.19,,24,25,0.24
2062SBC13_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SBC13_blue_md,,19.5,20,0.19,,24,25,0.24
2062SBC13_blue_lg,,19.5,20,0.19,,24,25,0.24
2062SCC13_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SCC13_blue_md,,19.5,20,0.19,,24,25,0.24
2062SCC13_blue_lg,,19.5,20,0.19,,24,25,0.24
2110SBC04_blue_sm,,19.5,20,0.19,,24,25,0.24
2110SBC04_blue_md,,19.5,20,0.19,,24,25,0.24
2110SBC04_blue_lg,,19.5,20,0.19,,24,25,0.24
2110SDC04_blue_sm,,19.5,20,0.19,,24,25,0.24
2110SDC04_blue_md,,19.5,20,0.19,,24,25,0.24
2110SDC04_blue_lg,,19.5,20,0.19,,24,25,0.24
2119SOH03_yellow_sm,,19.5,20,0.19,,24,25,0.24
2119SOH03_yellow_md,,19.5,20,0.19,,24,25,0.24
2119SOH03_yellow_lg,,19.5,20,0.19,,24,25,0.24
2119SOR03_yellow_sm,,19.5,20,0.19,,24,25,0.24
2119SOR03_yellow_md,,19.5,20,0.19,,24,25,0.24
2119SOR03_yellow_lg,,19.5,20,0.19,,24,25,0.24
2130SBC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2130SBC02_blue_md,,19.5,20,0.19,,24,25,0.24
2130SBC02_blue_lg,,19.5,20,0.19,,24,25,0.24
2130SCC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2130SCC02_blue_md,,19.5,20,0.19,,24,25,0.24
2130SCC02_blue_lg,,19.5,20,0.19,,24,25,0.24
2194SBC01_yellow_sm,,19.5,20,0.19,,24,25,0.24
2194SBC01_yellow_md,,19.5,20,0.19,,24,25,0.24
2194SBC01_yellow_lg,,19.5,20,0.19,,24,25,0.24
2194SDC01_yellow_sm,,19.5,20,0.19,,24,25,0.24
2194SDC01_yellow_md,,19.5,20,0.19,,24,25,0.24
2194SDC01_yellow_lg,,19.5,20,0.19,,24,25,0.24
3007SAC22_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SAC22_blue_md,,19.5,20,0.19,,24,25,0.24
3007SAC22_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SBC22_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SBC22_blue_md,,19.5,20,0.19,,24,25,0.24
3007SBC22_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SCC22_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SCC22_blue_md,,19.5,20,0.19,,24,25,0.24
3007SCC22_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SDC22_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SDC22_blue_md,,19.5,20,0.19,,24,25,0.24
3007SDC22_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SAC23_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SAC23_brown_md,,19.5,20,0.19,,24,25,0.24
3007SAC23_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SBC23_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SBC23_brown_md,,19.5,20,0.19,,24,25,0.24
3007SBC23_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SCC23_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SCC23_brown_md,,19.5,20,0.19,,24,25,0.24
3007SCC23_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SDC23_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SDC23_brown_md,,19.5,20,0.19,,24,25,0.24
3007SDC23_brown_lg,,19.5,20,0.19,,24,25,0.24
3072SBC07_yellow_sm,,19.5,20,0.19,,24,25,0.24
3072SBC07_yellow_md,,19.5,20,0.19,,24,25,0.24
3072SBC07_yellow_lg,,19.5,20,0.19,,24,25,0.24
3072SCC07_yellow_sm,,19.5,20,0.19,,24,25,0.24
3072SCC07_yellow_md,,19.5,20,0.19,,24,25,0.24
3072SCC07_yellow_lg,,19.5,20,0.19,,24,25,0.24
