lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
1467CCT01_blue_sm,CO,1467CCT01_blue_sm,10,in_stock,dynamic,10
1467CCT01_blue_md,CO,1467CCT01_blue_md,9,in_stock,dynamic,9
1467CCT01_blue_lg,CO,1467CCT01_blue_lg,6,in_stock,dynamic,6
1468CPA01_blue_sm,CO,1468CPA01_blue_sm,4,in_stock,dynamic,4
1468CPA01_blue_md,CO,1468CPA01_blue_md,7,in_stock,dynamic,7
1468CPA01_blue_lg,CO,1468CPA01_blue_lg,11,in_stock,dynamic,11
1470CRO01_blue_sm,CO,1470CRO01_blue_sm,22,in_stock,dynamic,22
1470CRO01_blue_md,CO,1470CRO01_blue_md,3,in_stock,dynamic,3
1470CRO01_blue_lg,CO,1470CRO01_blue_lg,8,in_stock,dynamic,8
1438CSD02_blue_sm,CO,1438CSD02_blue_sm,12,in_stock,dynamic,12
1438CSD02_blue_md,CO,1438CSD02_blue_md,8,in_stock,dynamic,8
1438CSD02_blue_lg,CO,1438CSD02_blue_lg,5,in_stock,dynamic,5
1464CPA01_pink_sm,CO,1464CPA01_pink_sm,4,in_stock,dynamic,4
1464CPA01_pink_md,CO,1464CPA01_pink_md,23,in_stock,dynamic,23
1464CPA01_pink_lg,CO,1464CPA01_pink_lg,2,in_stock,dynamic,2
1471CSD01_blue_sm,CO,1471CSD01_blue_sm,5,in_stock,dynamic,5
1471CSD01_blue_md,CO,1471CSD01_blue_md,4,in_stock,dynamic,4
1471CSD01_blue_lg,CO,1471CSD01_blue_lg,7,in_stock,dynamic,7
1472CSD01_blue_sm,CO,1472CSD01_blue_sm,9,in_stock,dynamic,9
1472CSD01_blue_md,CO,1472CSD01_blue_md,15,in_stock,dynamic,15
1472CSD01_blue_lg,CO,1472CSD01_blue_lg,20,in_stock,dynamic,20
1469CKS01_blue_sm,CO,1469CKS01_blue_sm,10,in_stock,dynamic,10
1469CKS01_blue_md,CO,1469CKS01_blue_md,9,in_stock,dynamic,9
1469CKS01_blue_lg,CO,1469CKS01_blue_lg,6,in_stock,dynamic,6
1461CSD01_pink_sm,CO,1461CSD01_pink_sm,4,in_stock,dynamic,4
1461CSD01_pink_md,CO,1461CSD01_pink_md,7,in_stock,dynamic,7
1461CSD01_pink_lg,CO,1461CSD01_pink_lg,11,in_stock,dynamic,11
