lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
3039SBC02_purple_sm,,19.5,20,0.19,,24,25,0.24
3039SBC02_purple_md,,19.5,20,0.19,,24,25,0.24
3039SBC02_purple_lg,,19.5,20,0.19,,24,25,0.24
3039SDC02_purple_sm,,19.5,20,0.19,,24,25,0.24
3039SDC02_purple_md,,19.5,20,0.19,,24,25,0.24
3039SDC02_purple_lg,,19.5,20,0.19,,24,25,0.24
1930SBC01_purple_sm,,19.5,20,0.19,,24,25,0.24
1930SBC01_purple_md,,19.5,20,0.19,,24,25,0.24
1930SBC01_purple_lg,,19.5,20,0.19,,24,25,0.24
1930SCC01_purple_sm,,19.5,20,0.19,,24,25,0.24
1930SCC01_purple_md,,19.5,20,0.19,,24,25,0.24
1930SCC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2110SBC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2110SBC01_purple_md,,19.5,20,0.19,,24,25,0.24
2110SBC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2110SDC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2110SDC01_purple_md,,19.5,20,0.19,,24,25,0.24
2110SDC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2114SBC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2114SBC01_purple_md,,19.5,20,0.19,,24,25,0.24
2114SBC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2114SCC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2114SCC01_purple_md,,19.5,20,0.19,,24,25,0.24
2114SCC01_purple_lg,,19.5,20,0.19,,24,25,0.24
3044SBC01_red_sm,,19.5,20,0.19,,24,25,0.24
3044SBC01_red_md,,19.5,20,0.19,,24,25,0.24
3044SBC01_red_lg,,19.5,20,0.19,,24,25,0.24
3044SCC01_red_sm,,19.5,20,0.19,,24,25,0.24
3044SCC01_red_md,,19.5,20,0.19,,24,25,0.24
3044SCC01_red_lg,,19.5,20,0.19,,24,25,0.24
2120SAC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2120SAC01_purple_md,,19.5,20,0.19,,24,25,0.24
2120SAC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2120SBC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2120SBC01_purple_md,,19.5,20,0.19,,24,25,0.24
2120SBC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2116SBC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2116SBC01_purple_md,,19.5,20,0.19,,24,25,0.24
2116SBC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2116SDC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2116SDC01_purple_md,,19.5,20,0.19,,24,25,0.24
2116SDC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2047SAC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2047SAC02_blue_md,,19.5,20,0.19,,24,25,0.24
2047SAC02_blue_lg,,19.5,20,0.19,,24,25,0.24
2047SBC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2047SBC02_blue_md,,19.5,20,0.19,,24,25,0.24
2047SBC02_blue_lg,,19.5,20,0.19,,24,25,0.24
3008SCC01_blue_sm,,19.5,20,0.19,,24,25,0.24
3008SCC01_blue_md,,19.5,20,0.19,,24,25,0.24
3008SCC01_blue_lg,,19.5,20,0.19,,24,25,0.24
3052SBC01_blue_sm,,19.5,20,0.19,,24,25,0.24
3052SBC01_blue_md,,19.5,20,0.19,,24,25,0.24
3052SBC01_blue_lg,,19.5,20,0.19,,24,25,0.24
3052SDC01_blue_sm,,19.5,20,0.19,,24,25,0.24
3052SDC01_blue_md,,19.5,20,0.19,,24,25,0.24
3052SDC01_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SAC06_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SAC06_blue_md,,19.5,20,0.19,,24,25,0.24
3007SAC06_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SBC06_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SBC06_blue_md,,19.5,20,0.19,,24,25,0.24
3007SBC06_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SCC06_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SCC06_blue_md,,19.5,20,0.19,,24,25,0.24
3007SCC06_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SDC06_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SDC06_blue_md,,19.5,20,0.19,,24,25,0.24
3007SDC06_blue_lg,,19.5,20,0.19,,24,25,0.24
1943SAC01_blue_sm,,19.5,20,0.19,,24,25,0.24
1943SAC01_blue_md,,19.5,20,0.19,,24,25,0.24
1943SAC01_blue_lg,,19.5,20,0.19,,24,25,0.24
1943SBC01_blue_sm,,19.5,20,0.19,,24,25,0.24
1943SBC01_blue_md,,19.5,20,0.19,,24,25,0.24
1943SBC01_blue_lg,,19.5,20,0.19,,24,25,0.24
2062SBC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SBC02_blue_md,,19.5,20,0.19,,24,25,0.24
2062SBC02_blue_lg,,19.5,20,0.19,,24,25,0.24
2062SDC02_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SDC02_blue_md,,19.5,20,0.19,,24,25,0.24
2062SDC02_blue_lg,,19.5,20,0.19,,24,25,0.24
