lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1049TSS04_blue_sm,,60,70,0.2,,65,75,0.22
1049TSS04_blue_md,,60,70,0.2,,65,75,0.22
1049TSS04_blue_lg,,60,70,0.2,,65,75,0.22
1049TSS04_blue_xl,,60,70,0.2,,65,75,0.22
1049TSS03_green_sm,,60,70,0.2,,65,75,0.22
1049TSS03_green_md,,60,70,0.2,,65,75,0.22
1049TSS03_green_lg,,60,70,0.2,,65,75,0.22
1049TSS03_green_xl,,60,70,0.2,,65,75,0.22
1049TSS02_red_sm,,60,70,0.2,,65,75,0.22
1049TSS02_red_md,,60,70,0.2,,65,75,0.22
1049TSS02_red_lg,,60,70,0.2,,65,75,0.22
1049TSS02_red_xl,,60,70,0.2,,65,75,0.22
1046TSF04_wine_sm,,60,70,0.2,,65,75,0.22
1046TSF04_wine_md,,60,70,0.2,,65,75,0.22
1046TSF04_wine_lg,,60,70,0.2,,65,75,0.22
1046TSF04_wine_xl,,60,70,0.2,,65,75,0.22
1046TSF03_blue_sm,,60,70,0.2,,65,75,0.22
1046TSF03_blue_md,,60,70,0.2,,65,75,0.22
1046TSF03_blue_lg,,60,70,0.2,,65,75,0.22
1046TSF03_blue_xl,,60,70,0.2,,65,75,0.22
1042TRS03_red_sm,,60,70,0.2,,65,75,0.22
1042TRS03_red_md,,60,70,0.2,,65,75,0.22
1042TRS03_red_lg,,60,70,0.2,,65,75,0.22
1042TRS03_red_xl,,60,70,0.2,,65,75,0.22
1042TRS02_blue_sm,,60,70,0.2,,65,75,0.22
1042TRS02_blue_md,,60,70,0.2,,65,75,0.22
1042TRS02_blue_lg,,60,70,0.2,,65,75,0.22
1042TRS02_blue_xl,,60,70,0.2,,65,75,0.22
1041TBS03_green_sm,,60,70,0.2,,65,75,0.22
1041TBS03_green_md,,60,70,0.2,,65,75,0.22
1041TBS03_green_lg,,60,70,0.2,,65,75,0.22
1041TBS03_green_xl,,60,70,0.2,,65,75,0.22
1041TBS02_red_sm,,60,70,0.2,,65,75,0.22
1041TBS02_red_md,,60,70,0.2,,65,75,0.22
1041TBS02_red_lg,,60,70,0.2,,65,75,0.22
1041TBS02_red_xl,,60,70,0.2,,65,75,0.22
1038TSL03_red_sm,,60,70,0.2,,65,75,0.22
1038TSL03_red_md,,60,70,0.2,,65,75,0.22
1038TSL03_red_lg,,60,70,0.2,,65,75,0.22
1038TSL03_red_xl,,60,70,0.2,,65,75,0.22
1038TSL02_green_sm,,60,70,0.2,,65,75,0.22
1038TSL02_green_md,,60,70,0.2,,65,75,0.22
1038TSL02_green_lg,,60,70,0.2,,65,75,0.22
1038TSL02_green_xl,,60,70,0.2,,65,75,0.22
1372CSH02_white_sm,,23,23,0.22,,27,27,0.25
1372CSH02_white_md,,23,23,0.22,,27,27,0.25
1372CSH02_white_lg,,23,23,0.22,,27,27,0.25
1422CSD04_purple_sm,,23,23,0.22,,27,27,0.25
1422CSD04_purple_md,,23,23,0.22,,27,27,0.25
1422CSD04_purple_lg,,23,23,0.22,,27,27,0.25
1438CSD05_red_sm,,23,23,0.22,,27,27,0.25
1438CSD05_red_md,,23,23,0.22,,27,27,0.25
1438CSD05_red_lg,,23,23,0.22,,27,27,0.25
1442CSH05_purple_sm,,23,23,0.22,,27,27,0.25
1442CSH05_purple_md,,23,23,0.22,,27,27,0.25
1442CSH05_purple_lg,,23,23,0.22,,27,27,0.25
1442CSH06_blue_sm,,23,23,0.22,,27,27,0.25
1442CSH06_blue_md,,23,23,0.22,,27,27,0.25
