lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1049TSS04,3 Level Product Style,1049TSS04,active,Maaji,TRUNKS > MENS SPORTY SHORTS,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,SUMMER,TRUNKS,BEACH REPEAT,MEN,active,2018,6203430000,1049TSS04_blue
1049TSS03,3 Level Product Style,1049TSS03,active,Maaji,TRUNKS > MENS SPORTY SHORTS,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,SUMMER,TRUNKS,JOY QUEST,MEN,active,2018,6203430000,1049TSS03_blue
1049TSS02,3 Level Product Style,1049TSS02,active,Maaji,TRUNKS > MENS SPORTY SHORTS,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,SUMMER,TRUNKS,CHASING THE WILD,MEN,active,2018,6203430000,1049TSS02_red
1046TSF04,3 Level Product Style,1046TSF04,active,Maaji,TRUNKS > MENS SURF,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,SEEK THE SEA,MEN,active,2018,6203430000,1046TSF04_purple
1046TSF03,3 Level Product Style,1046TSF03,active,Maaji,TRUNKS > MENS SURF,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,SANDED MULTICOLOR,MEN,active,2018,6203430000,1046TSF03_blue
1042TRS03,3 Level Product Style,1042TRS03,active,Maaji,TRUNKS > MENS REVERSIBLE,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,SPEECHLESS,MEN,active,2018,6203430000,1042TRS03_red
1042TRS02,3 Level Product Style,1042TRS02,active,Maaji,TRUNKS > MENS REVERSIBLE,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,BLUE SKY BLUE,MEN,active,2018,6203430000,1042TRS02_blue
1041TBS03,3 Level Product Style,1041TBS03,active,Maaji,TRUNKS > MENS BOARD SHORT,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,SOULIOURNER,MEN,active,2018,6203430000,1041TBS03_black
1041TBS02,3 Level Product Style,1041TBS02,active,Maaji,TRUNKS > MENS BOARD SHORT,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,SUMMER,TRUNKS,OCEANAHOLIC,MEN,active,2018,6203430000,1041TBS02_red
1038TSL03,3 Level Product Style,1038TSL03,active,Maaji,TRUNKS > MENS EMBROIDERY,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 97% NYLON 1% POLYESTER 1% ACRYLIC 1% POLIETILENO WOVEN,SUMMER,TRUNKS,ADMIRABLE LANDSCAPE,MEN,active,2018,6203430000,1038TSL03_red
1038TSL02,3 Level Product Style,1038TSL02,active,Maaji,TRUNKS > MENS EMBROIDERY,default,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 97% NYLON 1% POLYESTER 1% ACRYLIC 1% POLIETILENO WOVEN,SUMMER,TRUNKS,THE WANDERERS,MEN,active,2018,6203430000,1038TSL02_blue
1372CSH02,3 Level Product Style,1372CSH02,active,Maaji,COVER UPS > WOMEN SHORTS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SHORT 98% NYLON 2% SPANDEX KNIT,SUMMER,COVER UPS,WHITE - SAND,WOMEN,active,2018,6104630000,1372CSH02_black
1422CSD04,3 Level Product Style,1422CSD04,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,SUMMER,COVER UPS,BRILLIANT CACTUS,WOMEN,active,2018,6104430000,1422CSD04_purple
