lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
3007SAC14_red,Colour,3007SAC14_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_1.jpg,3007SAC14_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_2.jpg,3007SAC14_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_5.jpg,3007SAC14_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_6.jpg,3007SAC14_red_6,,,,,,,,red,3007SAC14_red_xs|3007SAC14_red_sm|3007SAC14_red_md|3007SAC14_red_lg|3007SAC14_red_xl
3007SBC14_red,Colour,3007SBC14_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_1.jpg,3007SBC14_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_2.jpg,3007SBC14_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_5.jpg,3007SBC14_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_6.jpg,3007SBC14_red_6,,,,,,,,red,3007SBC14_red_xs|3007SBC14_red_sm|3007SBC14_red_md|3007SBC14_red_lg|3007SBC14_red_xl
3007SCC14_red,Colour,3007SCC14_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_1.jpg,3072SCC14_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_2.jpg,3007SCC14_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_5.jpg,3007SCC14_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_6.jpg,3007SCC14_red_6,,,,,,,,red,3007SCC14_red_xs|3007SCC14_red_sm|3007SCC14_red_md|3007SCC14_red_lg|3007SCC14_red_xl
3007SDC14_red,Colour,3007SDC14_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_1.jpg,3007SDC14_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_2.jpg,3007SDC14_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_5.jpg,3007SDC14_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_red_6.jpg,3007SDC14_red_6,,,,,,,,red,3007SDC14_red_xs|3007SDC14_red_sm|3007SDC14_red_md|3007SDC14_red_lg|3007SDC14_red_xl
3013SBC03_red,Colour,3013SBC03_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801571/Summer2018/3013SBC03_3013SCC03_red_1.jpg,3013SBC03_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3013SBC03_3013SCC03_red_2.jpg,3013SBC03_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801589/Summer2018/3013SBC03_3013SCC03_red_5.jpg,3013SBC03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801582/Summer2018/3013SBC03_3013SCC03_red_6.jpg,3013SBC03_red_6,,,,,,,,red,3013SBC03_red_xs|3013SBC03_red_sm|3013SBC03_red_md|3013SBC03_red_lg|3013SBC03_red_xl
3013SCC03_red,Colour,3013SCC03_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801571/Summer2018/3013SBC03_3013SCC03_red_1.jpg,3013SCC03_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3013SBC03_3013SCC03_red_2.jpg,3013SCC03_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801589/Summer2018/3013SBC03_3013SCC03_red_5.jpg,3013SCC03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801582/Summer2018/3013SBC03_3013SCC03_red_6.jpg,3013SCC03_red_6,,,,,,,,red,3013SCC03_red_xs|3013SCC03_red_sm|3013SCC03_red_md|3013SCC03_red_lg|3013SCC03_red_xl
3007SAC15_red,Colour,3007SAC15_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SAC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SAC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SAC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SAC15_red_6,,,,,,,,red,3007SAC15_red_xs|3007SAC15_red_sm|3007SAC15_red_md|3007SAC15_red_lg|3007SAC15_red_xl
3007SBC15_red,Colour,3007SBC15_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SBC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SBC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SBC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SBC15_red_6,,,,,,,,red,3007SBC15_red_xs|3007SBC15_red_sm|3007SBC15_red_md|3007SBC15_red_lg|3007SBC15_red_xl
3007SCC15_red,Colour,3007SCC15_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SCC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SCC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SCC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SCC15_red_6,,,,,,,,red,3007SCC15_red_xs|3007SCC15_red_sm|3007SCC15_red_md|3007SCC15_red_lg|3007SCC15_red_xl
3007SDC15_red,Colour,3007SDC15_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SDC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SDC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SDC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SDC15_red_6,,,,,,,,red,3007SDC15_red_xs|3007SDC15_red_sm|3007SDC15_red_md|3007SDC15_red_lg|3007SDC15_red_xl
