lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SAC14_red_xs,Size,3007SAC14_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SAC14_red_sm,Size,3007SAC14_red_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SAC14_red_md,Size,3007SAC14_red_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SAC14_red_lg,Size,3007SAC14_red_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SAC14_red_xl,Size,3007SAC14_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SBC14_red_xs,Size,3007SBC14_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SBC14_red_sm,Size,3007SBC14_red_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SBC14_red_md,Size,3007SBC14_red_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SBC14_red_lg,Size,3007SBC14_red_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SBC14_red_xl,Size,3007SBC14_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SCC14_red_xs,Size,3007SCC14_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SCC14_red_sm,Size,3007SCC14_red_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SCC14_red_md,Size,3007SCC14_red_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SCC14_red_lg,Size,3007SCC14_red_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SCC14_red_xl,Size,3007SCC14_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
3007SDC14_red_xs,Size,3007SDC14_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,95000,COP Price
3007SDC14_red_sm,Size,3007SDC14_red_sm,active,Maaji,7.7E+17,SMALL,95000,COP Price
3007SDC14_red_md,Size,3007SDC14_red_md,active,Maaji,7.7E+17,MEDIUM,95000,COP Price
3007SDC14_red_lg,Size,3007SDC14_red_lg,active,Maaji,7.7E+17,LARGE,95000,COP Price
3007SDC14_red_xl,Size,3007SDC14_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,95000,COP Price
