lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.string,attribute.saya_fabric_content.single_option,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.string,attribute.saya_product_line.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
SHIMMERING COGNAC SUBLIME,4 Level Product Style,SHIMMERING COGNAC SUBLIME,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,SHIMMERING COGNAC SUBLIME,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3007SAC14|3007SBC14|3007SCC14|3007SDC14
DAHLIA RENDEZVOUS,4 Level Product Style,DAHLIA RENDEZVOUS,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,DAHLIA RENDEZVOUS,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3013SBC03|3013SCC03
DAHLIA SUBLIME,4 Level Product Style,DAHLIA SUBLIME,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,DAHLIA SUBLIME,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,3007SAC15|3007SBC15|3007SCC15|3007SDC15
CAPE LA VELA,4 Level Product Style,CAPE LA VELA,active,Maaji,WOMENS ONE PIECE/REGULAR RISE,default,Colombia,SUMMER 2018,Colombia,WOMENS SWIMWEAR ONE PIECE 85%NYLON 12%SPANDEX 1% POLYESTER 1%PET 1%ACRYLIC KNIT,SWIMWEAR,SWIMWEAR,CAPE LA VELA,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2166SOR01|2166SOH01
GUAJIRA PARK,4 Level Product Style,GUAJIRA PARK,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,GUAJIRA PARK,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2043SBC05|2043SCC05
RED LEAVES,4 Level Product Style,RED LEAVES,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 83% NYLON 17% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,RED LEAVES,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2168SBC01|2168SCC01
CURUBA TROPICA,4 Level Product Style,CURUBA TROPICA,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,CURUBA TROPICA,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2062SBC09|2062SCC09
CORAL REEF TOUCAN,4 Level Product Style,CORAL REEF TOUCAN,active,Maaji,WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,CORAL REEF TOUCAN,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2024SAC05|2024SBC05
FLOWERY KNOTS,4 Level Product Style,FLOWERY KNOTS,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,FLOWERY KNOTS,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2061SBC02|2061SCC02
ANDALUSIA FRILLS,4 Level Product Style,ANDALUSIA FRILLS,active,Maaji,WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,Colombia,WOMENS BOTTOM SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SWIMWEAR,SWIMWEAR,ANDALUSIA FRILLS,WOMEN,SWIMWEAR,active,2018,61.12.41.00.00,2172SBC01|2172SDC01
