Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,variation_children_code
9088KST03-blue,Colour,9088KST03-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST03_blue_3.jpg,9088KST03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517515710/Summer2018/9088KST03_blue_4.jpg,9088KST03_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1517515712/Summer2018/9088KST03_blue_5.jpg,9088KST03_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517515712/Summer2018/9088KST03_blue_6.jpg,9088KST03_blue_6,,,,,blue,9088KST03-blue-2-3k|9088KST03-blue-4-6k|9088KST03-blue-8-10k|9088KST03-blue-12-14k|9088KST03-blue-16-18k
9088KST02-red,Colour,9088KST02-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9088KST02_red_3.jpg,9088KST02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517515710/Summer2018/9088KST02_red_4.jpg,9088KST02_red_4,,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST02_red_5.jpg,9088KST02_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST02_red_6.jpg,9088KST02_red_6,,,,,red,9088KST02-red-2-3k|9088KST02-red-4-6k|9088KST02-red-8-10k|9088KST02-red-12-14k|9088KST02-red-16-18K
9086KST02-blue,Colour,9086KST02-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST02_blue_3.jpg,9086KST02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST02_blue_4.jpg,9086KST02_blue_4,,,,,,,,,,,blue,9086KST02-blue-2-3k|9086KST02-blue-4-6k|9086KST02-blue-8-10k|9086KST02-blue-12-14k|9086KST02-blue-16-18k
9086KST03-blue,Colour,9086KST03-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST03_blue_3.jpg,9086KST03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517515709/Summer2018/9086KST03_blue_4.jpg,9086KST_blue_4,,,,,,,,,,,blue,9086KST03-blue-2-3k|9086KST03-blue-4-6k|9086KST03-blue-8-10k|9086KST03-blue-12-14k|9086KST03-blue-16-18k
1049TSS04-blue,Colour,1049TSS04-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494183/Summer2018/1049TSS04_blue_3.jpg,1049TSS04_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494184/Summer2018/1049TSS04_blue_4.jpg,1049TSS04_blue_4,,,,,,,,,,,blue,1049TSS04-blue-xs|1049TSS04-blue-sm|1049TSS04-blue-md|1049TSS04-blue-lg|1049TSS04-blue-xl
1049TSS03-blue,Colour,1049TSS03-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494183/Summer2018/1049TSS03_blue_3.jpg,1049TSS03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494186/Summer2018/1049TSS03_blue_4.jpg,1049TSS03_blue_4,,,,,,,,,,,blue,1049TSS03-blue-xs|1049TSS03-blue-sm|1049TSS03-blue-md|1049TSS03-blue-lg|1049TSS03-blue-xl
1049TSS02-red,Colour,1049TSS02-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494182/Summer2018/1049TSS02_red_3.jpg,1049TSS02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517494181/Summer2018/1049TSS02_red_4.jpg,1049TSS02_red_4,,,,,,,,,,,red,1049TSS02-red-xs|1049TSS02-red-sm|1049TSS02-red-md|1049TSS02-red-lg|1049TSS02-red-xl
1046TSF04-purple,Colour,1046TSF04-purple,active,Maaji,http://res.cloudinary.com/maaji/image/upload/v1517494177/Summer2018/1046TSF04_purple_3.jpg,1046TSF04_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517494179/Summer2018/1046TSF04_purple_4.jpg,1046TSF04_purple_4,,,,,,,,,,,purple,1046TSF04-purple-xs|1046TSF04-purple-sm|1046TSF04-purple-md|1046TSF04-purple-lg|1046TSF04-purple-xl
1046TSF03-blue,Colour,1046TSF03-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494179/Summer2018/1046TSF03_blue_3.jpg,1046TSF03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494181/Summer2018/1046TSF03_blue_4.jpg,1046TSF03_blue_4,,,,,,,,,,,blue,1046TSF03-blue-xs|1046TSF03-blue-sm|1046TSF03-blue-md|1046TSF03-blue-lg|1046TSF03-blue-xl
