lv1_code,product_class_name,name,status,attribute.saya_product_status.string,brand,co_online,delivery_returns,description,fabric_care,online_description,online_name,short_description,size_fit,us_online,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_group.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,imag3.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,group_member_code
3060SFA03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_3.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_4.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786916/Summer2018/3060SFA03_3007SDC14_red_5.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_6.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_7.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,http://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_8.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,3060SFA03|SHIMMERING COGNAC SUBLIME
1520SFH03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517761351/Summer2018/1520SFH03_3007SAC14_3007SBC14_red_3.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761347/Summer2018/1520SFH03_3007SAC14_3007SBC14_red_4.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761361/Summer2018/1520SFH03_3007SDC14_red_5.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761362/Summer2018/1520SFH03_3007SDC14_red_6.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,,,,,,,1520SFH03|SHIMMERING COGNAC SUBLIME
3047SFH03-DAHLIA RENDEZVOUS,Sets,DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1518788600/Summer2018/3047SFH03_3013SCC03_red_3.jpg,3047SFH03_DAHLIA_RENDEZVOUS,,https://res.cloudinary.com/maaji/image/upload/v1518788599/Summer2018/3047SFH03_3013SCC03_red_4.jpg,3047SFH03_DAHLIA_RENDEZVOUS,,https://res.cloudinary.com/maaji/image/upload/v1518788601/Summer2018/3047SFH03_3013SCC03_red_5.jpg,3047SFH03_DAHLIA_RENDEZVOUS,,https://res.cloudinary.com/maaji/image/upload/v1518788601/Summer2018/3047SFH03_3013SCC03_red_6.jpg,3047SFH03_DAHLIA_RENDEZVOUS,,,,,,,,3047SFH03|DAHLIA RENDEZVOUS
3059SFT02-DAHLIA SUBLIME,Sets,DAHLIA BASKET-DAHLIA SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,DAHLIA BASKET-DAHLIA SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1518974014/Summer2018/3059SFT02_3007SAC15_red_3.jpg,3059SFT02_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518974018/Summer2018/3059SFT02_3007SAC15_red_4.jpg,3059SFT02-DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518974023/Summer2018/3059SFT02_3007SAC15_red_5.jpg,3059SFT02_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518974023/Summer2018/3059SFT02_3007SAC15_red_6.jpg,3059SFT02_DAHLIA_SUBLIME,,,,,,,,3059SFT02|DAHLIA SUBLIME
3062SBA01-DAHLIA SUBLIME,Sets,DAHLIA RUCHED-DAHLIA SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,DAHLIA RUCHED-DAHLIA SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007_SAC15_red_5.jpg,3062SBA01_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007_SAC15_red_6.jpg,3062SBA01_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007_SAC15_red_7.jpg,3062SBA01_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007_SAC15_red_8.jpg,3062SBA01_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007SAC15_red_3.jpg,3062SBA01_DAHLIA_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007SAC15_red_4.jpg,3062SBA01_DAHLIA_SUBLIME,,3062SBA01|DAHLIA SUBLIME
2169SBA01-FLOWERY KNOTS,Sets,FLOWERY KNOTS-FLOWERY KNOTS,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,FLOWERY KNOTS-FLOWERY KNOTS,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517838639/Summer2018/2169SBA01_2061SBC02_red_3.jpg,2169SBA01_FLOWERY_KNOTS,,https://res.cloudinary.com/maaji/image/upload/v1517840649/Summer2018/2169SBA01_2061SCC02_red_8.jpg,2169SBA01_FLOWERY_KNOTS,,https://res.cloudinary.com/maaji/image/upload/v1517838640/Summer2018/2169SBA01_2061SBC02_red_7.jpg,2169SBA01_FLOWERY_KNOTS,,https://res.cloudinary.com/maaji/image/upload/v1517840649/Summer2018/2169SBA01_2061SCC02_red_4.jpg,2169SBA01_FLOWERY_KNOTS,,,,,,,,2169SBA01|FLOWERY KNOTS
2171SFH01-WAYUU ALLURE,Sets,WAYUU ALLURE-WAYUU ALLURE,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,WAYUU ALLURE-WAYUU ALLURE,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517859443/Summer2018/2171SFH01_2114SAC03_red_3.jpg,2171SFH01_WAYUU_ALLURE,,https://res.cloudinary.com/maaji/image/upload/v1517861959/Summer2018/2171SFH01_2114SBC03_red_4.jpg,2171SFH01_WAYUU_ALLURE,,https://res.cloudinary.com/maaji/image/upload/v1518974901/Summer2018/2171SFH01_2114SBC03_red_7.jpg,2171SFH01_WAYUU_ALLURE,,https://res.cloudinary.com/maaji/image/upload/v1518975033/Summer2018/2171SFH01_2114SBC03_red_8.jpg,2171SFH01_WAYUU_ALLURE,,,,,,,,2171SFH01|WAYUU ALLURE
3063SBR01-METEORITE SUBLIME,Sets,METEORITE DUNES-METEORITE SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,METEORITE DUNES-METEORITE SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517522442/Summer2018/3063SBR01_3007SBC16_black_3.jpg,3063SBR01_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522446/Summer2018/3063SBR01_3007SBC16_black_4.jpg,3063SBR01_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522447/Summer2018/3063SBR01_3007SBC16_black_5.jpg,3063SBR01_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522452/Summer2018/3063SBR01_3007SBC16_black_6.jpg,3063SBR01_METEORITE_SUBLIME,,,,,,,,3063SBR01|METEORITE SUBLIME
3042SFH02-METEORITE SUBLIME,Sets,METEORITE VALLEY-METEORITE SUBLIME,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,METEORITE VALLEY-METEORITE SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517522431/Summer2018/3042SFH02_3007SBC16_black_3.jpg,3042SFH02_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522434/Summer2018/3042SFH02_3007SBC16_black_4.jpg,3042SFH02_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522433/Summer2018/3042SFH02_3007SBC16_black_5.jpg,3042SFH02_METEORITE_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517522434/Summer2018/3042SFH02_3007SBC16_black_6.jpg,3042SFH02_METEORITE_SUBLIME,,,,,,,,3042SFH02|METEORITE SUBLIME
3066SUN01-METEORITE FLIRT,Sets,METEORITE SWELL-METEORITE FLIRT,active,active,Maaji,,,,,,,,,,SUMMER 2018,COLOMBIA,SUMMER,METEORITE SWELL-METEORITE FLIRT,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517522450/Summer2018/3066SUN01_3039SDC04_black_3.jpg,3066SUN01_METEORITE_FLIRT,,https://res.cloudinary.com/maaji/image/upload/v1517522449/Summer2018/3066SUN01_3039SDC04_black_4.jpg,3066SUN01_METEORITE_FLIRT,,https://res.cloudinary.com/maaji/image/upload/v1517522450/Summer2018/3066SUN01_3039SDC04_black_5.jpg,3066SUN01_METEORITE_FLIRT,,https://res.cloudinary.com/maaji/image/upload/v1517522451/Summer2018/3066SUN01_3039SDC04_black_6.jpg,3066SUN01_METEORITE_FLIRT,,,,,,,,3066SUN01|METEORITE FLIRT
