lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
,,,,,,,,
1233XTW02,2.3,20,15,5.2,2.1,3.1,0.3,2.4
1238XCP05,,,,,,,,
1238XCP06,,,,,,,,
1244XPK02,,,,,,,,
1245XVR02,,,,,,,,
1268XWK01,,,,,,,,
1269XBP01,,,,,,,,
1270XTE01,,,,,,,,
1273XCP01,,,,,,,,
1273XCP02,,,,,,,,
1505CPR01,,,,,,,,
1510CPR01,,,,,,,,
1515CPR01,,,,,,,,
1520CPR01,,,,,,,,
,,,,,,,,
1250XTR01,,,,,,,,
1254XPK01,,,,,,,,
1231XCP01,,,,,,,,
1246XPK01,,,,,,,,
1230XTE01,,,,,,,,
1247XPK01,,,,,,,,
1251XPK01,,,,,,,,
1235XTW01,,,,,,,,
1238XCP02,,,,,,,,
1238XCP01,,,,,,,,
1231XCP03,,,,,,,,
1231XCP02,,,,,,,,
1237XTC01,,,,,,,,
1253XPK01,,,,,,,,
1258XPK01,,,,,,,,
1248XPK01,,,,,,,,
1229XWK01,,,,,,,,
1257XHA01,,,,,,,,
1255XHA01,,,,,,,,
1252XPK01,,,,,,,,
1241XTE01,,,,,,,,
1245XVR01,,,,,,,,
1232XPK01,,,,,,,,
1249XVR01,,,,,,,,
1233XTW01,,,,,,,,
1244XPK01,,,,,,,,
1242XTR02,,,,,,,,
1242XTR01,,,,,,,,
1243XBP01,,,,,,,,
