lv1_code,product_class_name,name,status,brand,co_online,country_of_origin,description,fabric_care,online_description,online_name,page_description,page_keywords,page_url,short_description,size_fit,tax_class,us_online,category.1.path,category.1.category_set,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1233XTW02,Single Level Product Style,1233XTW02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,BEACH TOWEL 100% POLYESTER WOVEN,SUMMER,ACCESORIES,SANDWAVES BEACH TOWEL,WOMEN,active,2018,63.07.90.90.00,https://res.cloudinary.com/maaji/image/upload/v1517700023/Summer2018/1233XTW02_orange_9.jpg,1233XTW02_orange_9,yes,,,,,,,,,,,,,orange,7702781030902,ONE SIZE,85000,COP Price
1238XCP05,Single Level Product Style,1238XCP05,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SUMMER 2018,COLOMBIA,WOMENS VISOR 100% POLYESTER WOVEN,SUMMER,ACCESORIES,OASIS KNOT VISOR,WOMEN,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700099/Summer2018/1238XCP05_red_9.jpg,1238XCP05_red_9,yes,,,,,,,,,,,,,red,7702781029944,ONE SIZE,45000,COP Price
1238XCP06,Single Level Product Style,1238XCP06,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SUMMER 2018,COLOMBIA,WOMENS VISOR 100% POLYESTER WOVEN,SUMMER,ACCESORIES,WINE KNOT VISOR,WOMEN,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700119/Summer2018/1238XCP06_blue_9.jpg,1238XCP06_blue_9,yes,,,,,,,,,,,,,blue,7702781029937,ONE SIZE,45000,COP Price
1244XPK02,Single Level Product Style,1244XPK02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,WOMENS ORGANIZER 100% POLYESTER WOVEN,SUMMER,ACCESORIES,ASSORTED FESTIVAL BIKINI BAG,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700195/Summer2018/1244XPK02_assorted_9.jpg,1244XPK02_assorted_9,,,,,,,,,,,,,,black,7702781029876,ONE SIZE,47000,COP Price
1245XVR02,Single Level Product Style,1245XVR02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,WOMENS TOTE 100% POLYESTER WOVEN,SUMMER,ACCESORIES,ASSORTED ROLL ME UP,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700251/Summer2018/1245XVR02_assorted_10.jpg,1245XVR02_assorted_10,,https://res.cloudinary.com/maaji/image/upload/v1517700158/Summer2018/1245XVR02_assorted_9.jpg,1245XVR02_assorted_9,,https://res.cloudinary.com/maaji/image/upload/v1517700292/Summer2018/1245XVR02_assorted_11.jpg,1245XVR02_assorted_11,,https://res.cloudinary.com/maaji/image/upload/v1517700302/Summer2018/1245XVR02_assorted_12.jpg,1245XVR02_assorted_12,,https://res.cloudinary.com/maaji/image/upload/v1517700313/Summer2018/1245XVR02_assorted_13.jpg,1245XVR02_assorted_13,,red,7702781030285,ONE SIZE,71000,COP Price
1268XWK01,Single Level Product Style,1268XWK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,DUFFLE 46% NYLON 36% POLYESTER 7% COTTON 7% VISCOSE 4% SPANDEX WOVEN,SUMMER,ACCESORIES,MISTERY LOVELY WEEKENDER,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700911/Summer2018/1268XWK01_black_9.jpg,1268XWK01_black_9,yes,,,,,,,,,,,,,black,7702781028756,ONE SIZE,250000,COP Price
1269XBP01,Single Level Product Style,1269XBP01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,WOMENS BACKPACK 52% NYLON 44% POLYESTER 4% SPANDEX WOVEN,SUMMER,ACCESORIES,MISTERY BACPACK,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700682/Summer2018/1269XBP01_black_9.jpg,1269XBP01_black_9,yes,,,,,,,,,,,,,black,7702781043407,ONE SIZE,149000,COP Price
1270XTE01,Single Level Product Style,1270XTE01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SUMMER 2018,COLOMBIA,WOMENS BAG 50% POLYESTER 43% COTTON 7% LINEN WOVEN,SUMMER,ACCESORIES,CORAL TREASURES BEACH BAG,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700817/Summer2018/1270XTE01_red_9.jpg,1270XTE01_red_9,,https://res.cloudinary.com/maaji/image/upload/v1517700922/Summer2018/1270XTE01_red_10.jpg,1270XTE01_red_109,,,,,,,,,,,red,7702781029852,ONE SIZE,138000,COP Price
1273XCP01,Single Level Product Style,1273XCP01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SUMMER 2018,COLOMBIA,WOMENS CAP 100% POLYESTER WOVEN,SUMMER,ACCESORIES,MISTERY KNOT CAP,WOMEN,active,2018,65.06.99.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700916/Summer2018/1273XCP01_black_9.jpg,1273XCP01_black_9,yes,,,,,,,,,,,,,black,7702781029852,ONE SIZE,45000,COP Price
1273XCP02,Single Level Product Style,1273XCP02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SUMMER 2018,COLOMBIA,WOMENS CAP 100% POLYESTER WOVEN,SUMMER,ACCESORIES,EXOTIC KNOT CAP,WOMEN,active,2018,65.06.99.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700929/Summer2018/1273XCP02_orange_9.jpg,1273XCP02_orange_9,yes,,,,,,,,,,,,,orange,7702781030254,ONE SIZE,45000,COP Price
