lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
9088KST03-blue-2-3k,Size,9088KST03-blue-2-3K,active,Maaji,770000000000000000,2-3KIDS,90000,COP Price
9088KST03-blue-4-6k,Size,9088KST03-blue-4-6K,active,Maaji,770000000000000000,4-6KIDS,90000,COP Price
9088KST03-blue-8-10k,Size,9088KST03-blue-8-10K,active,Maaji,770000000000000000,8-10KIDS,90000,COP Price
9088KST03-blue-12-14k,Size,9088KST03-blue-12-14K,active,Maaji,770000000000000000,12-14KIDS,90000,COP Price
9088KST03-blue-16-18k,Size,9088KST03-blue-16-18K,active,Maaji,770000000000000000,16-18KIDS,90000,COP Price
9088KST02-red-2-3k,Size,9088KST02-red-2-3-k,active,Maaji,770000000000000000,2-3KIDS,90000,COP Price
9088KST02-red-4-6k,Size,9088KST02-red-4-6K,active,Maaji,770000000000000000,4-6KIDS,90000,COP Price
9088KST02-red-8-10k,Size,9088KST02-red-8-10K,active,Maaji,770000000000000000,8-10KIDS,90000,COP Price
9088KST02-red-12-14k,Size,9088KST02-red-12-14K,active,Maaji,770000000000000000,12-14KIDS,90000,COP Price
9088KST02-red-16-18K,Size,9088KST02-red-16-18K,active,Maaji,770000000000000000,16-18KIDS,90000,COP Price
9086KST03-blue-2-3k,Size,9086KST03-blue-2-3K,active,Maaji,770000000000000000,2-3KIDS,90000,COP Price
9086KST03-blue-4-6k,Size,9086KST03-blue-4-6K,active,Maaji,770000000000000000,4-6KIDS,90000,COP Price
9086KST03-blue-8-10k,Size,9086KST03-blue-8-10K,active,Maaji,770000000000000000,8-10KIDS,90000,COP Price
9086KST03-blue-12-14k,Size,9086KST03-blue-12-14K,active,Maaji,770000000000000000,12-14KIDS,90000,COP Price
9086KST03-blue-16-18k,Size,9086KST03-blue-16-18K,active,Maaji,770000000000000000,16-18KIDS,90000,COP Price
9086KST02-blue-2-3k,Size,9086KST02-blue-2-3K,active,Maaji,770000000000000000,2-3KIDS,90000,COP Price
9086KST02-blue-4-6k,Size,9086KST02-blue-4-6K,active,Maaji,770000000000000000,4-6KIDS,90000,COP Price
9086KST02-blue-8-10k,Size,9086KST02-blue-8-10K,active,Maaji,770000000000000000,8-10KIDS,90000,COP Price
9086KST02-blue-12-14k,Size,9086KST02-blue-12-14K,active,Maaji,770000000000000000,12-14KIDS,90000,COP Price
9086KST02-blue-16-18k,Size,9086KST02-blue-16-18K,active,Maaji,770000000000000000,16-18KIDS,90000,COP Price
1049TSS04-blue-xl,Size,1049TSS04-blue-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1049TSS03-blue-xs,Size,1049TSS03-blue-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1049TSS03-blue-sm,Size,1049TSS03-blue-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1049TSS03-blue-md,Size,1049TSS03-blue-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1049TSS03-blue-lg,Size,1049TSS03-blue-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1049TSS03-blue-xl,Size,1049TSS03-blue-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1049TSS02-red-xs,Size,1049TSS02-red-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1049TSS02-red-sm,Size,1049TSS02-red-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1049TSS02-red-md,Size,1049TSS02-red-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1049TSS02-red-lg,Size,1049TSS02-red-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1049TSS02-red-xl,Size,1049TSS02-red-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1046TSF04-purple-xs,Size,1046TSF04-purple-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1046TSF04-purple-sm,Size,1046TSF04-purple-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1046TSF04-purple-md,Size,1046TSF04-purple-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1046TSF04-purple-lg,Size,1046TSF04-purple-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1046TSF04-purple-xl,Size,1046TSF04-purple-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1046TSF03-blue-xs,Size,1046TSF03-blue-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1046TSF03-blue-sm,Size,1046TSF03-blue-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1046TSF03-blue-md,Size,1046TSF03-blue-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1046TSF03-blue-lg,Size,1046TSF03-blue-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1046TSF03-blue-xl,Size,1046TSF03-blue-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1042TRS03-red-xs,Size,1042TRS03-red-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1042TRS03-red-sm,Size,1042TRS03-red-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1042TRS03-red-md,Size,1042TRS03-red-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1042TRS03-red-lg,Size,1042TRS03-red-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1042TRS03-red-xl,Size,1042TRS03-red-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1042TRS02-black-xs,Size,1042TRS02-black-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1042TRS02-black-sm,Size,1042TRS02-black-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1042TRS02-black-md,Size,1042TRS02-black-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1042TRS02-black-lg,Size,1042TRS02-black-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1042TRS02-black-xl,Size,1042TRS02-black-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1041TBS03-black-xs,Size,1041TBS03-black-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1041TBS03-black-sm,Size,1041TBS03-black-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1041TBS03-black-md,Size,1041TBS03-black-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1041TBS03-black-lg,Size,1041TBS03-black-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1041TBS03-black-xl,Size,1041TBS03-black-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1041TBS02-black-xs,Size,1041TBS02-black-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1041TBS02-black-sm,Size,1041TBS02-black-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1041TBS02-black-md,Size,1041TBS02-black-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1041TBS02-black-lg,Size,1041TBS02-black-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1041TBS02-black-xl,Size,1041TBS02-black-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1038TSL03-red-xs,Size,1038TSL03-red-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1038TSL03-red-sm,Size,1038TSL03-red-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1038TSL03-red-md,Size,1038TSL03-red-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1038TSL03-red-lg,Size,1038TSL03-red-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1038TSL03-red-xl,Size,1038TSL03-red-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1038TSL02-blue-xs,Size,1038TSL02-blue-XS,active,Maaji,770000000000000000,EXTRA SMALL,90000,COP Price
1038TSL02-blue-sm,Size,1038TSL02-blue-SM,active,Maaji,770000000000000000,SMALL,90000,COP Price
1038TSL02-blue-md,Size,1038TSL02-blue-MD,active,Maaji,770000000000000000,MEDIUM,90000,COP Price
1038TSL02-blue-lg,Size,1038TSL02-blue-LG,active,Maaji,770000000000000000,LARGE,90000,COP Price
1038TSL02-blue-xl,Size,1038TSL02-blue-XL,active,Maaji,770000000000000000,EXTRA LARGE,90000,COP Price
1372CSH02-black-xs,Size,1372CSH02-black-XS,active,Maaji,77000000000000000000,EXTRA SMALL,90000,COP Price
