lv1_code,product_class_name,name,status,attribute.saya_product_status.string,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.text,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_group.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_season.single_option,group_member_code
3045SFT01-JUNEBERRY FLIRT,Sets,JUNEBERRY DELIGHTFUL-JUNEBERRY FLIRT,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>JUNEBERRY DELIGHTFUL-JUNEBERRY FLIRT</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Fixed Triangle top<br/>Ruffles detail<br/>Removable soft pads<br/>Back clip closure<br/>Demi coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Seamless<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",JUNEBERRY DELIGHTFUL-JUNEBERRY FLIRT,"TOP:
Reversible
Fixed Triangle top
Ruffles detail
Removable soft pads
Back Clip Closure
Demi coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>JUNEBERRY DELIGHTFUL-JUNEBERRY FLIRT</h4>,WOMEN,2018,3045sft01|juneberry_flirt
3046SHN01-JUNEBERRY SUBLIME,Sets,JUNEBERRY JAZZY-JUNEBERRY SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>JUNEBERRY JAZZY-JUNEBERRY SUBLIME</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>High neck top<br/>Removable soft pads<br/>Adjustable criss cross back<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Seamless<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",JUNEBERRY JAZZY-JUNEBERRY SUBLIME,"TOP:
Removable soft pads
Adjustable criss cross back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>JUNEBERRY JAZZY-JUNEBERRY SUBLIME</h4>,WOMEN,2018,3046shn01|juneberry_sublime
3012SFH02-JUNEBERRY FLIRT,Sets,JUNEBERRY ALLURE-JUNEBERRY FLIRT,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>JUNEBERRY ALLURE-JUNEBERRY FLIRT</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>4 ways top (wear it to back and front)<br/>Halter top<br/>Lace up with tie strings<br/>Removable Soft Pads<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Seamless<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",JUNEBERRY ALLURE-JUNEBERRY FLIRT,"TOP:
4 ways top (wear it to back and front)
Halter top
Lace up with tie strings
Removable Soft Pads
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>JUNEBERRY ALLURE-JUNEBERRY FLIRT</h4>,WOMEN,2018,3012sfh02|juneberry_flirt
3049SFA01-CINNAMON SUBLIME,Sets,CINNAMON DIVINE-CINNAMON SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON DIVINE-CINNAMON SUBLIME</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>4 ways top (wear it to back and front)<br/>Removable Soft Pads<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Seamless<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",CINNAMON DIVINE-CINNAMON SUBLIME,"TOP:
Removable Soft Pads
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>CINNAMON DIVINE-CINNAMON SUBLIME</h4>,WOMEN,2018,3049sfa01|cinnamon_sublime
3047SFH01-CINNAMON SUBLIME,Sets,CINNAMON SANDCASTLE-CINNAMON SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON SANDCASTLE-CINNAMON SUBLIME</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Criss cross back string with lace up<br/>Pleated on mid-front<br/>Grommet details on back<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Seamless<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",CINNAMON SANDCASTLE-CINNAMON SUBLIME,"TOP:
Reversible
Bralette top
Removable soft pads
Criss cross back string with lace up
Pleated on mid-front
Grommet details on back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>CINNAMON SANDCASTLE-CINNAMON SUBLIME</h4>,WOMEN,2018,3047sfh01|cinnamon_sublime
3048SUN01-CINNAMON SUNNY,Sets,CINNAMON LOVELY-CINNAMON SUNNY,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON LOVELY-CINNAMON SUNNY</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Underwire top<br/>Without molded cups<br/>Adjustable criss cross back<br/>Medium coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Ties at sides<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",CINNAMON LOVELY-CINNAMON SUNNY,"TOP:
Underwire top
Without molded cups
Adjustable criss cross back
Medium coverage at front 
Made in Colombia

BOTTOM: 
Reversible
Ties at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>CINNAMON LOVELY-CINNAMON SUNNY</h4>,WOMEN,2018,3048sun01|cinnamon_sunny
2115SSE01-BRISTLE GARDENS,Sets,BRISTLE GARDENS-BRISTLE GARDENS,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BRISTLE GARDENS-BRISTLE GARDENS</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Sliding triangle top<br/>Adjustable criss cross back<br/>Crochet trim detail straps<br/>Demi coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Ties at sides<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",BRISTLE GARDENS-BRISTLE GARDENS,"TOP:
Reversible
Sliding triangle top
Adjustable criss cross back
Crochet trim detail straps
Demi coverage at front
Made in Colombia

BOTTOM: 
Reversible
Ties at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>BRISTLE GARDENS-BRISTLE GARDENS</h4>,WOMEN,2018,2115sse01|bristle_gardens
2117SSP01-ROSE VELVET,Sets,ROSE VELVET-ROSE VELVET,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ROSE VELVET-ROSE VELVET</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Pullover<br/>Fixed criss cross back<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",ROSE VELVET-ROSE VELVET,"TOP:
Reversible
Bralette top
Removable soft pads
Pullover
Fixed criss cross back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>ROSE VELVET-ROSE VELVET</h4>,WOMEN,2018,2117ssp01|rose_velvet
1916SFH02-ARUSI MERLOT,Sets,ARUSI MERLOT-ARUSI MERLOT,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ARUSI MERLOT-ARUSI MERLOT</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Fixed Halter top<br/>Removable soft pads<br/>Pullover<br/>Fixed criss cross back<br/>Full coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",ARUSI MERLOT-ARUSI MERLOT,"TOP:
Reversible
Fixed Halter top
Removable soft pads
Pullover
Fixed criss cross back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>ARUSI MERLOT-ARUSI MERLOT</h4>,WOMEN,2018,1916sfh02|arusi_merlot
2113SFT01-CINNAMON ATTILA,Sets,CINNAMON ATTILA-CINNAMON ATTILA,active,active,Maaji,Colombia,1,1,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON ATTILA-CINNAMON ATTILA</h4>,,"<h3>TOP</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>
<br/>
<h3>BOTTOM</h3>
<br/>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>","<h3>TOP</h3>
<br/>Reversible<br/>Fixed Triangle top<br/>Ruffles detail<br/>Removable soft pads<br/>Back clip closure<br/>Demi coverage at front<br/>Made in Colombia</p>
<br/>
<h3>BOTTOM</h3>
<br/>Reversible<br/>Adjustable at sides<br/>Low rise<br/>Coverage depends on the cut of the bottom<br/>Made in Colombia</p>",CINNAMON ATTILA-CINNAMON ATTILA,"TOP:
Reversible
Fixed Triangle top
Ruffles detail
Removable soft pads
Back Clip Closure
Demi coverage at front
Made in Colombia

BOTTOM: 
Reversible
Adjustable at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,SPRING 2018,COLOMBIA,,<h4>CINNAMON ATTILA-CINNAMON ATTILA</h4>,WOMEN,2018,2113sft01|cinnamon_attila
