lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
1539csd01_anaranjado,Colour,1539CSD01_ANARANJADO,active,Maaji,1,1,,1539csd01_anaranjado_sm|1539csd01_anaranjado_md|1539csd01_anaranjado_lg
1540cct01_anaranjado,Colour,1540CCT01_ANARANJADO,active,Maaji,1,1,,1540cct01_anaranjado_sm|1540cct01_anaranjado_md|1540cct01_anaranjado_lg
1541cpa01_anaranjado,Colour,1541CPA01_ANARANJADO,active,Maaji,1,1,,1541cpa01_anaranjado_sm|1541cpa01_anaranjado_md|1541cpa01_anaranjado_lg
1542cct01_azul,Colour,1542CCT01_AZUL,active,Maaji,1,1,,1542cct01_azul_sm|1542cct01_azul_md|1542cct01_azul_lg
1543csh01_azul,Colour,1543CSH01_AZUL,active,Maaji,1,1,,1543csh01_azul_sm|1543csh01_azul_md|1543csh01_azul_lg
1544csd01_azul,Colour,1544CSD01_AZUL,active,Maaji,1,1,,1544csd01_azul_sm|1544csd01_azul_md|1544csd01_azul_lg
2135ssf04_azul,Colour,2135SSF04_AZUL,active,Maaji,1,1,,2135ssf04_azul_sm|2135ssf04_azul_md|2135ssf04_azul_lg
2161sfa03_cafe,Colour,2161SFA03_CAFE,active,Maaji,1,1,,2161sfa03_cafe_sm|2161sfa03_cafe_md|2161sfa03_cafe_lg|2161sfa03_cafe_xl
2171sfh02_amarillo,Colour,2171SFH02_AMARILLO,active,Maaji,1,1,,2171sfh02_amarillo_sm|2171sfh02_amarillo_md|2171sfh02_amarillo_lg|2171sfh02_amarillo_xl
2178sun02_amarillo,Colour,2178SUN02_AMARILLO,active,Maaji,1,1,,2178sun02_amarillo_sm|2178sun02_amarillo_md|2178sun02_amarillo_lg|2178sun02_amarillo_xl
2192sft01_amarillo,Colour,2192SFT01_AMARILLO,active,Maaji,1,1,,2192sft01_amarillo_sm|2192sft01_amarillo_md|2192sft01_amarillo_lg|2192sft01_amarillo_xl
2193sfa01_cafe,Colour,2193SFA01_CAFE,active,Maaji,1,1,,2193sfa01_cafe_sm|2193sfa01_cafe_md|2193sfa01_cafe_lg|2193sfa01_cafe_xl
2195sra01_azul,Colour,2195SRA01_AZUL,active,Maaji,1,1,,2195sra01_azul_sm|2195sra01_azul_md|2195sra01_azul_lg|2195sra01_azul_xl
2196slt01_azul,Colour,2196SLT01_AZUL,active,Maaji,1,1,,2196slt01_azul_sm|2196slt01_azul_md|2196slt01_azul_lg|2196slt01_azul_xl
3012sfh06_azul,Colour,3012SFH06_AZUL,active,Maaji,1,1,,3012sfh06_azul_sm|3012sfh06_azul_md|3012sfh06_azul_lg|3012sfh06_azul_xl
3042sfh04_cafe,Colour,3042SFH04_CAFE,active,Maaji,1,1,,3042sfh04_cafe_sm|3042sfh04_cafe_md|3042sfh04_cafe_lg|3042sfh04_cafe_xl
3061ssp02_azul,Colour,3061SSP02_AZUL,active,Maaji,1,1,,3061ssp02_azul_sm|3061ssp02_azul_md|3061ssp02_azul_lg|3061ssp02_azul_xl
3062sba02_amarillo,Colour,3062SBA02_AMARILLO,active,Maaji,1,1,,3062sba02_amarillo_sm|3062sba02_amarillo_md|3062sba02_amarillo_lg|3062sba02_amarillo_xl
3063sbr03_cafe,Colour,3063SBR03_CAFE,active,Maaji,1,1,,3063sbr03_cafe_sm|3063sbr03_cafe_md|3063sbr03_cafe_lg|3063sbr03_cafe_xl
3071sse01_amarillo,Colour,3071SSE01_AMARILLO,active,Maaji,1,1,,3071sse01_amarillo_sm|3071sse01_amarillo_md|3071sse01_amarillo_lg|3071sse01_amarillo_xl
