lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1539csd01_ anaranjado_sm,Size,1539CSD01  ANARANJADO SM,active,Maaji,,,
1539csd01_ anaranjado_md,Size,1539CSD01  ANARANJADO MD,active,Maaji,,,
1539csd01_ anaranjado_lg,Size,1539CSD01  ANARANJADO LG,active,Maaji,,,
1540cct01_ anaranjado_sm,Size,1540CCT01  ANARANJADO SM,active,Maaji,,,
1540cct01_ anaranjado_md,Size,1540CCT01  ANARANJADO MD,active,Maaji,,,
1540cct01_ anaranjado_lg,Size,1540CCT01  ANARANJADO LG,active,Maaji,,,
1541cpa01_ anaranjado_sm,Size,1541CPA01  ANARANJADO SM,active,Maaji,,,
1541cpa01_ anaranjado_md,Size,1541CPA01  ANARANJADO MD,active,Maaji,,,
1541cpa01_ anaranjado_lg,Size,1541CPA01  ANARANJADO LG,active,Maaji,,,
1542cct01_azul_sm,Size,1542CCT01 AZUL SM,active,Maaji,,,
1542cct01_azul_md,Size,1542CCT01 AZUL MD,active,Maaji,,,
1542cct01_azul_lg,Size,1542CCT01 AZUL LG,active,Maaji,,,
1543csh01_azul_sm,Size,1543CSH01 AZUL SM,active,Maaji,,,
1543csh01_azul_md,Size,1543CSH01 AZUL MD,active,Maaji,,,
1543csh01_azul_lg,Size,1543CSH01 AZUL LG,active,Maaji,,,
1544csd01_azul_sm,Size,1544CSD01 AZUL SM,active,Maaji,,,
1544csd01_azul_md,Size,1544CSD01 AZUL MD,active,Maaji,,,
1544csd01_azul_lg,Size,1544CSD01 AZUL LG,active,Maaji,,,
2135ssf04_azul_sm,Size,2135SSF04 AZUL SM,active,Maaji,,,
2135ssf04_azul_md,Size,2135SSF04 AZUL MD,active,Maaji,,,
2135ssf04_azul_lg,Size,2135SSF04 AZUL LG,active,Maaji,,,
2161sfa03_cafe_sm,Size,2161SFA03 CAFE SM,active,Maaji,,,
2161sfa03_cafe_md,Size,2161SFA03 CAFE MD,active,Maaji,,,
2161sfa03_cafe_lg,Size,2161SFA03 CAFE LG,active,Maaji,,,
2161sfa03_cafe_xl,Size,2161SFA03 CAFE XL,active,Maaji,,,
2171sfh02_amarillo_sm,Size,2171SFH02 AMARILLO SM,active,Maaji,,,
2171sfh02_amarillo_md,Size,2171SFH02 AMARILLO MD,active,Maaji,,,
2171sfh02_amarillo_lg,Size,2171SFH02 AMARILLO LG,active,Maaji,,,
2171sfh02_amarillo_xl,Size,2171SFH02 AMARILLO XL,active,Maaji,,,
2178sun02_amarillo_sm,Size,2178SUN02 AMARILLO SM,active,Maaji,,,
2178sun02_amarillo_md,Size,2178SUN02 AMARILLO MD,active,Maaji,,,
2178sun02_amarillo_lg,Size,2178SUN02 AMARILLO LG,active,Maaji,,,
2178sun02_amarillo_xl,Size,2178SUN02 AMARILLO XL,active,Maaji,,,
2192sft01_amarillo_sm,Size,2192SFT01 AMARILLO SM,active,Maaji,,,
2192sft01_amarillo_md,Size,2192SFT01 AMARILLO MD,active,Maaji,,,
2192sft01_amarillo_lg,Size,2192SFT01 AMARILLO LG,active,Maaji,,,
2192sft01_amarillo_xl,Size,2192SFT01 AMARILLO XL,active,Maaji,,,
2193sfa01_cafe_sm,Size,2193SFA01 CAFE SM,active,Maaji,,,
2193sfa01_cafe_md,Size,2193SFA01 CAFE MD,active,Maaji,,,
2193sfa01_cafe_lg,Size,2193SFA01 CAFE LG,active,Maaji,,,
2193sfa01_cafe_xl,Size,2193SFA01 CAFE XL,active,Maaji,,,
2195sra01_azul_sm,Size,2195SRA01 AZUL SM,active,Maaji,,,
2195sra01_azul_md,Size,2195SRA01 AZUL MD,active,Maaji,,,
2195sra01_azul_lg,Size,2195SRA01 AZUL LG,active,Maaji,,,
2195sra01_azul_xl,Size,2195SRA01 AZUL XL,active,Maaji,,,
2196slt01_azul_sm,Size,2196SLT01 AZUL SM,active,Maaji,,,
2196slt01_azul_md,Size,2196SLT01 AZUL MD,active,Maaji,,,
2196slt01_azul_lg,Size,2196SLT01 AZUL LG,active,Maaji,,,
2196slt01_azul_xl,Size,2196SLT01 AZUL XL,active,Maaji,,,
3012sfh06_azul_sm,Size,3012SFH06 AZUL SM,active,Maaji,,,
3012sfh06_azul_md,Size,3012SFH06 AZUL MD,active,Maaji,,,
3012sfh06_azul_lg,Size,3012SFH06 AZUL LG,active,Maaji,,,
3012sfh06_azul_xl,Size,3012SFH06 AZUL XL,active,Maaji,,,
3042sfh04_cafe_sm,Size,3042SFH04 CAFE SM,active,Maaji,,,
3042sfh04_cafe_md,Size,3042SFH04 CAFE MD,active,Maaji,,,
3042sfh04_cafe_lg,Size,3042SFH04 CAFE LG,active,Maaji,,,
3042sfh04_cafe_xl,Size,3042SFH04 CAFE XL,active,Maaji,,,
3061ssp02_azul_sm,Size,3061SSP02 AZUL SM,active,Maaji,,,
3061ssp02_azul_md,Size,3061SSP02 AZUL MD,active,Maaji,,,
3061ssp02_azul_lg,Size,3061SSP02 AZUL LG,active,Maaji,,,
3061ssp02_azul_xl,Size,3061SSP02 AZUL XL,active,Maaji,,,
3062sba02_amarillo_sm,Size,3062SBA02 AMARILLO SM,active,Maaji,,,
3062sba02_amarillo_md,Size,3062SBA02 AMARILLO MD,active,Maaji,,,
3062sba02_amarillo_lg,Size,3062SBA02 AMARILLO LG,active,Maaji,,,
3062sba02_amarillo_xl,Size,3062SBA02 AMARILLO XL,active,Maaji,,,
3063sbr03_cafe_sm,Size,3063SBR03 CAFE SM,active,Maaji,,,
3063sbr03_cafe_md,Size,3063SBR03 CAFE MD,active,Maaji,,,
3063sbr03_cafe_lg,Size,3063SBR03 CAFE LG,active,Maaji,,,
3063sbr03_cafe_xl,Size,3063SBR03 CAFE XL,active,Maaji,,,
3071sse01_amarillo_sm,Size,3071SSE01 AMARILLO SM,active,Maaji,,,
3071sse01_amarillo_md,Size,3071SSE01 AMARILLO MD,active,Maaji,,,
3071sse01_amarillo_lg,Size,3071SSE01 AMARILLO LG,active,Maaji,,,
3071sse01_amarillo_xl,Size,3071SSE01 AMARILLO XL,active,Maaji,,,
