lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.ta_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list,attribute.saya_color.single_option,variation_children_code
1539CSD01_orange,Colour,1539CSD01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528461600/HigSummer2018/1539CSD01_orange_3.jpg,1539CSD01_orange_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528461601/HigSummer2018/1539CSD01_orange_4.jpg,1539CSD01_orange_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,orange,1539CSD01_orange_sm|1539CSD01_orange_md|1539CSD01_orange_lg
1540CCT01_orange,Colour,1540CCT01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528462311/HigSummer2018/1540CCT01_orange_1.jpg,1540CCT01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462312/HigSummer2018/1540CCT01_orange_5.jpg,1540CCT01_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462312/HigSummer2018/1540CCT01_orange_6.jpg,1540CCT01_orange_6,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462313/HigSummer2018/1540CCT01_orange_7.jpg,1540CCT01_orange_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462314/HigSummer2018/1540CCT01_orange_8.jpg,1540CCT01_orange_8,no,hi-res,,,,,,,,,,,,,orange,1540CCT01_orange_sm|1540CCT01_orange_md|1540CCT01_orange_lg
1541CPA01_orange,Colour,1541CPA01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528462532/HigSummer2018/1541CPA01_orange_1.jpg,1541CPA01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462533/HigSummer2018/1541CPA01_orange_2.jpg,1541CPA01_orange_2,no,hi-res,,,,,,,,hi-res,,,,,,,,,,,,,,,,,orange,1541CPA01_orange_sm|1541CPA01_orange_md|1541CPA01_orange_lg
1542CCT01_blue,Colour,1542CCT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528462833/HigSummer2018/1542CCT01_blue_1.jpg,1542CCT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462835/HigSummer2018/1542CCT01_blue_2.jpg,1542CCT01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462835/HigSummer2018/1542CCT01_blue_7.jpg,1542CCT01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528462838/HigSummer2018/1542CCT01_blue_8.jpg,1542CCT01_blue_8,no,hi-res,,,,,,,,,,,,,,,,,blue,1542CCT01_blue_sm|1542CCT01_blue_md|1542CCT01_blue_lg
1543CSH01_blue,Colour,1543CSH01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528463049/HigSummer2018/1543CSH01_blue_1.jpg,1543CSH01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528463050/HigSummer2018/1543CSH01_blue_2.jpg,1543CSH01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,blue,1543CSH01_blue_sm|1543CSH01_blue_md|1543CSH01_blue_lg
1544CSD01_blue,Colour,1544CSD01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528463268/HigSummer2018/1544CSD01_blue_3.jpg,1544CSD01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528463269/HigSummer2018/1544CSD01_blue_4.jpg,1544CSD01_blue_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528463270/HigSummer2018/1544CSD01_blue_7.jpg,1544CSD01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528463271/HigSummer2018/1544CSD01_blue_8.jpg,1544CSD01_blue_8,no,hi-res,,,,,,,,,,,,,,,,,blue,1544CSD01_blue_sm|1544CSD01_blue_md|1544CSD01_blue_lg
2135SSF04_blue,Colour,2135SSF04_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528464244/HigSummer2018/2135SSF04_blue_1.jpg,2135SSF04_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528464245/HigSummer2018/2135SSF04_blue_2.jpg,2135SSF04_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,blue,2135SSF04_blue_sm|2135SSF04_blue_md|2135SSF04_blue_lg
2161SFA03_brown,Colour,2161SFA03_brown,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528469409/HigSummer2018/2161SFA03_brown_1.jpg,2161SFA03_brown_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528469410/HigSummer2018/2161SFA03_brown_2.jpg,2161SFA03_brown_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,brown,2161SFA03_brown_sm|2161SFA03_brown_md|2161SFA03_brown_lg|2161SFA03_brown_xl
2171SFH02_yellow,Colour,2171SFH02_yellow,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528469756/HigSummer2018/2171SFH02_yellow_2.jpg,2171SFH02_yellow_2,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528469756/HigSummer2018/2171SFH02_yellow_7.jpg,2171SFH02_yellow_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528469757/HigSummer2018/2171SFH02_yellow_8.jpg,2171SFH02_yellow_7,no,hi-res,,,,,,,,,,,,,,,,,,,,,yellow,2171SFH02_yellow_sm|2171SFH02_yellow_md|2171SFH02_yellow_lg|2171SFH02_yellow_xl
2178SUN02_yellow,Colour,2178SUN02_yellow,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528470020/HigSummer2018/2178SUN02_yellow_1.jpg,2178SUN02_yellow_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528470021/HigSummer2018/2178SUN02_yellow_2.jpg,2178SUN02_yellow_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,yellow,2178SUN02_yellow_sm|2178SUN02_yellow_md|2178SUN02_yellow_lg|2178SUN02_yellow_xl
2192SFT01_yellow,Colour,2192SFT01_yellow,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528470321/HigSummer2018/2192SFT01_yellow_1.jpg,2192SFT01_yellow_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528470322/HigSummer2018/2192SFT01_yellow_2.jpg,2192SFT01_yellow_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,yellow,2192SFT01_yellow_sm|2192SFT01_yellow_md|2192SFT01_yellow_lg|2192SFT01_yellow_xl
2193SFA01_brown,Colour,2193SFA01_brown,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528470678/HigSummer2018/2193SFA01_brown_1.jpg,2193SFA01_brown_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528470679/HigSummer2018/2193SFA01_brown_2.jpg,2193SFA01_brown_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528470680/HigSummer2018/2193SFA01_brown_7.jpg,2193SFA01_brown_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528470681/HigSummer2018/2193SFA01_brown_8.jpg,2193SFA01_brown_8,no,hi-res,,,,,,,,,,,,,,,,,brown,2193SFA01_brown_sm|2193SFA01_brown_md|2193SFA01_brown_lg|2193SFA01_brown_xl
2195SRA01_blue,Colour,2195SRA01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528471106/HigSummer2018/2195SRA01_blue_1.jpg,2195SRA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528471016/HigSummer2018/2195SRA01_blue_2.jpg,2195SRA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,blue,2195SRA01_blue_sm|2195SRA01_blue_md|2195SRA01_blue_lg|2195SRA01_blue_xl
2196SLT01_blue,Colour,2196SLT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528471325/HigSummer2018/2196SLT01_blue_1.jpg,21296SLT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528471326/HigSummer2018/2196SLT01_blue_2.jpg,2196SLT01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,blue,2196SLT01_blue_sm|2196SLT01_blue_md|2196SLT01_blue_lg|2196SLT01_blue_xl
