lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1539CSD01_orange_sm,,60,70,0.2,,65,75,0.22
1539CSD01_orange_md,,60,70,0.2,,65,75,0.22
1539CSD01_orange_lg,,60,70,0.2,,65,75,0.22
1540CCT01_orange_sm,,60,70,0.2,,65,75,0.22
1540CCT01_orange_md,,60,70,0.2,,65,75,0.22
1540CCT01_orange_lg,,60,70,0.2,,65,75,0.22
1541CPA01_orange_sm,,60,70,0.2,,65,75,0.22
1541CPA01_orange_md,,60,70,0.2,,65,75,0.22
1541CPA01_orange_lg,,60,70,0.2,,65,75,0.22
1542CCT01_blue_sm,,60,70,0.2,,65,75,0.22
1542CCT01_blue_md,,60,70,0.2,,65,75,0.22
1542CCT01_blue_lg,,60,70,0.2,,65,75,0.22
1543CSH01_blue_sm,,60,70,0.2,,65,75,0.22
1543CSH01_blue_md,,60,70,0.2,,65,75,0.22
1543CSH01_blue_lg,,60,70,0.2,,65,75,0.22
1544CSD01_blue_sm,,60,70,0.2,,65,75,0.22
1544CSD01_blue_md,,60,70,0.2,,65,75,0.22
1544CSD01_blue_lg,,60,70,0.2,,65,75,0.22
2135SSF04_blue_sm,,60,70,0.2,,65,75,0.22
2135SSF04_blue_md,,60,70,0.2,,65,75,0.22
2135SSF04_blue_lg,,60,70,0.2,,65,75,0.22
2161SFA03_brown_sm,,60,70,0.2,,65,75,0.22
2161SFA03_brown_md,,60,70,0.2,,65,75,0.22
2161SFA03_brown_lg,,60,70,0.2,,65,75,0.22
2161SFA03_brown_xl,,60,70,0.2,,65,75,0.22
2171SFH02_yellow_sm,,60,70,0.2,,65,75,0.22
2171SFH02_yellow_md,,60,70,0.2,,65,75,0.22
2171SFH02_yellow_lg,,60,70,0.2,,65,75,0.22
2171SFH02_yellow_xl,,60,70,0.2,,65,75,0.22
2178SUN02_yellow_sm,,60,70,0.2,,65,75,0.22
2178SUN02_yellow_md,,60,70,0.2,,65,75,0.22
2178SUN02_yellow_lg,,60,70,0.2,,65,75,0.22
2178SUN02_yellow_xl,,60,70,0.2,,65,75,0.22
2192SFT01_yellow_sm,,60,70,0.2,,65,75,0.22
2192SFT01_yellow_md,,60,70,0.2,,65,75,0.22
2192SFT01_yellow_lg,,60,70,0.2,,65,75,0.22
2192SFT01_yellow_xl,,60,70,0.2,,65,75,0.22
2193SFA01_brown_sm,,60,70,0.2,,65,75,0.22
2193SFA01_brown_md,,60,70,0.2,,65,75,0.22
2193SFA01_brown_lg,,60,70,0.2,,65,75,0.22
2193SFA01_brown_xl,,60,70,0.2,,65,75,0.22
2195SRA01_blue_sm,,60,70,0.2,,65,75,0.22
2195SRA01_blue_md,,60,70,0.2,,65,75,0.22
2195SRA01_blue_lg,,60,70,0.2,,65,75,0.22
2195SRA01_blue_xl,,23,23,0.22,,27,27,0.25
2196SLT01_blue_sm,,23,23,0.22,,27,27,0.25
2196SLT01_blue_md,,23,23,0.22,,27,27,0.25
2196SLT01_blue_lg,,23,23,0.22,,27,27,0.25
2196SLT01_blue_xl,,23,23,0.22,,27,27,0.25
3012SFH06_blue_sm,,23,23,0.22,,27,27,0.25
3012SFH06_blue_md,,23,23,0.22,,27,27,0.25
3012SFH06_blue_lg,,23,23,0.22,,27,27,0.25
3012SFH06_blue_xl,,23,23,0.22,,27,27,0.25
3042SFH04_brown_sm,,23,23,0.22,,27,27,0.25
3042SFH04_brown_md,,23,23,0.22,,27,27,0.25
3042SFH04_brown_lg,,23,23,0.22,,27,27,0.25
3042SFH04_brown_xl,,23,23,0.22,,27,27,0.25
3061SSP02_blue_sm,,23,23,0.22,,27,27,0.25
3061SSP02_blue_md,,23,23,0.22,,27,27,0.25
3061SSP02_blue_lg,,23,23,0.22,,27,27,0.25
3061SSP02_blue_xl,,23,23,0.22,,27,27,0.25
3062SBA02_yellow_sm,,23,23,0.22,,27,27,0.25
3062SBA02_yellow_md,,23,23,0.22,,27,27,0.25
3062SBA02_yellow_lg,,23,23,0.22,,27,27,0.25
3062SBA02_yellow_xl,,23,23,0.22,,27,27,0.25
3063SBR03_brown_sm,,23,23,0.22,,27,27,0.25
3063SBR03_brown_md,,23,23,0.22,,27,27,0.25
3063SBR03_brown_lg,,23,23,0.22,,27,27,0.25
3063SBR03_brown_xl,,23,23,0.22,,27,27,0.25
3071SSE01_yellow_sm,,23,23,0.22,,27,27,0.25
3071SSE01_yellow_md,,23,23,0.22,,27,27,0.25
3071SSE01_yellow_lg,,23,23,0.22,,27,27,0.25
3071SSE01_yellow_xl,,23,23,0.22,,27,27,0.25
