lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
1539CSD01_orange_sm,CO,1539CSD01_orange_sm,10,in_stock,dynamic,10
1539CSD01_orange_md,CO,1539CSD01_orange_md,9,in_stock,dynamic,9
1539CSD01_orange_lg,CO,1539CSD01_orange_lg,6,in_stock,dynamic,6
1540CCT01_orange_sm,CO,1540CCT01_orange_sm,4,in_stock,dynamic,4
1540CCT01_orange_md,CO,1540CCT01_orange_md,7,in_stock,dynamic,7
1540CCT01_orange_lg,CO,1540CCT01_orange_lg,11,in_stock,dynamic,11
1541CPA01_orange_sm,CO,1541CPA01_orange_sm,22,in_stock,dynamic,22
1541CPA01_orange_md,CO,1541CPA01_orange_md,3,in_stock,dynamic,3
1541CPA01_orange_lg,CO,1541CPA01_orange_lg,8,in_stock,dynamic,8
1542CCT01_blue_sm,CO,1542CCT01_blue_sm,12,in_stock,dynamic,12
1542CCT01_blue_md,CO,1542CCT01_blue_md,8,in_stock,dynamic,8
1542CCT01_blue_lg,CO,1542CCT01_blue_lg,5,in_stock,dynamic,5
1543CSH01_blue_sm,CO,1543CSH01_blue_sm,4,in_stock,dynamic,4
1543CSH01_blue_md,CO,1543CSH01_blue_md,23,in_stock,dynamic,23
1543CSH01_blue_lg,CO,1543CSH01_blue_lg,2,in_stock,dynamic,2
1544CSD01_blue_sm,CO,1544CSD01_blue_sm,5,in_stock,dynamic,5
1544CSD01_blue_md,CO,1544CSD01_blue_md,4,in_stock,dynamic,4
1544CSD01_blue_lg,CO,1544CSD01_blue_lg,7,in_stock,dynamic,7
2135SSF04_blue_sm,CO,2135SSF04_blue_sm,9,in_stock,dynamic,9
2135SSF04_blue_md,CO,2135SSF04_blue_md,15,in_stock,dynamic,15
2135SSF04_blue_lg,CO,2135SSF04_blue_lg,20,in_stock,dynamic,20
2161SFA03_brown_sm,CO,2161SFA03_brown_sm,10,in_stock,dynamic,10
2161SFA03_brown_md,CO,2161SFA03_brown_md,9,in_stock,dynamic,9
2161SFA03_brown_lg,CO,2161SFA03_brown_lg,6,in_stock,dynamic,6
2161SFA03_brown_xl,CO,2161SFA03_brown_xl,4,in_stock,dynamic,4
2171SFH02_yellow_sm,CO,2171SFH02_yellow_sm,7,in_stock,dynamic,7
2171SFH02_yellow_md,CO,2171SFH02_yellow_md,11,in_stock,dynamic,11
2171SFH02_yellow_lg,CO,2171SFH02_yellow_lg,22,in_stock,dynamic,22
2171SFH02_yellow_xl,CO,2171SFH02_yellow_xl,3,in_stock,dynamic,3
2178SUN02_yellow_sm,CO,2178SUN02_yellow_sm,8,in_stock,dynamic,8
2178SUN02_yellow_md,CO,2178SUN02_yellow_md,12,in_stock,dynamic,12
2178SUN02_yellow_lg,CO,2178SUN02_yellow_lg,8,in_stock,dynamic,8
2178SUN02_yellow_xl,CO,2178SUN02_yellow_xl,5,in_stock,dynamic,5
2192SFT01_yellow_sm,CO,2192SFT01_yellow_sm,4,in_stock,dynamic,4
2192SFT01_yellow_md,CO,2192SFT01_yellow_md,23,in_stock,dynamic,23
2192SFT01_yellow_lg,CO,2192SFT01_yellow_lg,2,in_stock,dynamic,2
2192SFT01_yellow_xl,CO,2192SFT01_yellow_xl,5,in_stock,dynamic,5
2193SFA01_brown_sm,CO,2193SFA01_brown_sm,4,in_stock,dynamic,4
2193SFA01_brown_md,CO,2193SFA01_brown_md,7,in_stock,dynamic,7
2193SFA01_brown_lg,CO,2193SFA01_brown_lg,9,in_stock,dynamic,9
2193SFA01_brown_xl,CO,2193SFA01_brown_xl,15,in_stock,dynamic,15
2195SRA01_blue_sm,CO,2195SRA01_blue_sm,20,in_stock,dynamic,20
2195SRA01_blue_md,CO,2195SRA01_blue_md,10,in_stock,dynamic,10
2195SRA01_blue_lg,CO,2195SRA01_blue_lg,9,in_stock,dynamic,9
2195SRA01_blue_xl,CO,2195SRA01_blue_xl,6,in_stock,dynamic,6
2196SLT01_blue_sm,CO,2196SLT01_blue_sm,4,in_stock,dynamic,4
2196SLT01_blue_md,CO,2196SLT01_blue_md,7,in_stock,dynamic,7
2196SLT01_blue_lg,CO,2196SLT01_blue_lg,11,in_stock,dynamic,11
2196SLT01_blue_xl,CO,2196SLT01_blue_xl,22,in_stock,dynamic,22
3012SFH06_blue_sm,CO,3012SFH06_blue_sm,3,in_stock,dynamic,3
3012SFH06_blue_md,CO,3012SFH06_blue_md,8,in_stock,dynamic,8
3012SFH06_blue_lg,CO,3012SFH06_blue_lg,12,in_stock,dynamic,12
3012SFH06_blue_xl,CO,3012SFH06_blue_xl,8,in_stock,dynamic,8
3042SFH04_brown_sm,CO,3042SFH04_brown_sm,5,in_stock,dynamic,5
3042SFH04_brown_md,CO,3042SFH04_brown_md,4,in_stock,dynamic,4
3042SFH04_brown_lg,CO,3042SFH04_brown_lg,23,in_stock,dynamic,23
3042SFH04_brown_xl,CO,3042SFH04_brown_xl,2,in_stock,dynamic,2
3061SSP02_blue_sm,CO,3061SSP02_blue_sm,5,in_stock,dynamic,5
3061SSP02_blue_md,CO,3061SSP02_blue_md,4,in_stock,dynamic,4
3061SSP02_blue_lg,CO,3061SSP02_blue_lg,7,in_stock,dynamic,7
3061SSP02_blue_xl,CO,3061SSP02_blue_xl,9,in_stock,dynamic,9
3062SBA02_yellow_sm,CO,3062SBA02_yellow_sm,15,in_stock,dynamic,15
3062SBA02_yellow_md,CO,3062SBA02_yellow_md,20,in_stock,dynamic,20
3062SBA02_yellow_lg,CO,3062SBA02_yellow_lg,10,in_stock,dynamic,10
3062SBA02_yellow_xl,CO,3062SBA02_yellow_xl,9,in_stock,dynamic,9
3063SBR03_brown_sm,CO,3063SBR03_brown_sm,6,in_stock,dynamic,6
3063SBR03_brown_md,CO,3063SBR03_brown_md,4,in_stock,dynamic,4
3063SBR03_brown_lg,CO,3063SBR03_brown_lg,7,in_stock,dynamic,7
