lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1539CSD01_orange_sm,Size,1539CSD01_orange_sm,active,Maaji,SMALL,7702781056629,SMALL,155000,COP Price
1539CSD01_orange_md,Size,1539CSD01_orange_md,active,Maaji,MEDIUM,7702781056636,MEDIUM,155000,COP Price
1539CSD01_orange_lg,Size,1539CSD01_orange_lg,active,Maaji,LARGE,7702781056643,LARGE,155000,COP Price
1540CCT01_orange_sm,Size,1540CCT01_orange_sm,active,Maaji,SMALL,7702781058579,SMALL,120000,COP Price
1540CCT01_orange_md,Size,1540CCT01_orange_md,active,Maaji,MEDIUM,7702781058586,MEDIUM,120000,COP Price
1540CCT01_orange_lg,Size,1540CCT01_orange_lg,active,Maaji,LARGE,7702781058593,LARGE,120000,COP Price
1541CPA01_orange_sm,Size,1541CPA01_orange_sm,active,Maaji,SMALL,7702781056490,SMALL,180000,COP Price
1541CPA01_orange_md,Size,1541CPA01_orange_md,active,Maaji,MEDIUM,7702781056506,MEDIUM,180000,COP Price
1541CPA01_orange_lg,Size,1541CPA01_orange_lg,active,Maaji,LARGE,7702781056513,LARGE,180000,COP Price
1542CCT01_blue_sm,Size,1542CCT01_blue_sm,active,Maaji,SMALL,7702781058524,SMALL,120000,COP Price
1542CCT01_blue_md,Size,1542CCT01_blue_md,active,Maaji,MEDIUM,7702781058531,MEDIUM,120000,COP Price
1542CCT01_blue_lg,Size,1542CCT01_blue_lg,active,Maaji,LARGE,7702781058548,LARGE,120000,COP Price
1543CSH01_blue_sm,Size,1543CSH01_blue_sm,active,Maaji,SMALL,7702781056575,SMALL,95000,COP Price
1543CSH01_blue_md,Size,1543CSH01_blue_md,active,Maaji,MEDIUM,7702781056582,MEDIUM,95000,COP Price
1543CSH01_blue_lg,Size,1543CSH01_blue_lg,active,Maaji,LARGE,7702781056599,LARGE,95000,COP Price
1544CSD01_blue_sm,Size,1544CSD01_blue_sm,active,Maaji,SMALL,7702781058623,SMALL,155000,COP Price
1544CSD01_blue_md,Size,1544CSD01_blue_md,active,Maaji,MEDIUM,7702781058630,MEDIUM,155000,COP Price
1544CSD01_blue_lg,Size,1544CSD01_blue_lg,active,Maaji,LARGE,7702781058647,LARGE,155000,COP Price
2135SSF04_blue_sm,Size,2135SSF04_blue_sm,active,Maaji,SMALL,7702781057626,SMALL,125000,COP Price
2135SSF04_blue_md,Size,2135SSF04_blue_md,active,Maaji,MEDIUM,7702781057633,MEDIUM,125000,COP Price
2135SSF04_blue_lg,Size,2135SSF04_blue_lg,active,Maaji,LARGE,7702781057640,LARGE,125000,COP Price
2161SFA03_brown_sm,Size,2161SFA03_brown_sm,active,Maaji,SMALL,7702781057374,SMALL,135000,COP Price
2161SFA03_brown_md,Size,2161SFA03_brown_md,active,Maaji,MEDIUM,7702781057381,MEDIUM,135000,COP Price
2161SFA03_brown_lg,Size,2161SFA03_brown_lg,active,Maaji,LARGE,7702781057398,LARGE,135000,COP Price
