lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
2024sac06_rojo,Colour,2024SAC06 ROJO,active,Maaji,1,1,,2024sac06_rojo_sm|2024sac06_rojo_md|2024sac06_rojo_lg
2024sbc06_rojo,Colour,2024SBC06 ROJO,active,Maaji,1,1,,2024sbc06_rojo_sm|2024sbc06_rojo_md|2024sbc06_rojo_lg
2043sac09_amarillo,Colour,2043SAC09 AMARILLO,active,Maaji,1,1,,2043sac09_amarillo_sm|2043sac09_amarillo_md|2043sac09_amarillo_lg
2043sbc09_amarillo,Colour,2043SBC09 AMARILLO,active,Maaji,1,1,,2043sbc09_amarillo_sm|2043sbc09_amarillo_md|2043sbc09_amarillo_lg
2062sbc13_azul,Colour,2062SBC13 AZUL,active,Maaji,1,1,,2062sbc13_azul_sm|2062sbc13_azul_md|2062sbc13_azul_lg
2062scc13_azul,Colour,2062SCC13 AZUL,active,Maaji,1,1,,2062scc13_azul_sm|2062scc13_azul_md|2062scc13_azul_lg
2110sbc04_azul,Colour,2110SBC04 AZUL,active,Maaji,1,1,,2110sbc04_azul_sm|2110sbc04_azul_md|2110sbc04_azul_lg
2110sdc04_azul,Colour,2110SDC04 AZUL,active,Maaji,1,1,,2110sdc04_azul_sm|2110sdc04_azul_md|2110sdc04_azul_lg
2119soh03_amarillo,Colour,2119SOH03 AMARILLO,active,Maaji,1,1,,2119soh03_amarillo_sm|2119soh03_amarillo_md|2119soh03_amarillo_lg
2119sor03_amarillo,Colour,2119SOR03 AMARILLO,active,Maaji,1,1,,2119sor03_amarillo_sm|2119sor03_amarillo_md|2119sor03_amarillo_lg
2130sbc02_azul,Colour,2130SBC02 AZUL,active,Maaji,1,1,,2130sbc02_azul_sm|2130sbc02_azul_md|2130sbc02_azul_lg
2130scc02_azul,Colour,2130SCC02 AZUL,active,Maaji,1,1,,2130scc02_azul_sm|2130scc02_azul_md|2130scc02_azul_lg
2194sbc01_amarillo,Colour,2194SBC01 AMARILLO,active,Maaji,1,1,,2194sbc01_amarillo_sm|2194sbc01_amarillo_md|2194sbc01_amarillo_lg
2194sdc01_amarillo,Colour,2194SDC01 AMARILLO,active,Maaji,1,1,,2194sdc01_amarillo_sm|2194sdc01_amarillo_md|2194sdc01_amarillo_lg
3007sac22_azul,Colour,3007SAC22 AZUL,active,Maaji,1,1,,3007sac22_azul_sm|3007sac22_azul_md|3007sac22_azul_lg
3007sbc22_azul,Colour,3007SBC22 AZUL,active,Maaji,1,1,,3007sbc22_azul_sm|3007sbc22_azul_md|3007sbc22_azul_lg
3007scc22_azul,Colour,3007SCC22 AZUL,active,Maaji,1,1,,3007scc22_azul_sm|3007scc22_azul_md|3007scc22_azul_lg
3007sdc22_azul,Colour,3007SDC22 AZUL,active,Maaji,1,1,,3007sdc22_azul_sm|3007sdc22_azul_md|3007sdc22_azul_lg
3007sac23_cafe,Colour,3007SAC23 CAFE,active,Maaji,1,1,,3007sac23_cafe_sm|3007sac23_cafe_md|3007sac23_cafe_lg
3007sbc23_cafe,Colour,3007SBC23 CAFE,active,Maaji,1,1,,3007sbc23_cafe_sm|3007sbc23_cafe_md|3007sbc23_cafe_lg
3007scc23_cafe,Colour,3007SCC23 CAFE,active,Maaji,1,1,,3007scc23_cafe_sm|3007scc23_cafe_md|3007scc23_cafe_lg
3007sdc23_cafe,Colour,3007SDC23 CAFE,active,Maaji,1,1,,3007sdc23_cafe_sm|3007sdc23_cafe_md|3007sdc23_cafe_lg
3072sbc07_amarillo,Colour,3072SBC07 AMARILLO,active,Maaji,1,1,,3072sbc07_amarillo_sm|3072sbc07_amarillo_md|3072sbc07_amarillo_lg
3072scc07_amarillo,Colour,3072SCC07 AMARILLO,active,Maaji,1,1,,3072scc07_amarillo_sm|3072scc07_amarillo_md|3072scc07_amarillo_lg
