lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,variation_children_code
2024sac06,Cut,2024SAC06,active,Maaji,,2024sac06_rojo
2024sbc06,Cut,2024SBC06,active,Maaji,,2024sbc06_rojo
2043sac09,Cut,2043SAC09,active,Maaji,,2043sac09_amarillo
2043sbc09,Cut,2043SBC09,active,Maaji,,2043sbc09_amarillo
2062sbc13,Cut,2062SBC13,active,Maaji,,2062sbc13_azul
2062scc13,Cut,2062SCC13,active,Maaji,,2062scc13_azul
2110sbc04,Cut,2110SBC04,active,Maaji,,2110sbc04_azul
2110sdc04,Cut,2110SDC04,active,Maaji,,2110sdc04_azul
2119soh03,Cut,2119SOH03,active,Maaji,,2119soh03_amarillo
2119sor03,Cut,2119SOR03,active,Maaji,,2119sor03_amarillo
2130sbc02,Cut,2130SBC02,active,Maaji,,2130sbc02_azul
2130scc02,Cut,2130SCC02,active,Maaji,,2130scc02_azul
2194sbc01,Cut,2194SBC01,active,Maaji,,2194sbc01_amarillo
2194sdc01,Cut,2194SDC01,active,Maaji,,2194sdc01_amarillo
3007sac22,Cut,3007SAC22,active,Maaji,,3007sac22_azul
3007sbc22,Cut,3007SBC22,active,Maaji,,3007sbc22_azul
3007scc22,Cut,3007SCC22,active,Maaji,,3007scc22_azul
3007sdc22,Cut,3007SDC22,active,Maaji,,3007sdc22_azul
3007sac23,Cut,3007SAC23,active,Maaji,,3007sac23_cafe
3007sbc23,Cut,3007SBC23,active,Maaji,,3007sbc23_cafe
3007scc23,Cut,3007SCC23,active,Maaji,,3007scc23_cafe
3007sdc23,Cut,3007SDC23,active,Maaji,,3007sdc23_cafe
3072sbc07,Cut,3072SBC07,active,Maaji,,3072sbc07_amarillo
3072scc07,Cut,3072SCC07,active,Maaji,,3072scc07_amarillo
