lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
2024sac06_rojo_sm,Size,2024SAC06 ROJO SM,active,Maaji,,7702781056728,
2024sac06_rojo_md,Size,2024SAC06 ROJO MD,active,Maaji,,7702781056735,
2024sac06_rojo_lg,Size,2024SAC06 ROJO LG,active,Maaji,,7702781056742,
2024sbc06_rojo_sm,Size,2024SBC06 ROJO SM,active,Maaji,,7702781060497,
2024sbc06_rojo_md,Size,2024SBC06 ROJO MD,active,Maaji,,7702781060503,
2024sbc06_rojo_lg,Size,2024SBC06 ROJO LG,active,Maaji,,7702781060510,
2043sac09_amarillo_sm,Size,2043SAC09 AMARILLO SM,active,Maaji,,7702781056773,
2043sac09_amarillo_md,Size,2043SAC09 AMARILLO MD,active,Maaji,,7702781056780,
2043sac09_amarillo_lg,Size,2043SAC09 AMARILLO LG,active,Maaji,,7702781056797,
2043sbc09_amarillo_sm,Size,2043SBC09 AMARILLO SM,active,Maaji,,7702781059323,
2043sbc09_amarillo_md,Size,2043SBC09 AMARILLO MD,active,Maaji,,7702781059330,
2043sbc09_amarillo_lg,Size,2043SBC09 AMARILLO LG,active,Maaji,,7702781059347,
2062sbc13_azul_sm,Size,2062SBC13 AZUL SM,active,Maaji,,7702781057572,
2062sbc13_azul_md,Size,2062SBC13 AZUL MD,active,Maaji,,7702781057589,
2062sbc13_azul_lg,Size,2062SBC13 AZUL LG,active,Maaji,,7702781057596,
2062scc13_azul_sm,Size,2062SCC13 AZUL SM,active,Maaji,,7702781059378,
2062scc13_azul_md,Size,2062SCC13 AZUL MD,active,Maaji,,7702781059385,
2062scc13_azul_lg,Size,2062SCC13 AZUL LG,active,Maaji,,7702781059392,
2110sbc04_azul_sm,Size,2110SBC04 AZUL SM,active,Maaji,,7702781056674,
2110sbc04_azul_md,Size,2110SBC04 AZUL MD,active,Maaji,,7702781056681,
2110sbc04_azul_lg,Size,2110SBC04 AZUL LG,active,Maaji,,7702781056698,
2110sdc04_azul_sm,Size,2110SDC04 AZUL SM,active,Maaji,,7702781059279,
2110sdc04_azul_md,Size,2110SDC04 AZUL MD,active,Maaji,,7702781059286,
2110sdc04_azul_lg,Size,2110SDC04 AZUL LG,active,Maaji,,7702781059293,
2119soh03_amarillo_sm,Size,2119SOH03 AMARILLO SM,active,Maaji,,7702781056827,
2119soh03_amarillo_md,Size,2119SOH03 AMARILLO MD,active,Maaji,,7702781056834,
2119soh03_amarillo_lg,Size,2119SOH03 AMARILLO LG,active,Maaji,,7702781056841,
2119sor03_amarillo_sm,Size,2119SOR03 AMARILLO SM,active,Maaji,,7702781058975,
2119sor03_amarillo_md,Size,2119SOR03 AMARILLO MD,active,Maaji,,7702781058982,
2119sor03_amarillo_lg,Size,2119SOR03 AMARILLO LG,active,Maaji,,7702781058999,
2130sbc02_azul_sm,Size,2130SBC02 AZUL SM,active,Maaji,,7702781059224,
2130sbc02_azul_md,Size,2130SBC02 AZUL MD,active,Maaji,,7702781059231,
2130sbc02_azul_lg,Size,2130SBC02 AZUL LG,active,Maaji,,7702781059248,
2130scc02_azul_sm,Size,2130SCC02 AZUL SM,active,Maaji,,7702781057121,
2130scc02_azul_md,Size,2130SCC02 AZUL MD,active,Maaji,,7702781057138,
2130scc02_azul_lg,Size,2130SCC02 AZUL LG,active,Maaji,,7702781057145,
