lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
1372csh02_blanco,Colour,https://res.cloudinary.com/maaji/image/upload/v1524842146/Summer2018/1372CSH02_white_1.jpg,1372CSh02_white_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1524842149/Summer2018/1372CSH02_white_2.jpg,1372CSH02_white_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1422csd04_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1525293620/Summer2018/1422CSD04_purple_3.jpg,1422CSD04_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525293622/Summer2018/1422CSD04_purple_4.jpg,1422CSD04_purple_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1442csh05_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1525294039/Summer2018/1442CSH05_purple_1.jpg,1442CSH05_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525294043/Summer2018/1442CSH05_purple_2.jpg,1442CSH05_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1446ckl01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1525294890/Summer2018/1446CKL01_blue_1.jpg,1446CKL01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525294894/Summer2018/1446CKL01_blue_2.jpg,1446CKL01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1471csd02_blanco,Colour,https://res.cloudinary.com/maaji/image/upload/v1525295995/Summer2018/1471CSD02_white_3.jpg,1471CSD02_white_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525295997/Summer2018/1471CSD02_white_4.jpg,1471CSD02_white_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525295999/Summer2018/1471CSD02_white_7.jpg,1471CSD02_white_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525296001/Summer2018/1471CSD02_white_8.jpg,1471CSD02_white_8,no,hi-res,,,,,,,,,,,,,,,,
1503csd01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1524759901/Summer2018/1503CSD01_red_3.jpg,1503CSD01_red_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1524759904/Summer2018/1503CSD01_red_4.jpg,1503CSD01_red_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1504cld01_rojo,Colour,https://res.cloudinary.com/maaji/image/upload/v1524778152/Summer2018/1504CLD01_red_3.jpg,1504CLD01_red_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1524778154/Summer2018/1504CLD01_red_4.jpg,1504CLD01_red_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1511cro01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1525309402/Summer2018/1511CRO01_blue_3.jpg,1511CRO01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525309407/Summer2018/1511CRO01_blue_4.jpg,1511CRO01_blue_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1849att01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1525637048/Summer2018/1849ATT01_black_3.jpg,1849ATT01_black_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1525637053/Summer2018/1849ATT01_black_4.jpg,1849ATT01_black_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1467cct01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528332844/Spring2018/1467CCT01_blue_1.jpg,1467CCT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332845/Spring2018/1467CCT01_blue_2.jpg,1467CCT01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1468cpa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528333119/Spring2018/1468CPA01_blue_1.jpg,1468CPA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333120/Spring2018/1468CPA01_blue_2.jpg,1468CPA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1470cro01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528333654/Spring2018/1470CRO01_blue_3.jpg,1470CRO01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333655/Spring2018/1470CRO01_blue_4.jpg,1470CRO01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1438csd02_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528331353/Spring2018/1438CSD02_blue_3.jpg,1438CSD02_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331354/Spring2018/1438CSD02_blue_4.jpg,1438CSD02_blue_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1464cpa01_rosado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528332029/Spring2018/1464CPA01_pink_1.jpg,1464CPA01_pink_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332029/Spring2018/1464CPA01_pink_2.jpg,1464CPA01_pink_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
