lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
1467cct01_azul,Colour,1467CCT01_AZUL,active,Maaji,1,1,,1467cct01_blue_sm|1467cct01_blue_md|1467cct01_blue_lg
1468cpa01_azul,Colour,1468CPA01_AZUL,active,Maaji,1,1,,1468cpa01_blue_sm|1468cpa01_blue_md|1468cpa01_blue_lg
1470cro01_azul,Colour,1470CRO01_AZUL,active,Maaji,1,1,,1470cro01_blue_sm|1470cro01_blue_md|1470cro01_blue_lg
1438csd02_azul,Colour,1438CSD02_AZUL,active,Maaji,1,1,,1438csd02_blue_sm|1438csd02_blue_md|1438csd02_blue_lg
1464cpa01_rosado,Colour,1464CPA01_ROSADO,active,Maaji,1,1,,1464cpa01_pink_sm|1464cpa01_pink_md|1464cpa01_pink_lg
1471csd01_azul,Colour,1471CSD01_AZUL,active,Maaji,1,1,,1471csd01_blue_sm|1471csd01_blue_md|1471csd01_blue_lg
1472csd01_azul,Colour,1472CSD01_AZUL,active,Maaji,1,1,,1472csd01_blue_sm|1472csd01_blue_md|1472csd01_blue_lg
1469cks01_azul,Colour,1469CKS01_AZUL,active,Maaji,1,1,,1469cks01_blue_sm|1469cks01_blue_md|1469cks01_blue_lg
1461csd01_rosado,Colour,1461CSD01_ROSADO,active,Maaji,1,1,,1461csd01_pink_sm|1461csd01_pink_md|1461csd01_pink_lg
1378cpa01_morado,Colour,1378CPA01_MORADO,active,Maaji,1,1,,1378cpa01_purple_sm|1378cpa01_purple_md|1378cpa01_purple_lg
1426csh01_morado,Colour,1426CSH01_MORADO,active,Maaji,1,1,,1426csh01_purple_sm|1426csh01_purple_md|1426csh01_purple_lg
1463cld01_morado,Colour,1463CLD01_MORADO,active,Maaji,1,1,,1463cld01_purple_sm|1463cld01_purple_md|1463cld01_purple_lg
1420csd01_morado,Colour,1420CSD01_MORADO,active,Maaji,1,1,,1420csd01_purple_sm|1420csd01_purple_md|1420csd01_purple_lg
1465cro01_morado,Colour,1465CRO01_MORADO,active,Maaji,1,1,,1465cro01_purple_sm|1465cro01_purple_md|1465cro01_purple_lg
1422csd02_vinotinto,Colour,1422CSD02_VINOTINTO,active,Maaji,1,1,,1422csd02_wine_sm|1422csd02_wine_md|1422csd02_wine_lg
3046shn01_vinotinto,Colour,3046SHN01_VINOTINTO,active,Maaji,1,1,,3046shn01_wine_sm|3046shn01_wine_md|3046shn01_wine_lg|3046shn01_wine_xl
2113sft01_morado,Colour,2113SFT01_MORADO,active,Maaji,1,1,,2113sft01_red_sm|2113sft01_red_md|2113sft01_red_lg|2113sft01_red_xl
3045sft01_vinotinto,Colour,3045SFT01_VINOTINTO,active,Maaji,1,1,,3045sft01_wine_sm|3045sft01_wine_md|3045sft01_wine_lg|3045sft01_wine_xl
2112sfa01_vinotinto,Colour,2112SFA01_VINOTINTO,active,Maaji,1,1,,2112sfa01_red_sm|2112sfa01_red_md|2112sfa01_red_lg|2112sfa01_red_xl
2115sse01_vinotinto,Colour,2115SSE01_VINOTINTO,active,Maaji,1,1,,2115sse01_wine_sm|2115sse01_wine_md|2115sse01_wine_lg|2115sse01_wine_xl
3047sfh01_rojo,Colour,3047SFH01_ROJO,active,Maaji,1,1,,3047sfh01_red_sm|3047sfh01_red_md|3047sfh01_red_lg|3047sfh01_red_xl
2117ssp01_vinotinto,Colour,2117SSP01_VINOTINTO,active,Maaji,1,1,,2117ssp01_wine_sm|2117ssp01_wine_md|2117ssp01_wine_lg|2117ssp01_wine_xl
3049sfa01_rojo,Colour,3049SFA01_ROJO,active,Maaji,1,1,,3049sfa01_red_sm|3049sfa01_red_md|3049sfa01_red_lg|3049sfa01_red_xl
3054sfa01_azul,Colour,3054SFA01_AZUL,active,Maaji,1,1,,3054sfa01_blue_sm|3054sfa01_blue_md|3054sfa01_blue_lg|3054sfa01_blue_xl
1520sfh01_azul,Colour,1520SFH01_AZUL,active,Maaji,1,1,,1520sfh01_blue_sm|1520sfh01_blue_md|1520sfh01_blue_lg|1520sfh01_blue_xl
3053sfa01_azul,Colour,3053SFA01_AZUL,active,Maaji,1,1,,3053sfa01_blue_sm|3053sfa01_blue_md|3053sfa01_blue_lg|3053sfa01_blue_xl
2121shn01_azul,Colour,2121SHN01_AZUL,active,Maaji,1,1,,2121shn01_blue_sm|2121shn01_blue_md|2121shn01_blue_lg|2121shn01_blue_xl
1929sfa02_azul,Colour,1929SFA02_AZUL,active,Maaji,1,1,,1929sfa02_blue_sm|1929sfa02_blue_md|1929sfa02_blue_lg|1929sfa02_blue_xl
2033sun01_azul,Colour,2033SUN01_AZUL,active,Maaji,1,1,,2033sun01_blue_sm|2033sun01_blue_md|2033sun01_blue_lg|2033sun01_blue_xl
2113sft02_azul,Colour,2113SFT02_AZUL,active,Maaji,1,1,,2113sft02_blue_sm|2113sft02_blue_md|2113sft02_blue_lg|2113sft02_blue_xl
2125ssp01_azul,Colour,2125SSP01_AZUL,active,Maaji,1,1,,2125ssp01_blue_sm|2125ssp01_blue_md|2125ssp01_blue_lg|2125ssp01_blue_xl
2128sfa01_azul,Colour,2128SFA01_AZUL,active,Maaji,1,1,,2128sfa01_blue_sm|2128sfa01_blue_md|2128sfa01_blue_lg|2128sfa01_blue_xl
2129sba01_azul,Colour,2129SBA01_AZUL,active,Maaji,1,1,,2129sba01_blue_sm|2129sba01_blue_md|2129sba01_blue_lg|2129sba01_blue_xl
2127sfh01_azul,Colour,2127SFH01_AZUL,active,Maaji,1,1,,2127sfh01_blue_sm|2127sfh01_blue_md|2127sfh01_blue_lg|2127sfh01_blue_xl
3049sfa02_azul,Colour,3049SFA02_AZUL,active,Maaji,1,1,,3049sfa02_blue_sm|3049sfa02_blue_md|3049sfa02_blue_lg|3049sfa02_blue_xl
3051sse01_azul,Colour,3051SSE01_AZUL,active,Maaji,1,1,,3051sse01_blue_sm|3051sse01_blue_md|3051sse01_blue_lg|3051sse01_blue_xl
3048sun01_rojo,Colour,3048SUN01_ROJO,active,Maaji,1,1,,3048sun01_red_sm|3048sun01_red_md|3048sun01_red_lg|3048sun01_red_xl
3012sfh02_vinotinto,Colour,3012SFH02_VINOTINTO,active,Maaji,1,1,,3012sfh02_wine_sm|3012sfh02_wine_md|3012sfh02_wine_lg|3012sfh02_wine_xl
2021sfa02_vinotinto,Colour,2021SFA02_VINOTINTO,active,Maaji,1,1,,2021sfa02_wine_sm|2021sfa02_wine_md|2021sfa02_wine_lg|2021sfa02_wine_xl
1916sfh02_vinotinto,Colour,1916SFH02_VINOTINTO,active,Maaji,1,1,,1916sfh02_wine_sm|1916sfh02_wine_md|1916sfh02_wine_lg|1916sfh02_wine_xl
2123sra01_azul,Colour,2123SRA01_AZUL,active,Maaji,1,1,,2123sra01_blue_sm|2123sra01_blue_md|2123sra01_blue_lg
2118ssf01_vinotinto,Colour,2118SSF01_VINOTINTO,active,Maaji,1,1,,2118ssf01_wine_sm|2118ssf01_wine_md|2118ssf01_wine_lg
