lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1467cct01_azul_sm,Size,1467CCT01 AZUL SM,active,Maaji,,7702781001544,
1467cct01_azul_md,Size,1467CCT01 AZUL MD,active,Maaji,,7702781001551,
1467cct01_azul_lg,Size,1467CCT01 AZUL LG,active,Maaji,,7702781001568,
1468cpa01_azul_sm,Size,1468CPA01 AZUL SM,active,Maaji,,7702781001599,
1468cpa01_azul_md,Size,1468CPA01 AZUL MD,active,Maaji,,7702781001605,
1468cpa01_azul_lg,Size,1468CPA01 AZUL LG,active,Maaji,,7702781001612,
1470cro01_azul_sm,Size,1470CRO01 AZUL SM,active,Maaji,,7702781001643,
1470cro01_azul_md,Size,1470CRO01 AZUL MD,active,Maaji,,7702781001650,
1470cro01_azul_lg,Size,1470CRO01 AZUL LG,active,Maaji,,7702781001667,
1438csd02_azul_sm,Size,1438CSD02 AZUL SM,active,Maaji,,7702781002206,
1438csd02_azul_md,Size,1438CSD02 AZUL MD,active,Maaji,,7702781002213,
1438csd02_azul_lg,Size,1438CSD02 AZUL LG,active,Maaji,,7702781002220,
1464cpa01_rosado_sm,Size,1464CPA01 ROSADO SM,active,Maaji,,7702781004569,
1464cpa01_rosado_md,Size,1464CPA01 ROSADO MD,active,Maaji,,7702781004576,
1464cpa01_rosado_lg,Size,1464CPA01 ROSADO LG,active,Maaji,,7702781004583,
1471csd01_azul_sm,Size,1471CSD01 AZUL SM,active,Maaji,,7702781002251,
1471csd01_azul_md,Size,1471CSD01 AZUL MD,active,Maaji,,7702781002268,
1471csd01_azul_lg,Size,1471CSD01 AZUL LG,active,Maaji,,7702781002275,
1472csd01_azul_sm,Size,1472CSD01 AZUL SM,active,Maaji,,7702781002152,
1472csd01_azul_md,Size,1472CSD01 AZUL MD,active,Maaji,,7702781002169,
1472csd01_azul_lg,Size,1472CSD01 AZUL LG,active,Maaji,,7702781002176,
1469cks01_azul_sm,Size,1469CKS01 AZUL SM,active,Maaji,,7702781002602,
1469cks01_azul_md,Size,1469CKS01 AZUL MD,active,Maaji,,7702781002619,
1469cks01_azul_lg,Size,1469CKS01 AZUL LG,active,Maaji,,7702781002626,
1461csd01_rosado_sm,Size,1461CSD01 ROSADO SM,active,Maaji,,7702781004613,
1461csd01_rosado_md,Size,1461CSD01 ROSADO MD,active,Maaji,,7702781004620,
1461csd01_rosado_lg,Size,1461CSD01 ROSADO LG,active,Maaji,,7702781004637,
1378cpa01_morado_sm,Size,1378CPA01 MORADO SM,active,Maaji,,7702781002558,
1378cpa01_morado_md,Size,1378CPA01 MORADO MD,active,Maaji,,7702781002565,
1378cpa01_morado_lg,Size,1378CPA01 MORADO LG,active,Maaji,,7702781002572,
1426csh01_morado_sm,Size,1426CSH01 MORADO SM,active,Maaji,,7702781003357,
1426csh01_morado_md,Size,1426CSH01 MORADO MD,active,Maaji,,7702781003340,
1426csh01_morado_lg,Size,1426CSH01 MORADO LG,active,Maaji,,7702781003333,
1463cld01_morado_sm,Size,1463CLD01 MORADO SM,active,Maaji,,7702781003456,
1463cld01_morado_md,Size,1463CLD01 MORADO MD,active,Maaji,,7702781003449,
