lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list,attribute.saya_color.single_option,variation_children_code
1467CCT01_blue,Colour,1467CCT01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528332844/Spring2018/1467CCT01_blue_1.jpg,1467CCT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332845/Spring2018/1467CCT01_blue_2.jpg,1467CCT01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1467CCT01_blue_sm|1467CCT01_blue_md|1467CCT01_blue_lg
1468CPA01_blue,Colour,1468CPA01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528333119/Spring2018/1468CPA01_blue_1.jpg,1468CPA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333120/Spring2018/1468CPA01_blue_2.jpg,1468CPA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1468CPA01_blue_sm|1468CPA01_blue_md|1468CPA01_blue_lg
1470CRO01_blue,Colour,1470CRO01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528333654/Spring2018/1470CRO01_blue_3.jpg,1470CRO01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333655/Spring2018/1470CRO01_blue_4.jpg,1470CRO01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1470CRO01_blue_sm|1470CRO01_blue_md|1470CRO01_blue_lg
1438CSD02_blue,Colour,1438CSD02_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528331353/Spring2018/1438CSD02_blue_3.jpg,1438CSD02_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331354/Spring2018/1438CSD02_blue_4.jpg,1438CSD02_blue_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1438CSD02_blue_sm|1438CSD02_blue_md|1438CSD02_blue_lg
1464CPA01_pink,Colour,1464CPA01_pink,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528332029/Spring2018/1464CPA01_pink_1.jpg,1464CPA01_pink_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332029/Spring2018/1464CPA01_pink_2.jpg,1464CPA01_pink_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,rosado,1464CPA01_pink_sm|1464CPA01_pink_md|1464CPA01_pink_lg
1471CSD01_blue,Colour,1471CSD01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528333657/Spring2018/1471CSD01_blue_3.jpg,1471CSD01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333658/Spring2018/1471CSD01_blue_4.jpg,1471CSD01_blue_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333659/Spring2018/1471CSD01_blue_7.jpg,1471CSD01_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333660/Spring2018/1471CSD01_blue_8.jpg,1471CSD01_blue_8,no,hi-res,,,,,,,,,,,,,,,,,azul,1471CSD01_blue_sm|1471CSD01_blue_md|1471CSD01_blue_lg
1472CSD01_blue,Colour,1472CSD01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528334238/Spring2018/1472CSD01_blue_3.jpg,1472CSD01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528334238/Spring2018/1472CSD01_blue_4.jpg,1472CSD01_blue_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1472CSD01_blue_sm|1472CSD01_blue_md|1472CSD01_blue_lg
1469CKS01_blue,Colour,1469CKS01_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528333123/Spring2018/1469CKS01_blue_1.jpg,1469CKS01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333123/Spring2018/1469CKS01_blue_2.jpg,1469CKS01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,azul,1469CKS01_blue_sm|1469CKS01_blue_md|1469CKS01_blue_lg
1461CSD01_pink,Colour,1461CSD01_pink,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528331583/Spring2018/1461CSD01_pink_3.jpg,1461CSD01_pink_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331584/Spring2018/1461CSD01_pink_4.jpg,1462CSD01_pink_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,rosado,1461CSD01_pink_sm|1461CSD01_pink_md|1461CSD01_pink_lg
1378CPA01_purple,Colour,1378CPA01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528329102/Spring2018/1378CPA01_purple_1.jpg,1378CPA01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329103/Spring2018/1378CPA01_purple_2.jpg,1378CPA01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,morado,1378CPA01_purple_sm|1378CPA01_purple_md|1378CPA01_purple_lg
1426CSH01_purple,Colour,1426CSH01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528330755/Spring2018/1426CSH01_purple_1.jpg,1426CSH01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528330756/Spring2018/1426CSH01_purple_2.jpg,1426CSH01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,morado,1426CSH01_purple_sm|1426CSH01_purple_md|1426CSH01_purple_lg
1463CLD01_purple,Colour,1463CLD01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528331822/Spring2018/1463CLD01_purple_3.jpg,1463CLD01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331823/Spring2018/1463CLD01_purple_4.jpg,1463CLD01_purple_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,morado,1463CLD01_purple_sm|1463CLD01_purple_md|1463CLD01_purple_lg
1420CSD01_purple,Colour,1420CSD01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528329104/Spring2018/1420CSD01_purple_3.jpg,1420CSD01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329441/Spring2018/1420CSD01_purple_4.jpg,1420CSD01_purple_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329442/Spring2018/1420CSD01_purple_7.jpg,1420CSD01_purple_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329443/Spring2018/1420CSD01_purple_8.jpg,1420CSD01_purple_8,no,hi-res,,,,,,,,,,,,,,,,,morado,1420CSD01_purple_sm|1420CSD01_purple_md|1420CSD01_purple_lg
1465CRO01_purple,Colour,1465CRO01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528332236/Spring2018/1465CRO01_purple_3.jpg,1465CRO01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332237/Spring2018/1465CRO01_purple_4.jpg,1465CRO01_purple_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,morado,1465CRO01_purple_sm|1465CRO01_purple_md|1465CRO01_purple_lg
1422CSD02_wine,Colour,1422CSD02_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528330294/Spring2018/1422CSD02_wine_3.jpg,1422CSD02_wine_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528330295/Spring2018/1422CSD02_wine_4.jpg,1422CSD02_wine_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,vinotinto,1422CSD02_wine_sm|1422CSD02_wine_md|1422CSD02_wine_lg
3046SHN01_wine,Colour,3046SHN01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528408116/Spring2018/3046SHN01_wine_1.jpg,3046SHN01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408116/Spring2018/3046SHN01_wine_2.jpg,3046SHN01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408118/Spring2018/3046SHN01_wine_5.jpg,3046SHN01_wine_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408118/Spring2018/3046SHN01_wine_6.jpg,3046SHN01_wine_6,no,hi-res,,,,,,,,,,,,,,,,,vinotinto,3046SHN01_wine_sm|3046SHN01_wine_md|3046SHN01_wine_lg|3046SHN01_wine_xl
2113SFT01_purple,Colour,2113SFT01_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528395190/Spring2018/2113SFT01_purple_1.jpg,2113SFT01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528395191/Spring2018/2113SFT01_purple_2.jpg,2113SFT01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,rojo,2113SFT01_red_sm|2113SFT01_red_md|2113SFT01_red_lg|2113SFT01_red_xl
3045SFT01_wine,Colour,3045SFT01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528407314/Spring2018/3045SFT01_wine_1.jpg,3045SFT01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407314/Spring2018/3045SFT01_wine_2.jpg,3045SFT01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407315/Spring2018/3045SFT01_wine_5.jpg,3045SFT01_wine_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528407317/Spring2018/3045SFT01_wine_6.jpg,3045SFT01_wine_6,no,hi-res,,,,,,,,,,,,,,,,,vinotinto,3045SFT01_wine_sm|3045SFT01_wine_md|3045SFT01_wine_lg|3045SFT01_wine_xl
2112SFA01_wine,Colour,2112SFA01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528394494/Spring2018/2112SFA01_wine_1.jpg,2112SFA01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394495/Spring2018/2112SFA01_wine_2.jpg,2112SFA01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394496/Spring2018/2112SFA01_wine_7.jpg,2112SFA01_wine_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528394497/Spring2018/2112SFA01_wine_8.jpg,2112SFA01_wine_8,no,hi-res,,,,,,,,,,,,,,,,,rojo,2112SFA01_red_sm|2112SFA01_red_md|2112SFA01_red_lg|2112SFA01_red_xl
2115SSE01_wine,Colour,2115SSE01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528396615/Spring2018/2115SSE01_wine_1.jpg,2115SSE01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528396616/Spring2018/2115SSE01_wine_2.jpg,2115SSE01_wine_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,vinotinto,2115SSE01_wine_sm|2115SSE01_wine_md|2115SSE01_wine_lg|2115SSE01_wine_xl
3047SFH01_red,Colour,3047SFH01_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528408485/Spring2018/3047SFH01_red_1.jpg,3047SFH01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408486/Spring2018/3047SFH01_red_2.jpg,3047SFH01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408487/Spring2018/3047SFH01_red_5.jpg,3047SFH01_red_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408488/Spring2018/3047SFH01_red_6.jpg,3047SFH01_red_6,no,hi-res,,,,,,,,,,,,,,,,,rojo,3047SFH01_red_sm|3047SFH01_red_md|3047SFH01_red_lg|3047SFH01_red_xl
2117SSP01_wine,Colour,2117SSP01_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1528397690/Spring2018/2117SSP01_wine_1.jpg,2117SSP01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528397691/Spring2018/2117SSP01_wine_2.jpg,2117SSP01_wine_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,,vinotinto,2117SSP01_wine_sm|2117SSP01_wine_md|2117SSP01_wine_lg|2117SSP01_wine_xl
