lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1467CCT01_blue_sm,,60,70,0.2,,65,75,0.22
1467CCT01_blue_md,,60,70,0.2,,65,75,0.22
1467CCT01_blue_lg,,60,70,0.2,,65,75,0.22
1468CPA01_blue_sm,,60,70,0.2,,65,75,0.22
1468CPA01_blue_md,,60,70,0.2,,65,75,0.22
1468CPA01_blue_lg,,60,70,0.2,,65,75,0.22
1470CRO01_blue_sm,,60,70,0.2,,65,75,0.22
1470CRO01_blue_md,,60,70,0.2,,65,75,0.22
1470CRO01_blue_lg,,60,70,0.2,,65,75,0.22
1438CSD02_blue_sm,,60,70,0.2,,65,75,0.22
1438CSD02_blue_md,,60,70,0.2,,65,75,0.22
1438CSD02_blue_lg,,60,70,0.2,,65,75,0.22
1464CPA01_pink_sm,,60,70,0.2,,65,75,0.22
1464CPA01_pink_md,,60,70,0.2,,65,75,0.22
1464CPA01_pink_lg,,60,70,0.2,,65,75,0.22
1471CSD01_blue_sm,,60,70,0.2,,65,75,0.22
1471CSD01_blue_md,,60,70,0.2,,65,75,0.22
1471CSD01_blue_lg,,60,70,0.2,,65,75,0.22
1472CSD01_blue_sm,,60,70,0.2,,65,75,0.22
1472CSD01_blue_md,,60,70,0.2,,65,75,0.22
1472CSD01_blue_lg,,60,70,0.2,,65,75,0.22
1469CKS01_blue_sm,,60,70,0.2,,65,75,0.22
1469CKS01_blue_md,,60,70,0.2,,65,75,0.22
1469CKS01_blue_lg,,60,70,0.2,,65,75,0.22
1461CSD01_pink_sm,,60,70,0.2,,65,75,0.22
1461CSD01_pink_md,,60,70,0.2,,65,75,0.22
1461CSD01_pink_lg,,60,70,0.2,,65,75,0.22
1378CPA01_purple_sm,,60,70,0.2,,65,75,0.22
1378CPA01_purple_md,,60,70,0.2,,65,75,0.22
1378CPA01_purple_lg,,60,70,0.2,,65,75,0.22
1426CSH01_purple_sm,,60,70,0.2,,65,75,0.22
1426CSH01_purple_md,,60,70,0.2,,65,75,0.22
1426CSH01_purple_lg,,60,70,0.2,,65,75,0.22
1463CLD01_purple_sm,,60,70,0.2,,65,75,0.22
1463CLD01_purple_md,,60,70,0.2,,65,75,0.22
1463CLD01_purple_lg,,60,70,0.2,,65,75,0.22
1420CSD01_purple_sm,,60,70,0.2,,65,75,0.22
1420CSD01_purple_md,,60,70,0.2,,65,75,0.22
1420CSD01_purple_lg,,60,70,0.2,,65,75,0.22
1465CRO01_purple_sm,,60,70,0.2,,65,75,0.22
1465CRO01_purple_md,,60,70,0.2,,65,75,0.22
1465CRO01_purple_lg,,60,70,0.2,,65,75,0.22
1422CSD02_wine_sm,,60,70,0.2,,65,75,0.22
1422CSD02_wine_md,,60,70,0.2,,65,75,0.22
1422CSD02_wine_lg,,23,23,0.22,,27,27,0.25
3046SHN01_wine_sm,,23,23,0.22,,27,27,0.25
3046SHN01_wine_md,,23,23,0.22,,27,27,0.25
3046SHN01_wine_lg,,23,23,0.22,,27,27,0.25
3046SHN01_wine_xl,,23,23,0.22,,27,27,0.25
2113SFT01_red_sm,,23,23,0.22,,27,27,0.25
2113SFT01_red_md,,23,23,0.22,,27,27,0.25
2113SFT01_red_lg,,23,23,0.22,,27,27,0.25
2113SFT01_red_xl,,23,23,0.22,,27,27,0.25
3045SFT01_wine_sm,,23,23,0.22,,27,27,0.25
3045SFT01_wine_md,,23,23,0.22,,27,27,0.25
3045SFT01_wine_lg,,23,23,0.22,,27,27,0.25
3045SFT01_wine_xl,,23,23,0.22,,27,27,0.25
2112SFA01_red_sm,,23,23,0.22,,27,27,0.25
2112SFA01_red_md,,23,23,0.22,,27,27,0.25
2112SFA01_red_lg,,23,23,0.22,,27,27,0.25
2112SFA01_red_xl,,23,23,0.22,,27,27,0.25
2115SSE01_wine_sm,,23,23,0.22,,27,27,0.25
2115SSE01_wine_md,,23,23,0.22,,27,27,0.25
2115SSE01_wine_lg,,23,23,0.22,,27,27,0.25
2115SSE01_wine_xl,,23,23,0.22,,27,27,0.25
3047SFH01_red_sm,,23,23,0.22,,27,27,0.25
3047SFH01_red_md,,23,23,0.22,,27,27,0.25
3047SFH01_red_lg,,23,23,0.22,,27,27,0.25
3047SFH01_red_xl,,23,23,0.22,,27,27,0.25
2117SSP01_wine_sm,,23,23,0.22,,27,27,0.25
2117SSP01_wine_md,,23,23,0.22,,27,27,0.25
2117SSP01_wine_lg,,23,23,0.22,,27,27,0.25
