lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1467CCT01_blue_sm,Size,1467CCT01_blue_sm,active,Maaji,PEQUEÑO,7702781001544,PEQUEÑO,121000,COP Price
1467CCT01_blue_md,Size,1467CCT01_blue_md,active,Maaji,MEDIO,7702781001551,MEDIO,121000,COP Price
1467CCT01_blue_lg,Size,1467CCT01_blue_lg,active,Maaji,GRANDE,7702781001568,GRANDE,121000,COP Price
1468CPA01_blue_sm,Size,1468CPA01_blue_sm,active,Maaji,PEQUEÑO,7702781001599,PEQUEÑO,180000,COP Price
1468CPA01_blue_md,Size,1468CPA01_blue_md,active,Maaji,MEDIO,7702781001605,MEDIO,180000,COP Price
1468CPA01_blue_lg,Size,1468CPA01_blue_lg,active,Maaji,GRANDE,7702781001612,GRANDE,180000,COP Price
1470CRO01_blue_sm,Size,1470CRO01_blue_sm,active,Maaji,PEQUEÑO,7702781001643,PEQUEÑO,168000,COP Price
1470CRO01_blue_md,Size,1470CRO01_blue_md,active,Maaji,MEDIO,7702781001650,MEDIO,168000,COP Price
1470CRO01_blue_lg,Size,1470CRO01_blue_lg,active,Maaji,GRANDE,7702781001667,GRANDE,168000,COP Price
1438CSD02_blue_sm,Size,1438CSD02_blue_sm,active,Maaji,PEQUEÑO,7702781002206,PEQUEÑO,189000,COP Price
1438CSD02_blue_md,Size,1438CSD02_blue_md,active,Maaji,MEDIO,7702781002213,MEDIO,189000,COP Price
1438CSD02_blue_lg,Size,1438CSD02_blue_lg,active,Maaji,GRANDE,7702781002220,GRANDE,189000,COP Price
1464CPA01_pink_sm,Size,1464CPA01_pink_sm,active,Maaji,PEQUEÑO,7702781004569,PEQUEÑO,168000,COP Price
1464CPA01_pink_md,Size,1464CPA01_pink_md,active,Maaji,MEDIO,7702781004576,MEDIO,168000,COP Price
1464CPA01_pink_lg,Size,1464CPA01_pink_lg,active,Maaji,GRANDE,7702781004583,GRANDE,168000,COP Price
1471CSD01_blue_sm,Size,1471CSD01_blue_sm,active,Maaji,PEQUEÑO,7702781002251,PEQUEÑO,189000,COP Price
1471CSD01_blue_md,Size,1471CSD01_blue_md,active,Maaji,MEDIO,7702781002268,MEDIO,189000,COP Price
1471CSD01_blue_lg,Size,1471CSD01_blue_lg,active,Maaji,GRANDE,7702781002275,GRANDE,189000,COP Price
1472CSD01_blue_sm,Size,1472CSD01_blue_sm,active,Maaji,PEQUEÑO,7702781002152,PEQUEÑO,168000,COP Price
1472CSD01_blue_md,Size,1472CSD01_blue_md,active,Maaji,MEDIO,7702781002169,MEDIO,168000,COP Price
1472CSD01_blue_lg,Size,1472CSD01_blue_lg,active,Maaji,GRANDE,7702781002176,GRANDE,168000,COP Price
1469CKS01_blue_sm,Size,1469CKS01_blue_sm,active,Maaji,PEQUEÑO,7702781002602,PEQUEÑO,125000,COP Price
1469CKS01_blue_md,Size,1469CKS01_blue_md,active,Maaji,MEDIO,7702781002619,MEDIO,125000,COP Price
1469CKS01_blue_lg,Size,1469CKS01_blue_lg,active,Maaji,GRANDE,7702781002626,GRANDE,125000,COP Price
1461CSD01_pink_sm,Size,1461CSD01_pink_sm,active,Maaji,PEQUEÑO,7702781004613,PEQUEÑO,189000,COP Price
1461CSD01_pink_md,Size,1461CSD01_pink_md,active,Maaji,MEDIO,7702781004620,MEDIO,189000,COP Price
1461CSD01_pink_lg,Size,1461CSD01_pink_lg,active,Maaji,GRANDE,7702781004637,GRANDE,189000,COP Price
1378CPA01_purple_sm,Size,1378CPA01_purple_sm,active,Maaji,PEQUEÑO,7702781002558,PEQUEÑO,168000,COP Price
1378CPA01_purple_md,Size,1378CPA01_purple_md,active,Maaji,MEDIO,7702781002565,MEDIO,168000,COP Price
1378CPA01_purple_lg,Size,1378CPA01_purple_lg,active,Maaji,GRANDE,7702781002572,GRANDE,168000,COP Price
1426CSH01_purple_sm,Size,1426CSH01_purple_sm,active,Maaji,PEQUEÑO,7702781003357,PEQUEÑO,125000,COP Price
1426CSH01_purple_md,Size,1426CSH01_purple_md,active,Maaji,MEDIO,7702781003340,MEDIO,125000,COP Price
1426CSH01_purple_lg,Size,1426CSH01_purple_lg,active,Maaji,GRANDE,7702781003333,GRANDE,125000,COP Price
1463CLD01_purple_sm,Size,1463CLD01_purple_sm,active,Maaji,PEQUEÑO,7702781003456,PEQUEÑO,231000,COP Price
1463CLD01_purple_md,Size,1463CLD01_purple_md,active,Maaji,MEDIO,7702781003449,MEDIO,231000,COP Price
1463CLD01_purple_lg,Size,1463CLD01_purple_lg,active,Maaji,GRANDE,7702781003432,GRANDE,231000,COP Price
