lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1467CCT01_blue_sm,Size,1467CCT01_blue_sm,active,Maaji,SMALL,7702781001544,SMALL,121000,COP Price
1467CCT01_blue_md,Size,1467CCT01_blue_md,active,Maaji,MEDIUM,7702781001551,MEDIUM,121000,COP Price
1467CCT01_blue_lg,Size,1467CCT01_blue_lg,active,Maaji,LARGE,7702781001568,LARGE,121000,COP Price
1468CPA01_blue_sm,Size,1468CPA01_blue_sm,active,Maaji,SMALL,7702781001599,SMALL,180000,COP Price
1468CPA01_blue_md,Size,1468CPA01_blue_md,active,Maaji,MEDIUM,7702781001605,MEDIUM,180000,COP Price
1468CPA01_blue_lg,Size,1468CPA01_blue_lg,active,Maaji,LARGE,7702781001612,LARGE,180000,COP Price
1470CRO01_blue_sm,Size,1470CRO01_blue_sm,active,Maaji,SMALL,7702781001643,SMALL,168000,COP Price
1470CRO01_blue_md,Size,1470CRO01_blue_md,active,Maaji,MEDIUM,7702781001650,MEDIUM,168000,COP Price
1470CRO01_blue_lg,Size,1470CRO01_blue_lg,active,Maaji,LARGE,7702781001667,LARGE,168000,COP Price
1438CSD02_blue_sm,Size,1438CSD02_blue_sm,active,Maaji,SMALL,7702781002206,SMALL,189000,COP Price
1438CSD02_blue_md,Size,1438CSD02_blue_md,active,Maaji,MEDIUM,7702781002213,MEDIUM,189000,COP Price
1438CSD02_blue_lg,Size,1438CSD02_blue_lg,active,Maaji,LARGE,7702781002220,LARGE,189000,COP Price
1464CPA01_pink_sm,Size,1464CPA01_pink_sm,active,Maaji,SMALL,7702781004569,SMALL,168000,COP Price
1464CPA01_pink_md,Size,1464CPA01_pink_md,active,Maaji,MEDIUM,7702781004576,MEDIUM,168000,COP Price
1464CPA01_pink_lg,Size,1464CPA01_pink_lg,active,Maaji,LARGE,7702781004583,LARGE,168000,COP Price
1471CSD01_blue_sm,Size,1471CSD01_blue_sm,active,Maaji,SMALL,7702781002251,SMALL,189000,COP Price
1471CSD01_blue_md,Size,1471CSD01_blue_md,active,Maaji,MEDIUM,7702781002268,MEDIUM,189000,COP Price
1471CSD01_blue_lg,Size,1471CSD01_blue_lg,active,Maaji,LARGE,7702781002275,LARGE,189000,COP Price
1472CSD01_blue_sm,Size,1472CSD01_blue_sm,active,Maaji,SMALL,7702781002152,SMALL,168000,COP Price
1472CSD01_blue_md,Size,1472CSD01_blue_md,active,Maaji,MEDIUM,7702781002169,MEDIUM,168000,COP Price
1472CSD01_blue_lg,Size,1472CSD01_blue_lg,active,Maaji,LARGE,7702781002176,LARGE,168000,COP Price
1438CSD03_red_sm,Size,1438CSD03_red_sm,active,Maaji,SMALL,7702781018818,SMALL,189000,COP Price
1438CSD03_red_md,Size,1438CSD03_red_md,active,Maaji,MEDIUM,7702781018825,MEDIUM,189000,COP Price
1438CSD03_red_lg,Size,1438CSD03_red_lg,active,Maaji,LARGE,7702781018832,LARGE,189000,COP Price
1469CKS01_blue_sm,Size,1469CKS01_blue_sm,active,Maaji,SMALL,7702781002602,SMALL,125000,COP Price
1469CKS01_blue_md,Size,1469CKS01_blue_md,active,Maaji,MEDIUM,7702781002619,MEDIUM,125000,COP Price
1469CKS01_blue_lg,Size,1469CKS01_blue_lg,active,Maaji,LARGE,7702781002626,LARGE,125000,COP Price
1461CSD01_pink_sm,Size,1461CSD01_pink_sm,active,Maaji,SMALL,7702781004613,SMALL,189000,COP Price
