lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1467CCT01,3 Level Product Style,1467CCT01,active,Maaji,1,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>COOKIECUTTER SHARK</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Crop top<br/>Detalle espalda ajustable <br/>Dos formas</p>,COOKIECUTTER SHARK,"Crop top
Detalle espalda ajustable
Dos formas",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > TOPS,default,COVER UPS > TOPS,Maaji_EUR,COVER UPS > TOPS,Maaji_US,COVER UPS > TOPS,Maaji_AU,ROPA DE PLAYA > TOPS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL,ROPA DE PLAYA,<h4>COOKIECUTTER SHARK</h4>,MUJERES,active,2018,62.11.43.00.00,1467CCT01_blue
1468CPA01,3 Level Product Style,1468CPA01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>ELEPHANT SEAL</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Pantalon elefante<br/>Pretina posterior elástica<BR/>Bolsillos Laterales</p>,ELEPHANT SEAL,"Pantalon elefante
Pretina posterior elástica
Bolsillos laterales",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > PANTS,default,COVER UPS > PANTS,Maaji_EUR,COVER UPS > PANTS,Maaji_US,COVER UPS > PANTS,MaajiAU,ROPA DE PLAYA > PANTALONES,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL,ROPA DE PLAYA,<h4>ELEPHANT SEAL</h4>,MUJERES,active,2018,62.04.69.00.00,1468CPA01_blue
1470CRO01,3 Level Product Style,1470CRO01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>JUMP KANGAROO</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Romper<br/>Escote en v<br/>Cintura elástica</p>,JUMP KANGAROO,"Romper
Escote en v
Cintura elastica",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,COVER UPS > DRESSES,MaajiAU,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL ,ROPA DE PLAYA,<h4>JUMP KANGAROO</h4>,MUJERES,active,2018,62.11.43.00.00,1470CRO01_blue
1438CSD02,3 Level Product Style,1438CSD02,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>BABY FINLEY</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Detalle de puntada laterales<br/>Abertura lateral</p>,BABY FINLEY,"Detalle de puntada laterales
Abertura lateral",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > PANTS,default,COVER UPS > PANTS,Maaji_EUR,COVER UPS > PANTS,Maaji_US,COVER UPS > PANTS,MaajiAU,ROPA DE PLAYA > PANTALONES,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,ROJO,ROPA DE PLAYA,<h4>BABY FINLEY</h4>,MUJERES,active,2018,62.04.59.00.00,1438CSD02_blue
1464CPA01,3 Level Product Style,1464CPA01,active,Maaji,1,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>FUNKY TWIST</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Vestido corto<br/>Detalle en de  anudar en delantero<br/>Dos formas de uso</p>,FUNKY TWIST,"Vestido corto
Detalle en de  anudar en delantero
Dos formas de uso",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,COVER UPS > DRESSES,MaajiAU,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% RAYON TEJIDO,AZUL,ROPA DE PLAYA,<h4>FUNKY TWIST</h4>,MUJERES,active,2018,62.04.44.00.00,1464CPA01_pink
1471CSD01,3 Level Product Style,1471CSD01,active,Maaji,1,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>BISCUIT LION</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Vestido corto<br/>Detalle de anudar en la espalda</p>,BISCUIT LION,"Vestido corto
Detalle de anudar en la espalda",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,COVER UPS > DRESSES,MaajiAU,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL,ROPA DE PLAYA,<h4>BISCUIT LION</h4>,MUJERES,active,2018,62.04.44.00.00,1471CSD01_blue
1472CSD01,3 Level Product Style,1472CSD01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>SUGAR SWIZZLE</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Vestido corto<br/>Pretina elástica<br/>Tiras decorativas<br/>Mangas 3/4<br/>Detalle de puntada en escote<br/>Detalle de bordado en espalda</p>,SUGAR SWIZZLE,"Vestido corto
Pretina elástica
Tiras decorativas
Mangas 3/4
Detalle de puntada en escote
Detalle de bordado en espalda",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,COVER UPS > DRESSES,MaajiAU,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% RAYON TEJIDO,ROJO,ROPA DE PLAYA,<h4>SUGAR SWIZZLE</h4>,MUJERES,active,2018,62.04.44.00.00,1472CSD01_blue
1469CKS01,3 Level Product Style,1469CKS01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>CUTIE ARMADILLO</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Falda corta<br/>Pretina Elastica<br/>Bolsitllos laterales</p>,CUTIE ARMADILLO,"Falda corta
Pretina Elastica
Bolsitllos laterales",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > SKIRTS,default,COVER UPS > SKIRTS,Maaji_EUR,COVER UPS > SKIRTS,Maaji_US,COVER UPS > SKIRTS,MaajiAU,ROPA DE PLAYA > FALDAS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL,ROPA DE PLAYA,<h4>CUTIE ARMADILLO</h4>,MUJERES,active,2018,62.04.59.00.00,1469CKS01_blue
1461CSD01,3 Level Product Style,1461CSD01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>BABY GUPPIES</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,<p>Vestido corto<br/>Sin mangas<br/>Elástico en la espalda<br/>Cargaderas ajustables</p>,BABY GUPPIES,"Vestido corto
Sin mangas
Elástico en la espalda
Cargaderas ajustables",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,COVER UPS > DRESSES,MaajiAU,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,SPRING 2018,COLOMBIA,100% VISCOSA TEJIDA,ROJO,ROPA DE PLAYA,<h4>BABY GUPPIES</h4>,MUJERES,active,2018,62.04.44.00.00,1461CSD01_pink
1378CPA01,3 Level Product Style,1378CPA01,active,Maaji,0,0,,"


Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>SEA RAINBOW</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre</p>,   <p>Pantalon Jogger<br/>Bolsillos laterales</p>,SEA RAINBOW,"Pantalon Jogger
Bolsillos laterales",,,Nuestra modelo usa talla Colombiana: TALLA PEQUEÑA,,,COVER UPS > PANTS,default,COVER UPS > PANTS,Maaji_EUR,COVER UPS > PANTS,Maaji_US,COVER UPS > PANTS,MaajiAU,ROPA DE PLAYA > PANTALONES,Maaji_CO,Colombia,SPRING 2018,COLOMBIA, 88% VISCOSAS 12% NYLON TEJIDO,ROJO,ROPA DE PLAYA,<h4>SEA RAINBOW</h4>,MUJERES,active,2018,62.04.69.00.00,1378CPA01_purple
