lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
3039SBC02_purple,Colour,3039SBC02_purple,active,Maaji,1,1,purple,3039SBC02_purple_sm|3039SBC02_purple_md|3039SBC02_purple_lg
3039SDC02_purple,Colour,3039SDC02_purple,active,Maaji,1,1,purple,3039SDC02_purple_sm|3039SDC02_purple_md|3039SDC02_purple_lg
1930SBC01_purple,Colour,1930SBC01_purple,active,Maaji,1,1,purple,1930SBC01_purple_sm|1930SBC01_purple_md|1930SBC01_purple_lg
1930SCC01_purple,Colour,1930SCC01_purple,active,Maaji,1,1,purple,1930SCC01_purple_sm|1930SCC01_purple_md|1930SCC01_purple_lg
2110SBC01_purple,Colour,2110SBC01_purple,active,Maaji,1,1,purple,2110SBC01_purple_sm|2110SBC01_purple_md|2110SBC01_purple_lg
2110SDC01_purple,Colour,2110SDC01_purple,active,Maaji,1,1,purple,2110SDC01_purple_sm|2110SDC01_purple_md|2110SDC01_purple_lg
2114SBC01_purple,Colour,2114SBC01_purple,active,Maaji,1,1,purple,2114SBC01_purple_sm|2114SBC01_purple_md|2114SBC01_purple_lg
2114SCC01_purple,Colour,2114SCC01_purple,active,Maaji,1,1,purple,2114SCC01_purple_sm|2114SCC01_purple_md|2114SCC01_purple_lg
3044SBC01_red,Colour,3044SBC01_red,active,Maaji,1,1,red,3044SBC01_red_sm|3044SBC01_red_md|3044SBC01_red_lg
3044SCC01_red,Colour,3044SCC01_red,active,Maaji,1,1,red,3044SCC01_red_sm|3044SCC01_red_md|3044SCC01_red_lg
2120SAC01_purple,Colour,2120SAC01_purple,active,Maaji,1,1,purple,2120SAC01_purple_sm|2120SAC01_purple_md|2120SAC01_purple_lg
2120SBC01_purple,Colour,2120SBC01_purple,active,Maaji,1,1,purple,2120SBC01_purple_sm|2120SBC01_purple_md|2120SBC01_purple_lg
2116SBC01_purple,Colour,2116SBC01_purple,active,Maaji,1,1,purple,2116SBC01_purple_sm|2116SBC01_purple_md|2116SBC01_purple_lg
2116SDC01_purple,Colour,2116SDC01_purple,active,Maaji,1,1,purple,2116SDC01_purple_sm|2116SDC01_purple_md|2116SDC01_purple_lg
2047SAC02_blue,Colour,2047SAC02_blue,active,Maaji,1,1,blue,2047SAC02_blue_sm|2047SAC02_blue_md|2047SAC02_blue_lg
2047SBC02_blue,Colour,2047SBC02_blue,active,Maaji,1,1,blue,2047SBC02_blue_sm|2047SBC02_blue_md|2047SBC02_blue_lg
3008SCC01_blue,Colour,3008SCC01_blue,active,Maaji,1,1,blue,3008SCC01_blue_sm|3008SCC01_blue_md|3008SCC01_blue_lg
3052SBC01_blue,Colour,3052SBC01_blue,active,Maaji,1,1,blue,3052SBC01_blue_sm|3052SBC01_blue_md|3052SBC01_blue_lg
3052SDC01_blue,Colour,3052SDC01_blue,active,Maaji,1,1,blue,3052SDC01_blue_sm|3052SDC01_blue_md|3052SDC01_blue_lg
3007SAC06_blue,Colour,3007SAC06_blue,active,Maaji,1,1,blue,3007SAC06_blue_sm|3007SAC06_blue_md|3007SAC06_blue_lg
3007SBC06_blue,Colour,3007SBC06_blue,active,Maaji,1,1,blue,3007SBC06_blue_sm|3007SBC06_blue_md|3007SBC06_blue_lg
3007SCC06_blue,Colour,3007SCC06_blue,active,Maaji,1,1,blue,3007SCC06_blue_sm|3007SCC06_blue_md|3007SCC06_blue_lg
3007SDC06_blue,Colour,3007SDC06_blue,active,Maaji,1,1,blue,3007SDC06_blue_sm|3007SDC06_blue_md|3007SDC06_blue_lg
1943SAC01_blue,Colour,1943SAC01_blue,active,Maaji,1,1,blue,1943SAC01_blue_sm|1943SAC01_blue_md|1943SAC01_blue_lg
1943SBC01_blue,Colour,1943SBC01_blue,active,Maaji,1,1,blue,1943SBC01_blue_sm|1943SBC01_blue_md|1943SBC01_blue_lg
2062SBC02_blue,Colour,2062SBC02_blue,active,Maaji,1,1,blue,2062SBC02_blue_sm|2062SBC02_blue_md|2062SBC02_blue_lg
2062SDC02_blue,Colour,2062SDC02_blue,active,Maaji,1,1,blue,2062SDC02_blue_sm|2062SDC02_blue_md|2062SDC02_blue_lg
2126SBC01_blue,Colour,2126SBC01_blue,active,Maaji,1,1,blue,2126SBC01_blue_sm|2126SBC01_blue_md|2126SBC01_blue_lg
2126SDC01_blue,Colour,2126SDC01_blue,active,Maaji,1,1,blue,2126SDC01_blue_sm|2126SDC01_blue_md|2126SDC01_blue_lg
2120SAC02_blue,Colour,2120SAC02_blue,active,Maaji,1,1,blue,2120SAC02_blue_sm|2120SAC02_blue_md|2120SAC02_blue_lg
2120SBC02_blue,Colour,2120SBC02_blue,active,Maaji,1,1,blue,2120SBC02_blue_sm|2120SBC02_blue_md|2120SBC02_blue_lg
3013SBC02_blue,Colour,3013SBC02_blue,active,Maaji,1,1,blue,3013SBC02_blue_sm|3013SBC02_blue_md|3013SBC02_blue_lg
2043SBC01_blue,Colour,2043SBC01_blue,active,Maaji,1,1,blue,2043SBC01_blue_sm|2043SBC01_blue_md|2043SBC01_blue_lg
2043SCC01_blue,Colour,2043SCC01_blue,active,Maaji,1,1,blue,2043SCC01_blue_sm|2043SCC01_blue_md|2043SCC01_blue_lg
2111SOB01_purple,Colour,2111SOB01_purple,active,Maaji,1,1,purple,2111SOB01_purple_sm|2111SOB01_purple_md|2111SOB01_purple_lg
2111SOC01_purple,Colour,2111SOC01_purple,active,Maaji,1,1,purple,2111SOC01_purple_sm|2111SOC01_purple_md|2111SOC01_purple_lg
2122SOB01_blue,Colour,2122SOB01_blue,active,Maaji,1,1,blue,2122SOB01_blue_sm|2122SOB01_blue_md|2122SOB01_blue_lg
2122SOC01_blue,Colour,2122SOC01_blue,active,Maaji,1,1,blue,2122SOC01_blue_sm|2122SOC01_blue_md|2122SOC01_blue_lg
3007SAC03_purple,Colour,3007SAC03_purple,active,Maaji,1,1,purple,3007SAC03_purple_sm|3007SAC03_purple_md|3007SAC03_purple_lg
3007SBC03_purple,Colour,3007SBC03_purple,active,Maaji,1,1,purple,3007SBC03_purple_sm|3007SBC03_purple_md|3007SBC03_purple_lg
3007SCC03_purple,Colour,3007SCC03_purple,active,Maaji,1,1,purple,3007SCC03_purple_sm|3007SCC03_purple_md|3007SCC03_purple_lg
3007SDC03_purple,Colour,3007SDC03_purple,active,Maaji,1,1,purple,3007SDC03_purple_sm|3007SDC03_purple_md|3007SDC03_purple_lg
3007SAC04_red,Colour,3007SAC04_red,active,Maaji,1,1,red,3007SAC04_red_sm|3007SAC04_red_md|3007SAC04_red_lg
3007SBC04_red,Colour,3007SBC04_red,active,Maaji,1,1,red,3007SBC04_red_sm|3007SBC04_red_md|3007SBC04_red_lg
3007SCC04_red,Colour,3007SCC04_red,active,Maaji,1,1,red,3007SCC04_red_sm|3007SCC04_red_md|3007SCC04_red_lg
3007SDC04_red,Colour,3007SDC04_red,active,Maaji,1,1,red,3007SDC04_red_sm|3007SDC04_red_md|3007SDC04_red_lg
2062SBC03_blue,Colour,2062SBC03_blue,active,Maaji,1,1,blue,2062SBC03_blue_sm|2062SBC03_blue_md|2062SBC03_blue_lg
2062SCC03_blue,Colour,2062SCC03_blue,active,Maaji,1,1,blue,2062SCC03_blue_sm|2062SCC03_blue_md|2062SCC03_blue_lg
2041SAC01_wine,Colour,2041SAC01_wine,active,Maaji,1,1,wine,2041SAC01_wine_sm|2041SAC01_wine_md|2041SAC01_wine_lg
2041SBC01_wine,Colour,2041SBC01_wine,active,Maaji,1,1,wine,2041SBC01_wine_sm|2041SBC01_wine_md|2041SBC01_wine_lg
3007SBC05_blue,Colour,3007SBC05_blue,active,Maaji,1,1,blue,3007SBC05_blue_sm|3007SBC05_blue_md|3007SBC05_blue_lg
3007SCC05_blue,Colour,3007SCC05_blue,active,Maaji,1,1,blue,3007SCC05_blue_sm|3007SCC05_blue_md|3007SCC05_blue_lg
2119SOH01_purple,Colour,2119SOH01_purple,active,Maaji,1,1,purple,2119SOH01_purple_sm|2119SOH01_purple_md|2119SOH01_purple_lg
2119SOR01_purple,Colour,2119SOR01_purple,active,Maaji,1,1,purple,2119SOR01_purple_sm|2119SOR01_purple_md|2119SOR01_purple_lg
3050SOH01_blue,Colour,3050SOH01_blue,active,Maaji,1,1,blue,3050SOH01_blue_sm|3050SOH01_blue_md|3050SOH01_blue_lg
3050SOR01_blue,Colour,3050SOR01_blue,active,Maaji,1,1,blue,3050SOR01_blue_sm|3050SOR01_blue_md|3050SOR01_blue_lg
2130SCC01_blue,Colour,2130SCC01_blue,active,Maaji,1,1,blue,2130SCC01_blue_sm|2130SCC01_blue_md|2130SCC01_blue_lg
