lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,variation_children_code
3039sbc02,Cut,3039SBC02,active,Maaji,,3039sbc02_morado
3039sdc02,Cut,3039SDC02,active,Maaji,,3039sdc02_morado
1930sbc01,Cut,1930SBC01,active,Maaji,,1930sbc01_morado
1930scc01,Cut,1930SCC01,active,Maaji,,1930scc01_morado
2110sbc01,Cut,2110SBC01,active,Maaji,,2110sbc01_morado
2110sdc01,Cut,2110SDC01,active,Maaji,,2110sdc01_morado
2114sbc01,Cut,2114SBC01,active,Maaji,,2114sbc01_morado
2114scc01,Cut,2114SCC01,active,Maaji,,2114scc01_morado
3044sbc01,Cut,3044SBC01,active,Maaji,,3044sbc01_rojo
3044scc01,Cut,3044SCC01,active,Maaji,,3044scc01_rojo
2120sac01,Cut,2120SAC01,active,Maaji,,2120sac01_morado
2120sbc01,Cut,2120SBC01,active,Maaji,,2120sbc01_morado
2116sbc01,Cut,2116SBC01,active,Maaji,,2116sbc01_morado
2116sdc01,Cut,2116SDC01,active,Maaji,,2116sdc01_morado
2047sac02,Cut,2047SAC02,active,Maaji,,2047sac02_azul
2047sbc02,Cut,2047SBC02,active,Maaji,,2047sbc02_azul
3008scc01,Cut,3008SCC01,active,Maaji,,3008scc01_azul
3052sbc01,Cut,3052SBC01,active,Maaji,,3052sbc01_azul
3052sdc01,Cut,3052SDC01,active,Maaji,,3052sdc01_azul
3007sac06,Cut,3007SAC06,active,Maaji,,3007sac06_azul
3007sbc06,Cut,3007SBC06,active,Maaji,,3007sbc06_azul
3007scc06,Cut,3007SCC06,active,Maaji,,3007scc06_azul
3007sdc06,Cut,3007SDC06,active,Maaji,,3007sdc06_azul
1943sac01,Cut,1943SAC01,active,Maaji,,1943sac01_azul
1943sbc01,Cut,1943SBC01,active,Maaji,,1943sbc01_azul
2062sbc02,Cut,2062SBC02,active,Maaji,,2062sbc02_azul
2062sdc02,Cut,2062SDC02,active,Maaji,,2062sdc02_azul
2126sbc01,Cut,2126SBC01,active,Maaji,,2126sbc01_azul
2126sdc01,Cut,2126SDC01,active,Maaji,,2126sdc01_azul
2120sac02,Cut,2120SAC02,active,Maaji,,2120sac02_azul
2120sbc02,Cut,2120SBC02,active,Maaji,,2120sbc02_azul
3013sbc02,Cut,3013SBC02,active,Maaji,,3013sbc02_azul
2043sbc01,Cut,2043SBC01,active,Maaji,,2043sbc01_azul
2043scc01,Cut,2043SCC01,active,Maaji,,2043scc01_azul
2111sob01,Cut,2111SOB01,active,Maaji,,2111sob01_morado
2111soc01,Cut,2111SOC01,active,Maaji,,2111soc01_morado
2122sob01,Cut,2122SOB01,active,Maaji,,2122sob01_azul
2122soc01,Cut,2122SOC01,active,Maaji,,2122soc01_azul
3007sac03,Cut,3007SAC03,active,Maaji,,3007sac03_morado
3007sbc03,Cut,3007SBC03,active,Maaji,,3007sbc03_morado
3007scc03,Cut,3007SCC03,active,Maaji,,3007scc03_morado
3007sdc03,Cut,3007SDC03,active,Maaji,,3007sdc03_morado
3007sac04,Cut,3007SAC04,active,Maaji,,3007sac04_rojo
3007sbc04,Cut,3007SBC04,active,Maaji,,3007sbc04_rojo
3007scc04,Cut,3007SCC04,active,Maaji,,3007scc04_rojo
3007sdc04,Cut,3007SDC04,active,Maaji,,3007sdc04_rojo
2062sbc03,Cut,2062SBC03,active,Maaji,,2062sbc03_azul
2062scc03,Cut,2062SCC03,active,Maaji,,2062scc03_azul
2041sac01,Cut,2041SAC01,active,Maaji,,2041sac01_vinotinto
2041sbc01,Cut,2041SBC01,active,Maaji,,2041sbc01_vinotinto
3007sbc05,Cut,3007SBC05,active,Maaji,,3007sbc05_azul
3007scc05,Cut,3007SCC05,active,Maaji,,3007scc05_azul
2119soh01,Cut,2119SOH01,active,Maaji,,2119soh01_morado
2119sor01,Cut,2119SOR01,active,Maaji,,2119sor01_morado
3050soh01,Cut,3050SOH01,active,Maaji,,3050soh01_azul
3050sor01,Cut,3050SOR01,active,Maaji,,3050sor01_azul
2130scc01,Cut,2130SCC01,active,Maaji,,2130scc01_azul
