lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SAC14_red_sm,Size,3007SAC14_red_sm,active,Maaji,7702781046453,SMALL,95000,COP Price
3007SAC14_red_md,Size,3007SAC14_red_md,active,Maaji,7702781046453,MEDIUM,95000,COP Price
3007SAC14_red_lg,Size,3007SAC14_red_lg,active,Maaji,7702781046453,LARGE,95000,COP Price
3007SBC14_red_sm,Size,3007SBC14_red_sm,active,Maaji,7702781046507,SMALL,95000,COP Price
3007SBC14_red_md,Size,3007SBC14_red_md,active,Maaji,7702781046507,MEDIUM,95000,COP Price
3007SBC14_red_lg,Size,3007SBC14_red_lg,active,Maaji,7702781046507,LARGE,95000,COP Price
3007SCC14_red_sm,Size,3007SCC14_red_sm,active,Maaji,7702781046552,SMALL,95000,COP Price
3007SCC14_red_md,Size,3007SCC14_red_md,active,Maaji,7702781046552,MEDIUM,95000,COP Price
3007SCC14_red_lg,Size,3007SCC14_red_lg,active,Maaji,7702781046552,LARGE,95000,COP Price
3007SDC14_red_sm,Size,3007SDC14_red_sm,active,Maaji,7702781035532,SMALL,95000,COP Price
3007SDC14_red_md,Size,3007SDC14_red_md,active,Maaji,7702781035532,MEDIUM,95000,COP Price
3007SDC14_red_lg,Size,3007SDC14_red_lg,active,Maaji,7702781035532,LARGE,95000,COP Price
