lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3039SBC02_purple_sm,Size,3039SBC02_purple_sm,active,Maaji,PEQUEÑO,7702781001902,PEQUEÑO,95000,COP Price
3039SBC02_purple_md,Size,3039SBC02_purple_md,active,Maaji,MEDIO,7702781001919,MEDIO,95000,COP Price
3039SBC02_purple_lg,Size,3039SBC02_purple_lg,active,Maaji,GRANDE,7702781001926,GRANDE,95000,COP Price
3039SDC02_purple_sm,Size,3039SDC02_purple_sm,active,Maaji,PEQUEÑO,7702781020033,PEQUEÑO,95000,COP Price
3039SDC02_purple_md,Size,3039SDC02_purple_md,active,Maaji,MEDIO,7702781020040,MEDIO,95000,COP Price
3039SDC02_purple_lg,Size,3039SDC02_purple_lg,active,Maaji,GRANDE,7702781020057,GRANDE,95000,COP Price
1930SBC01_purple_sm,Size,1930SBC01_purple_sm,active,Maaji,PEQUEÑO,7702781001759,PEQUEÑO,100000,COP Price
1930SBC01_purple_md,Size,1930SBC01_purple_md,active,Maaji,MEDIO,7702781001766,MEDIO,100000,COP Price
1930SBC01_purple_lg,Size,1930SBC01_purple_lg,active,Maaji,GRANDE,7702781001773,GRANDE,100000,COP Price
1930SCC01_purple_sm,Size,1930SCC01_purple_sm,active,Maaji,PEQUEÑO,7702781021689,PEQUEÑO,100000,COP Price
1930SCC01_purple_md,Size,1930SCC01_purple_md,active,Maaji,MEDIO,7702781021696,MEDIO,100000,COP Price
1930SCC01_purple_lg,Size,1930SCC01_purple_lg,active,Maaji,GRANDE,7702781021702,GRANDE,100000,COP Price
2110SBC01_purple_sm,Size,2110SBC01_purple_sm,active,Maaji,PEQUEÑO,7702781002053,PEQUEÑO,100000,COP Price
2110SBC01_purple_md,Size,2110SBC01_purple_md,active,Maaji,MEDIO,7702781002060,MEDIO,100000,COP Price
2110SBC01_purple_lg,Size,2110SBC01_purple_lg,active,Maaji,GRANDE,7702781002077,GRANDE,100000,COP Price
2110SDC01_purple_sm,Size,2110SDC01_purple_sm,active,Maaji,PEQUEÑO,7702781021283,PEQUEÑO,100000,COP Price
2110SDC01_purple_md,Size,2110SDC01_purple_md,active,Maaji,MEDIO,7702781021290,MEDIO,100000,COP Price
2110SDC01_purple_lg,Size,2110SDC01_purple_lg,active,Maaji,GRANDE,7702781021306,GRANDE,100000,COP Price
2114SBC01_purple_sm,Size,2114SBC01_purple_sm,active,Maaji,PEQUEÑO,7702781002107,PEQUEÑO,100000,COP Price
2114SBC01_purple_md,Size,2114SBC01_purple_md,active,Maaji,MEDIO,7702781002114,MEDIO,100000,COP Price
2114SBC01_purple_lg,Size,2114SBC01_purple_lg,active,Maaji,GRANDE,7702781002121,GRANDE,100000,COP Price
2114SCC01_purple_sm,Size,2114SCC01_purple_sm,active,Maaji,PEQUEÑO,7702781021238,PEQUEÑO,100000,COP Price
2114SCC01_purple_md,Size,2114SCC01_purple_md,active,Maaji,MEDIO,7702781021245,MEDIO,100000,COP Price
2114SCC01_purple_lg,Size,2114SCC01_purple_lg,active,Maaji,GRANDE,7702781021252,GRANDE,100000,COP Price
3044SBC01_red_sm,Size,3044SBC01_red_sm,active,Maaji,PEQUEÑO,7702781003050,PEQUEÑO,95000,COP Price
3044SBC01_red_md,Size,3044SBC01_red_md,active,Maaji,MEDIO,7702781003067,MEDIO,95000,COP Price
3044SBC01_red_lg,Size,3044SBC01_red_lg,active,Maaji,GRANDE,7702781003074,GRANDE,95000,COP Price
3044SCC01_red_sm,Size,3044SCC01_red_sm,active,Maaji,PEQUEÑO,7702781020385,PEQUEÑO,95000,COP Price
3044SCC01_red_md,Size,3044SCC01_red_md,active,Maaji,MEDIO,7702781020392,MEDIO,95000,COP Price
3044SCC01_red_lg,Size,3044SCC01_red_lg,active,Maaji,GRANDE,7702781020408,GRANDE,95000,COP Price
2120SAC01_purple_sm,Size,2120SAC01_purple_sm,active,Maaji,PEQUEÑO,7702781002350,PEQUEÑO,100000,COP Price
2120SAC01_purple_md,Size,2120SAC01_purple_md,active,Maaji,MEDIO,7702781002367,MEDIO,100000,COP Price
2120SAC01_purple_lg,Size,2120SAC01_purple_lg,active,Maaji,GRANDE,7702781002374,GRANDE,100000,COP Price
2120SBC01_purple_sm,Size,2120SBC01_purple_sm,active,Maaji,PEQUEÑO,7702781020736,PEQUEÑO,100000,COP Price
2120SBC01_purple_md,Size,2120SBC01_purple_md,active,Maaji,MEDIO,7702781020743,MEDIO,100000,COP Price
2120SBC01_purple_lg,Size,2120SBC01_purple_lg,active,Maaji,GRANDE,7702781020750,GRANDE,100000,COP Price
2116SBC01_purple_sm,Size,2116SBC01_purple_sm,active,Maaji,PEQUEÑO,7702781002756,PEQUEÑO,100000,COP Price
2116SBC01_purple_md,Size,2116SBC01_purple_md,active,Maaji,MEDIO,7702781002763,MEDIO,100000,COP Price
2116SBC01_purple_lg,Size,2116SBC01_purple_lg,active,Maaji,GRANDE,7702781002770,GRANDE,100000,COP Price
2116SDC01_purple_sm,Size,2116SDC01_purple_sm,active,Maaji,PEQUEÑO,7702781020583,PEQUEÑO,100000,COP Price
2116SDC01_purple_md,Size,2116SDC01_purple_md,active,Maaji,MEDIO,7702781020590,MEDIO,100000,COP Price
2116SDC01_purple_lg,Size,2116SDC01_purple_lg,active,Maaji,GRANDE,7702781020606,GRANDE,100000,COP Price
2047SAC02_blue_sm,Size,2047SAC02_blue_sm,active,Maaji,PEQUEÑO,7702781003210,PEQUEÑO,100000,COP Price
2047SAC02_blue_md,Size,2047SAC02_blue_md,active,Maaji,MEDIO,7702781003203,MEDIO,100000,COP Price
2047SAC02_blue_lg,Size,2047SAC02_blue_lg,active,Maaji,GRANDE,7702781003197,GRANDE,100000,COP Price
2047SBC02_blue_sm,Size,2047SBC02_blue_sm,active,Maaji,PEQUEÑO,7702781020439,PEQUEÑO,100000,COP Price
2047SBC02_blue_md,Size,2047SBC02_blue_md,active,Maaji,MEDIO,7702781020446,MEDIO,100000,COP Price
2047SBC02_blue_lg,Size,2047SBC02_blue_lg,active,Maaji,GRANDE,7702781020453,GRANDE,100000,COP Price
3008SCC01_blue_sm,Size,3008SCC01_blue_sm,active,Maaji,PEQUEÑO,7702781005030,PEQUEÑO,95000,COP Price
3008SCC01_blue_md,Size,3008SCC01_blue_md,active,Maaji,MEDIO,7702781004927,MEDIO,95000,COP Price
3008SCC01_blue_lg,Size,3008SCC01_blue_lg,active,Maaji,GRANDE,7702781004934,GRANDE,95000,COP Price
3052SBC01_blue_sm,Size,3052SBC01_blue_sm,active,Maaji,PEQUEÑO,7702781004965,PEQUEÑO,100000,COP Price
3052SBC01_blue_md,Size,3052SBC01_blue_md,active,Maaji,MEDIO,7702781004972,MEDIO,100000,COP Price
3052SBC01_blue_lg,Size,3052SBC01_blue_lg,active,Maaji,GRANDE,7702781004989,GRANDE,100000,COP Price
3052SDC01_blue_sm,Size,3052SDC01_blue_sm,active,Maaji,PEQUEÑO,7702781021184,PEQUEÑO,100000,COP Price
3052SDC01_blue_md,Size,3052SDC01_blue_md,active,Maaji,MEDIO,7702781021191,MEDIO,100000,COP Price
3052SDC01_blue_lg,Size,3052SDC01_blue_lg,active,Maaji,GRANDE,7702781021207,GRANDE,100000,COP Price
