lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3039SBC02_purple_sm,Size,3039SBC02_purple_sm,active,Maaji,SMALL,7702781001902,SMALL,95000,COP Price
3039SBC02_purple_md,Size,3039SBC02_purple_md,active,Maaji,MEDIUM,7702781001919,MEDIUM,95000,COP Price
3039SBC02_purple_lg,Size,3039SBC02_purple_lg,active,Maaji,LARGE,7702781001926,LARGE,95000,COP Price
3039SDC02_purple_sm,Size,3039SDC02_purple_sm,active,Maaji,SMALL,7702781020033,SMALL,95000,COP Price
3039SDC02_purple_md,Size,3039SDC02_purple_md,active,Maaji,MEDIUM,7702781020040,MEDIUM,95000,COP Price
3039SDC02_purple_lg,Size,3039SDC02_purple_lg,active,Maaji,LARGE,7702781020057,LARGE,95000,COP Price
1930SBC01_purple_sm,Size,1930SBC01_purple_sm,active,Maaji,SMALL,7702781001759,SMALL,100000,COP Price
1930SBC01_purple_md,Size,1930SBC01_purple_md,active,Maaji,MEDIUM,7702781001766,MEDIUM,100000,COP Price
1930SBC01_purple_lg,Size,1930SBC01_purple_lg,active,Maaji,LARGE,7702781001773,LARGE,100000,COP Price
1930SCC01_purple_sm,Size,1930SCC01_purple_sm,active,Maaji,SMALL,7702781021689,SMALL,100000,COP Price
1930SCC01_purple_md,Size,1930SCC01_purple_md,active,Maaji,MEDIUM,7702781021696,MEDIUM,100000,COP Price
1930SCC01_purple_lg,Size,1930SCC01_purple_lg,active,Maaji,LARGE,7702781021702,LARGE,100000,COP Price
2110SBC01_purple_sm,Size,2110SBC01_purple_sm,active,Maaji,SMALL,7702781002053,SMALL,100000,COP Price
2110SBC01_purple_md,Size,2110SBC01_purple_md,active,Maaji,MEDIUM,7702781002060,MEDIUM,100000,COP Price
2110SBC01_purple_lg,Size,2110SBC01_purple_lg,active,Maaji,LARGE,7702781002077,LARGE,100000,COP Price
2110SDC01_purple_sm,Size,2110SDC01_purple_sm,active,Maaji,SMALL,7702781021283,SMALL,100000,COP Price
2110SDC01_purple_md,Size,2110SDC01_purple_md,active,Maaji,MEDIUM,7702781021290,MEDIUM,100000,COP Price
2110SDC01_purple_lg,Size,2110SDC01_purple_lg,active,Maaji,LARGE,7702781021306,LARGE,100000,COP Price
2114SBC01_purple_sm,Size,2114SBC01_purple_sm,active,Maaji,SMALL,7702781002107,SMALL,100000,COP Price
2114SBC01_purple_md,Size,2114SBC01_purple_md,active,Maaji,MEDIUM,7702781002114,MEDIUM,100000,COP Price
2114SBC01_purple_lg,Size,2114SBC01_purple_lg,active,Maaji,LARGE,7702781002121,LARGE,100000,COP Price
2114SCC01_purple_sm,Size,2114SCC01_purple_sm,active,Maaji,SMALL,7702781021238,SMALL,100000,COP Price
2114SCC01_purple_md,Size,2114SCC01_purple_md,active,Maaji,MEDIUM,7702781021245,MEDIUM,100000,COP Price
2114SCC01_purple_lg,Size,2114SCC01_purple_lg,active,Maaji,LARGE,7702781021252,LARGE,100000,COP Price
3044SBC01_red_sm,Size,3044SBC01_red_sm,active,Maaji,SMALL,7702781003050,SMALL,95000,COP Price
3044SBC01_red_md,Size,3044SBC01_red_md,active,Maaji,MEDIUM,7702781003067,MEDIUM,95000,COP Price
3044SBC01_red_lg,Size,3044SBC01_red_lg,active,Maaji,LARGE,7702781003074,LARGE,95000,COP Price
3044SCC01_red_sm,Size,3044SCC01_red_sm,active,Maaji,SMALL,7702781020385,SMALL,95000,COP Price
3044SCC01_red_md,Size,3044SCC01_red_md,active,Maaji,MEDIUM,7702781020392,MEDIUM,95000,COP Price
3044SCC01_red_lg,Size,3044SCC01_red_lg,active,Maaji,LARGE,7702781020408,LARGE,95000,COP Price
2120SAC01_purple_sm,Size,2120SAC01_purple_sm,active,Maaji,SMALL,7702781002350,SMALL,100000,COP Price
2120SAC01_purple_md,Size,2120SAC01_purple_md,active,Maaji,MEDIUM,7702781002367,MEDIUM,100000,COP Price
2120SAC01_purple_lg,Size,2120SAC01_purple_lg,active,Maaji,LARGE,7702781002374,LARGE,100000,COP Price
2120SBC01_purple_sm,Size,2120SBC01_purple_sm,active,Maaji,SMALL,7702781020736,SMALL,100000,COP Price
2120SBC01_purple_md,Size,2120SBC01_purple_md,active,Maaji,MEDIUM,7702781020743,MEDIUM,100000,COP Price
2120SBC01_purple_lg,Size,2120SBC01_purple_lg,active,Maaji,LARGE,7702781020750,LARGE,100000,COP Price
2116SBC01_purple_sm,Size,2116SBC01_purple_sm,active,Maaji,SMALL,7702781002756,SMALL,100000,COP Price
2116SBC01_purple_md,Size,2116SBC01_purple_md,active,Maaji,MEDIUM,7702781002763,MEDIUM,100000,COP Price
2116SBC01_purple_lg,Size,2116SBC01_purple_lg,active,Maaji,LARGE,7702781002770,LARGE,100000,COP Price
2116SDC01_purple_sm,Size,2116SDC01_purple_sm,active,Maaji,SMALL,7702781020583,SMALL,100000,COP Price
2116SDC01_purple_md,Size,2116SDC01_purple_md,active,Maaji,MEDIUM,7702781020590,MEDIUM,100000,COP Price
2116SDC01_purple_lg,Size,2116SDC01_purple_lg,active,Maaji,LARGE,7702781020606,LARGE,100000,COP Price
2047SAC02_blue_sm,Size,2047SAC02_blue_sm,active,Maaji,SMALL,7702781003210,SMALL,100000,COP Price
