lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
JUNEBERRY FLIRT,4 Level Product Style,JUNEBERRY FLIRT,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>JUNEBERRY FLIRT</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523894971/Spring2018/3039SBC02_3039SDC02_purple_1.jpg,3039SBC02_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523894972/Spring2018/3039SBC02_3039SDC02_purple_2.jpg,3039SBC02_purple_2,,https://res.cloudinary.com/maaji/image/upload/v1523894972/Spring2018/3039SBC02_3039SDC02_purple_5.jpg,3039SBC02_purple_5,,https://res.cloudinary.com/maaji/image/upload/v1523894973/Spring2018/3039SBC02_3039SDC02_purple_6.jpg,3039SBC02_purple_6,,,,,,,,61.12.41.00.00,3039SBC02|3039SDC02
ROSE VELVET,4 Level Product Style,ROSE VELVET,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>ROSE VELVET</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,1930SBC01|1930SCC01
CUMBIA SOCIETY,4 Level Product Style,CUMBIA SOCIETY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>CUMBIA SOCIETY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2110SBC01|2110SDC01
CINNAMON ATTILA,4 Level Product Style,CINNAMON ATTILA,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>CINNAMON ATTILA</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2114SBC01|2114SCC01
CINNAMON SUNNY,4 Level Product Style,CINNAMON SUNNY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>CINNAMON SUNNY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3044SBC01|3044SCC01
ARUSI MERLOT,4 Level Product Style,ARUSI MERLOT,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>ARUSI MERLOT</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2120SAC01|2120SBC02
BRISTLE GARDENS,4 Level Product Style,BRISTLE GARDENS,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>BRISTLE GARDENS</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2116SBC01|2116SDC01
ANDES FOLIAGE,4 Level Product Style,ANDES FOLIAGE,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>ANDES FOLIAGE</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2047SAC02|2047SBC02
STARGAZER CASCADE,4 Level Product Style,STARGAZER CASCADE,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>STARGAZER CASCADE</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3008SCC01
STARGAZER ORNATE,4 Level Product Style,STARGAZER ORNATE,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>STARGAZER ORNATE</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3052SBC01|3052SDC01
STARGAZER SUBLIME,4 Level Product Style,STARGAZER SUBLIME,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>STARGAZER SUBLIME</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3007SAC06|3007SBC06|3007SCC06|3007SDC06
SEASHELLS NIGHTS,4 Level Product Style,SEASHELLS NIGHTS,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>SEASHELLS NIGHTS</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,1943SAC01|1943SBC01
PALOMINO SKY,4 Level Product Style,PALOMINO SKY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>PALOMINO SKY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2062SBC02|2062SDC02
GORGONA FOREST,4 Level Product Style,GORGONA FOREST,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>GORGONA FOREST</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2126SBC01|2126SDC01
