lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
3039SBC02_purple_sm,CO,3039SBC02_purple_sm,10,in_stock,dynamic,10
3039SBC02_purple_md,CO,3039SBC02_purple_md,9,in_stock,dynamic,9
3039SBC02_purple_lg,CO,3039SBC02_purple_lg,12,in_stock,dynamic,12
3039SDC02_purple_sm,CO,3039SDC02_purple_sm,7,in_stock,dynamic,7
3039SDC02_purple_md,CO,3039SDC02_purple_md,6,in_stock,dynamic,6
3039SDC02_purple_lg,CO,3039SDC02_purple_lg,2,in_stock,dynamic,2
1930SBC01_purple_sm,CO,1930SBC01_purple_sm,4,in_stock,dynamic,4
1930SBC01_purple_md,CO,1930SBC01_purple_md,9,in_stock,dynamic,9
1930SBC01_purple_lg,CO,1930SBC01_purple_lg,2,in_stock,dynamic,2
1930SCC01_purple_sm,CO,1930SCC01_purple_sm,1,in_stock,dynamic,1
1930SCC01_purple_md,CO,1930SCC01_purple_md,10,in_stock,dynamic,10
1930SCC01_purple_lg,CO,1930SCC01_purple_lg,12,in_stock,dynamic,12
2110SBC01_purple_sm,CO,2110SBC01_purple_sm,8,in_stock,dynamic,8
2110SBC01_purple_md,CO,2110SBC01_purple_md,5,in_stock,dynamic,5
2110SBC01_purple_lg,CO,2110SBC01_purple_lg,3,in_stock,dynamic,3
2110SDC01_purple_sm,CO,2110SDC01_purple_sm,1,in_stock,dynamic,1
2110SDC01_purple_md,CO,2110SDC01_purple_md,8,in_stock,dynamic,8
2110SDC01_purple_lg,CO,2110SDC01_purple_lg,12,in_stock,dynamic,12
2114SBC01_purple_sm,CO,2114SBC01_purple_sm,10,in_stock,dynamic,10
2114SBC01_purple_md,CO,2114SBC01_purple_md,10,in_stock,dynamic,10
2114SBC01_purple_lg,CO,2114SBC01_purple_lg,9,in_stock,dynamic,9
2114SCC01_purple_sm,CO,2114SCC01_purple_sm,12,in_stock,dynamic,12
2114SCC01_purple_md,CO,2114SCC01_purple_md,7,in_stock,dynamic,7
2114SCC01_purple_lg,CO,2114SCC01_purple_lg,6,in_stock,dynamic,6
3044SBC01_red_sm,CO,3044SBC01_red_sm,2,in_stock,dynamic,2
3044SBC01_red_md,CO,3044SBC01_red_md,4,in_stock,dynamic,4
3044SBC01_red_lg,CO,3044SBC01_red_lg,9,in_stock,dynamic,9
3044SCC01_red_sm,CO,3044SCC01_red_sm,2,in_stock,dynamic,2
3044SCC01_red_md,CO,3044SCC01_red_md,1,in_stock,dynamic,1
3044SCC01_red_lg,CO,3044SCC01_red_lg,10,in_stock,dynamic,10
2120SAC01_purple_sm,CO,2120SAC01_purple_sm,12,in_stock,dynamic,12
2120SAC01_purple_md,CO,2120SAC01_purple_md,8,in_stock,dynamic,8
2120SAC01_purple_lg,CO,2120SAC01_purple_lg,5,in_stock,dynamic,5
2120SBC01_purple_sm,CO,2120SBC01_purple_sm,3,in_stock,dynamic,3
2120SBC01_purple_md,CO,2120SBC01_purple_md,1,in_stock,dynamic,1
2120SBC01_purple_lg,CO,2120SBC01_purple_lg,8,in_stock,dynamic,8
2116SBC01_purple_sm,CO,2116SBC01_purple_sm,12,in_stock,dynamic,12
2116SBC01_purple_md,CO,2116SBC01_purple_md,10,in_stock,dynamic,10
2116SBC01_purple_lg,CO,2116SBC01_purple_lg,10,in_stock,dynamic,10
2116SDC01_purple_sm,CO,2116SDC01_purple_sm,9,in_stock,dynamic,9
2116SDC01_purple_md,CO,2116SDC01_purple_md,12,in_stock,dynamic,12
2116SDC01_purple_lg,CO,2116SDC01_purple_lg,7,in_stock,dynamic,7
2047SAC02_blue_sm,CO,2047SAC02_blue_sm,6,in_stock,dynamic,6
2047SAC02_blue_md,CO,2047SAC02_blue_md,2,in_stock,dynamic,2
2047SAC02_blue_lg,CO,2047SAC02_blue_lg,4,in_stock,dynamic,4
2047SBC02_blue_sm,CO,2047SBC02_blue_sm,9,in_stock,dynamic,9
2047SBC02_blue_md,CO,2047SBC02_blue_md,2,in_stock,dynamic,2
2047SBC02_blue_lg,CO,2047SBC02_blue_lg,1,in_stock,dynamic,1
3008SCC01_blue_sm,CO,3008SCC01_blue_sm,10,in_stock,dynamic,10
3008SCC01_blue_md,CO,3008SCC01_blue_md,12,in_stock,dynamic,12
3008SCC01_blue_lg,CO,3008SCC01_blue_lg,8,in_stock,dynamic,8
3052SBC01_blue_sm,CO,3052SBC01_blue_sm,5,in_stock,dynamic,5
3052SBC01_blue_md,CO,3052SBC01_blue_md,3,in_stock,dynamic,3
3052SBC01_blue_lg,CO,3052SBC01_blue_lg,1,in_stock,dynamic,1
3052SDC01_blue_sm,CO,3052SDC01_blue_sm,8,in_stock,dynamic,8
3052SDC01_blue_md,CO,3052SDC01_blue_md,12,in_stock,dynamic,12
3052SDC01_blue_lg,CO,3052SDC01_blue_lg,10,in_stock,dynamic,10
3007SAC06_blue_sm,CO,3007SAC06_blue_sm,10,in_stock,dynamic,10
3007SAC06_blue_md,CO,3007SAC06_blue_md,9,in_stock,dynamic,9
3007SAC06_blue_lg,CO,3007SAC06_blue_lg,12,in_stock,dynamic,12
3007SBC06_blue_sm,CO,3007SBC06_blue_sm,7,in_stock,dynamic,7
3007SBC06_blue_md,CO,3007SBC06_blue_md,6,in_stock,dynamic,6
3007SBC06_blue_lg,CO,3007SBC06_blue_lg,2,in_stock,dynamic,2
3007SCC06_blue_sm,CO,3007SCC06_blue_sm,4,in_stock,dynamic,4
3007SCC06_blue_md,CO,3007SCC06_blue_md,9,in_stock,dynamic,9
3007SCC06_blue_lg,CO,3007SCC06_blue_lg,2,in_stock,dynamic,2
3007SDC06_blue_sm,CO,3007SDC06_blue_sm,1,in_stock,dynamic,1
3007SDC06_blue_md,CO,3007SDC06_blue_md,10,in_stock,dynamic,10
3007SDC06_blue_lg,CO,3007SDC06_blue_lg,12,in_stock,dynamic,12
1943SAC01_blue_sm,CO,1943SAC01_blue_sm,8,in_stock,dynamic,8
1943SAC01_blue_md,CO,1943SAC01_blue_md,5,in_stock,dynamic,5
1943SAC01_blue_lg,CO,1943SAC01_blue_lg,3,in_stock,dynamic,3
1943SBC01_blue_sm,CO,1943SBC01_blue_sm,1,in_stock,dynamic,1
1943SBC01_blue_md,CO,1943SBC01_blue_md,8,in_stock,dynamic,8
1943SBC01_blue_lg,CO,1943SBC01_blue_lg,12,in_stock,dynamic,12
2062SBC02_blue_sm,CO,2062SBC02_blue_sm,10,in_stock,dynamic,10
2062SBC02_blue_md,CO,2062SBC02_blue_md,10,in_stock,dynamic,10
