lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
1259XBP01,CO,1233XTW02,5,in_stock,dynamic,5
1260XVR01,CO,1238XCP05,5,in_stock,dynamic,5
1228XWK02,CO,1238XCP06,8,in_stock,dynamic,8
1218XTW02,CO,1244XPK02,12,in_stock,dynamic,12
1219XPK02,CO,1245XVR02,9,in_stock,dynamic,9
1223XPK02,CO,1268XWK01,4,in_stock,dynamic,4
1225XHA02,CO,1269XBP01,6,in_stock,dynamic,6
1216XHA02,CO,1270XTE01,10,in_stock,dynamic,10
1466CPR01,CO,1273XCP01,5,in_stock,dynamic,5
1390CKI01,CO,1273XCP02,2,in_stock,dynamic,2
1482CPR01,CO,1505CPR01,11,in_stock,dynamic,11
1478CPR01,CO,1510CPR01,12,in_stock,dynamic,12
1490CPR01,CO,1515CPR01,7,in_stock,dynamic,7
1495CPR01,CO,1520CPR01,8,in_stock,dynamic,8
1473CPO01,CO,1473CPO01,4,in_stock,dynamic,4
,,,,,,
1250XTR01,CO,1250XTR01,3,in_stock,dynamic,3
1254XPK01,CO,1254XPK01,5,in_stock,dynamic,5
1231XCP01,CO,1231XCP01,7,in_stock,dynamic,7
1246XPK01,CO,1246XPK01,9,in_stock,dynamic,9
1230XTE01,CO,1230XTE01,12,in_stock,dynamic,12
1247XPK01,CO,1247XPK01,4,in_stock,dynamic,4
1251XPK01,CO,1251XPK01,9,in_stock,dynamic,9
1235XTW01,CO,1235XTW01,10,in_stock,dynamic,10
1238XCP02,CO,1238XCP02,12,in_stock,dynamic,12
1238XCP01,CO,1238XCP01,11,in_stock,dynamic,11
1231XCP03,CO,1231XCP03,4,in_stock,dynamic,4
1231XCP02,CO,1231XCP02,20,in_stock,dynamic,20
1237XTC01,CO,1237XTC01,4,in_stock,dynamic,4
1253XPK01,CO,1253XPK01,3,in_stock,dynamic,3
1258XPK01,CO,1258XPK01,5,in_stock,dynamic,5
1248XPK01,CO,1248XPK01,7,in_stock,dynamic,7
1229XWK01,CO,1229XWK01,9,in_stock,dynamic,9
1257XHA01,CO,1257XHA01,12,in_stock,dynamic,12
1255XHA01,CO,1255XHA01,4,in_stock,dynamic,4
1252XPK01,CO,1252XPK01,9,in_stock,dynamic,9
1241XTE01,CO,1241XTE01,10,in_stock,dynamic,10
1245XVR01,CO,1245XVR01,12,in_stock,dynamic,12
1232XPK01,CO,1232XPK01,11,in_stock,dynamic,11
1249XVR01,CO,1249XVR01,4,in_stock,dynamic,4
1233XTW01,CO,1233XTW01,20,in_stock,dynamic,20
1244XPK01,CO,1244XPK01,4,in_stock,dynamic,4
1242XTR02,CO,1242XTR02,2,in_stock,dynamic,2
1242XTR01,CO,1242XTR01,4,in_stock,dynamic,4
1243XBP01,CO,1243XBP01,8,in_stock,dynamic,8
