lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1259XBP01,13,31,35,0.48,18,36,40,0.53
1260XVR01,15,36,38,0.48,19,40,43,0.53
1228XWK02,30,46,32,0.48,34,51,37,0.53
1218XTW02,,70,120,0.12,,72,122,0.15
1219XPK02,12,24,16,0.35,15,29,19,0.39
1223XPK02,12,15,24,0.27,15,18,28,0.31
1225XHA02,,3,6,0.12,,6,9,0.15
1216XHA02,,30,30,0.1,,33,33,0.12
1466CPR01,,140,140,0.2,,142,142,0.25
1390CKI01,,140,140,0.2,,142,142,0.25
1482CPR01,,140,140,0.2,,142,142,0.25
1478CPR01,,140,140,0.2,,142,142,0.25
1490CPR01,,140,140,0.2,,142,142,0.25
1495CPR01,,140,140,0.2,,142,142,0.25
1473CPO01,,140,140,0.2,,142,142,0.25
,,,,,,,,
1250XTR01,,10.5,16.5,0.3,,12,18,0.33
1254XPK01,5,12.5,12.5,0.13,7,14,14,0.15
1231XCP01,,12,12,0.6,,15,15,0.9
1246XPK01,16.5,23.5,10,0.35,18,26,13,0.4
1230XTE01,47,55,9,0.48,50,58,13,0.53
1247XPK01,,9,22.3,0.22,,12,25,0.25
1251XPK01,,12,12,0.6,,15,15,0.9
1235XTW01,,150,150,0.25,,153,153,0.28
1238XCP02,,25,15,0.2,,27,18,0.23
1238XCP01,,25,15,0.2,,27,18,0.23
1231XCP03,,25,15,0.2,,27,18,0.23
1231XCP02,,25,15,0.2,,27,18,0.23
1237XTC01,28,4,38,0.26,31,10,41,0.29
1253XPK01,,12,12,0.6,,15,15,0.9
1258XPK01,15,21,24,0.27,18,25,29,0.3
1248XPK01,15,25.5,6.5,0.3,18,28,9,0.33
1229XWK01,30,33,50,0.6,34,37,55,0.9
1257XHA01,,3,6,0.12,,6,9,0.15
1255XHA01,,3,6,0.12,,6,9,0.15
1252XPK01,13,8,16,0.35,16,12,20,0.4
1241XTE01,40,55,45,0.48,43,58,48,0.53
1245XVR01,43,20,56,0.48,47,25,60,0.53
1232XPK01,20,12,25,0.3,25,16,30,0.33
1249XVR01,,35,43,0.13,,37,46,0.16
1233XTW01,,150,68,0.2,,153,71,0.23
1244XPK01,8,22,28,0.26,11,25,31,0.31
1242XTR02,36,64,20,0.48,40,69,24,0.53
1242XTR01,36,64,20,0.48,40,69,24,0.53
1243XBP01,36,20,40,0.48,40,25,44,0.53
