lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
1049tss04_azul,Colour,1049TSS04 AZUL,active,Maaji,1,1,,1049tss04_azul_sm|1049tss04_azul_md|1049tss04_azul_lg|1049tss04_azul_xl
1049tss03_verde,Colour,1049TSS03 VERDE,active,Maaji,1,1,,1049tss03_verde_sm|1049tss03_verde_md|1049tss03_verde_lg|1049tss03_verde_xl
1049tss02_rojo,Colour,1049TSS02 ROJO,active,Maaji,1,1,,1049tss02_rojo_sm|1049tss02_rojo_md|1049tss02_rojo_lg|1049tss02_rojo_xl
1046tsf04_vinotinto,Colour,1046TSF04 VINOTINTO,active,Maaji,1,1,,1046tsf04_vinotinto_sm|1046tsf04_vinotinto_md|1046tsf04_vinotinto_lg|1046tsf04_vinotinto_xl
1046tsf03_azul,Colour,1046TSF03 AZUL,active,Maaji,1,1,,1046tsf03_azul_sm|1046tsf03_azul_md|1046tsf03_azul_lg|1046tsf03_azul_xl
1042trs03_rojo,Colour,1042TRS03 ROJO,active,Maaji,1,1,,1042trs03_rojo_sm|1042trs03_rojo_md|1042trs03_rojo_lg|1042trs03_rojo_xl
1042trs02_azul,Colour,1042TRS02 AZUL,active,Maaji,1,1,,1042trs02_azul_sm|1042trs02_azul_md|1042trs02_azul_lg|1042trs02_azul_xl
1041tbs03_verde,Colour,1041TBS03 VERDE,active,Maaji,1,1,,1041tbs03_verde_sm|1041tbs03_verde_md|1041tbs03_verde_lg|1041tbs03_verde_xl
1041tbs02_rojo,Colour,1041TBS02 ROJO,active,Maaji,1,1,,1041tbs02_rojo_sm|1041tbs02_rojo_md|1041tbs02_rojo_lg|1041tbs02_rojo_xl
1038tsl03_rojo,Colour,1038TSL03 ROJO,active,Maaji,1,1,,1038tsl03_rojo_sm|1038tsl03_rojo_md|1038tsl03_rojo_lg|1038tsl03_rojo_xl
