lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1049tss04_azul_sm,Size,1049TSS04 AZUL SM,active,Maaji,,7702781037499,
1049tss04_azul_md,Size,1049TSS04 AZUL MD,active,Maaji,,7702781037505,
1049tss04_azul_lg,Size,1049TSS04 AZUL LG,active,Maaji,,7702781037512,
1049tss04_azul_xl,Size,1049TSS04 AZUL XL,active,Maaji,,7702781037529,
1049tss03_verde_sm,Size,1049TSS03 VERDE SM,active,Maaji,,7702781038571,
1049tss03_verde_md,Size,1049TSS03 VERDE MD,active,Maaji,,7702781038588,
1049tss03_verde_lg,Size,1049TSS03 VERDE LG,active,Maaji,,7702781038595,
1049tss03_verde_xl,Size,1049TSS03 VERDE XL,active,Maaji,,7702781038601,
1049tss02_rojo_sm,Size,1049TSS02 ROJO SM,active,Maaji,,7702781037291,
1049tss02_rojo_md,Size,1049TSS02 ROJO MD,active,Maaji,,7702781037307,
1049tss02_rojo_lg,Size,1049TSS02 ROJO LG,active,Maaji,,7702781037314,
1049tss02_rojo_xl,Size,1049TSS02 ROJO XL,active,Maaji,,7702781037321,
1046tsf04_vinotinto_sm,Size,1046TSF04 VINOTINTO SM,active,Maaji,,7702781043421,
1046tsf04_vinotinto_md,Size,1046TSF04 VINOTINTO MD,active,Maaji,,7702781043438,
1046tsf04_vinotinto_lg,Size,1046TSF04 VINOTINTO LG,active,Maaji,,7702781043445,
1046tsf04_vinotinto_xl,Size,1046TSF04 VINOTINTO XL,active,Maaji,,7702781043452,
1046tsf03_azul_sm,Size,1046TSF03 AZUL SM,active,Maaji,,7702781038526,
1046tsf03_azul_md,Size,1046TSF03 AZUL MD,active,Maaji,,7702781038533,
1046tsf03_azul_lg,Size,1046TSF03 AZUL LG,active,Maaji,,7702781038540,
1046tsf03_azul_xl,Size,1046TSF03 AZUL XL,active,Maaji,,7702781038557,
1042trs03_rojo_sm,Size,1042TRS03 ROJO SM,active,Maaji,,7702781039226,
1042trs03_rojo_md,Size,1042TRS03 ROJO MD,active,Maaji,,7702781039233,
1042trs03_rojo_lg,Size,1042TRS03 ROJO LG,active,Maaji,,7702781039240,
1042trs03_rojo_xl,Size,1042TRS03 ROJO XL,active,Maaji,,7702781039257,
1042trs02_azul_sm,Size,1042TRS02 AZUL SM,active,Maaji,,7702781038977,
1042trs02_azul_md,Size,1042TRS02 AZUL MD,active,Maaji,,7702781038984,
1042trs02_azul_lg,Size,1042TRS02 AZUL LG,active,Maaji,,7702781038991,
1042trs02_azul_xl,Size,1042TRS02 AZUL XL,active,Maaji,,7702781039004,
1041tbs03_verde_sm,Size,1041TBS03 VERDE SM,active,Maaji,,7702781038823,
1041tbs03_verde_md,Size,1041TBS03 VERDE MD,active,Maaji,,7702781038830,
1041tbs03_verde_lg,Size,1041TBS03 VERDE LG,active,Maaji,,7702781038847,
1041tbs03_verde_xl,Size,1041TBS03 VERDE XL,active,Maaji,,7702781038854,
1041tbs02_rojo_sm,Size,1041TBS02 ROJO SM,active,Maaji,,7702781038779,
1041tbs02_rojo_md,Size,1041TBS02 ROJO MD,active,Maaji,,7702781038786,
1041tbs02_rojo_lg,Size,1041TBS02 ROJO LG,active,Maaji,,7702781038793,
1041tbs02_rojo_xl,Size,1041TBS02 ROJO XL,active,Maaji,,7702781038809,
1038tsl03_rojo_sm,Size,1038TSL03 ROJO SM,active,Maaji,,7702781039523,
1038tsl03_rojo_md,Size,1038TSL03 ROJO MD,active,Maaji,,7702781039530,
1038tsl03_rojo_lg,Size,1038TSL03 ROJO LG,active,Maaji,,7702781039547,
1038tsl03_rojo_xl,Size,1038TSL03 ROJO XL,active,Maaji,,7702781039554,
1038tsl02_verde_sm,Size,1038TSL02 VERDE SM,active,Maaji,,7702781039325,
1038tsl02_verde_md,Size,1038TSL02 VERDE MD,active,Maaji,,7702781039332,
1038tsl02_verde_lg,Size,1038TSL02 VERDE LG,active,Maaji,,7702781039349,
1038tsl02_verde_xl,Size,1038TSL02 VERDE XL,active,Maaji,,7702781039356,
1372csh02_blanco_sm,Size,1372CSH02 BLANCO SM,active,Maaji,,7702781027261,
1372csh02_blanco_md,Size,1372CSH02 BLANCO MD,active,Maaji,,7702781027278,
1372csh02_blanco_lg,Size,1372CSH02 BLANCO LG,active,Maaji,,7702781027285,
1422csd04_morado_sm,Size,1422CSD04 MORADO SM,active,Maaji,,7702781028060,
1422csd04_morado_md,Size,1422CSD04 MORADO MD,active,Maaji,,7702781028077,
1422csd04_morado_lg,Size,1422CSD04 MORADO LG,active,Maaji,,7702781028084,
1438csd05_rojo_sm,Size,1438CSD05 ROJO SM,active,Maaji,,7702781030971,
1438csd05_rojo_md,Size,1438CSD05 ROJO MD,active,Maaji,,7702781030988,
1438csd05_rojo_lg,Size,1438CSD05 ROJO LG,active,Maaji,,7702781030995,
1442csh05_morado_sm,Size,1442CSH05 MORADO SM,active,Maaji,,7702781027407,
1442csh05_morado_md,Size,1442CSH05 MORADO MD,active,Maaji,,7702781027414,
1442csh05_morado_lg,Size,1442CSH05 MORADO LG,active,Maaji,,7702781027421,
1442csh06_azul_sm,Size,1442CSH06 AZUL SM,active,Maaji,,7702781027452,
1442csh06_azul_md,Size,1442CSH06 AZUL MD,active,Maaji,,7702781027469,
1442csh06_azul_lg,Size,1442CSH06 AZUL LG,active,Maaji,,7702781027476,
1446ckl01_azul_sm,Size,1446CKL01 AZUL SM,active,Maaji,,7702781027506,
1446ckl01_azul_md,Size,1446CKL01 AZUL MD,active,Maaji,,7702781027513,
1446ckl01_azul_lg,Size,1446CKL01 AZUL LG,active,Maaji,,7702781027520,
1461csd03_azul_sm,Size,1461CSD03 AZUL SM,active,Maaji,,7702781030650,
1461csd03_azul_md,Size,1461CSD03 AZUL MD,active,Maaji,,7702781030667,
1461csd03_azul_lg,Size,1461CSD03 AZUL LG,active,Maaji,,7702781030674,
1461csd04_morado_sm,Size,1461CSD04 MORADO SM,active,Maaji,,7702781030605,
1461csd04_morado_md,Size,1461CSD04 MORADO MD,active,Maaji,,7702781030612,
1461csd04_morado_lg,Size,1461CSD04 MORADO LG,active,Maaji,,7702781030629,
1468cpa03_rojo_sm,Size,1468CPA03 ROJO SM,active,Maaji,,7702781031374,
1468cpa03_rojo_md,Size,1468CPA03 ROJO MD,active,Maaji,,7702781031381,
1468cpa03_rojo_lg,Size,1468CPA03 ROJO LG,active,Maaji,,7702781031398,
1469cks04_morado_sm,Size,1469CKS04 MORADO SM,active,Maaji,,7702781032562,
1469cks04_morado_md,Size,1469CKS04 MORADO MD,active,Maaji,,7702781032579,
1469cks04_morado_lg,Size,1469CKS04 MORADO LG,active,Maaji,,7702781032586,
1471csd02_blanco_sm,Size,1471CSD02 BLANCO SM,active,Maaji,,7702781027315,
1471csd02_blanco_md,Size,1471CSD02 BLANCO MD,active,Maaji,,7702781027322,
1471csd02_blanco_lg,Size,1471CSD02 BLANCO LG,active,Maaji,,7702781027339,
1477csd03_morado_sm,Size,1477CSD03 MORADO SM,active,Maaji,,7702781028114,
1477csd03_morado_md,Size,1477CSD03 MORADO MD,active,Maaji,,7702781028121,
1477csd03_morado_lg,Size,1477CSD03 MORADO LG,active,Maaji,,7702781028138,
1502csd01_rojo_sm,Size,1502CSD01 ROJO SM,active,Maaji,,7702781037796,
1502csd01_rojo_md,Size,1502CSD01 ROJO MD,active,Maaji,,7702781037802,
1502csd01_rojo_lg,Size,1502CSD01 ROJO LG,active,Maaji,,7702781037819,
1503csd01_rojo_sm,Size,1503CSD01 ROJO SM,active,Maaji,,7702781027162,
1503csd01_rojo_md,Size,1503CSD01 ROJO MD,active,Maaji,,7702781027179,
1503csd01_rojo_lg,Size,1503CSD01 ROJO LG,active,Maaji,,7702781027186,
1504cld01_rojo_sm,Size,1504CLD01 ROJO SM,active,Maaji,,7702781027216,
1504cld01_rojo_md,Size,1504CLD01 ROJO MD,active,Maaji,,7702781027223,
1504cld01_rojo_lg,Size,1504CLD01 ROJO LG,active,Maaji,,7702781027230,
1506csd01_verde_sm,Size,1506CSD01 VERDE SM,active,Maaji,,7702781030551,
1506csd01_verde_md,Size,1506CSD01 VERDE MD,active,Maaji,,7702781030568,
1506csd01_verde_lg,Size,1506CSD01 VERDE LG,active,Maaji,,7702781030575,
1507cks01_verde_sm,Size,1507CKS01 VERDE SM,active,Maaji,,7702781030926,
1507cks01_verde_md,Size,1507CKS01 VERDE MD,active,Maaji,,7702781030933,
1507cks01_verde_lg,Size,1507CKS01 VERDE LG,active,Maaji,,7702781030940,
1508cct01_verde_sm,Size,1508CCT01 VERDE SM,active,Maaji,,7702781035440,
1508cct01_verde_md,Size,1508CCT01 VERDE MD,active,Maaji,,7702781035457,
1508cct01_verde_lg,Size,1508CCT01 VERDE LG,active,Maaji,,7702781035464,
1509ckl01_blanco_sm,Size,1509CKL01 BLANCO SM,active,Maaji,,7702781033217,
1509ckl01_blanco_md,Size,1509CKL01 BLANCO MD,active,Maaji,,7702781033224,
1509ckl01_blanco_lg,Size,1509CKL01 BLANCO LG,active,Maaji,,7702781033231,
1511cro01_azul_sm,Size,1511CRO01 AZUL SM,active,Maaji,,7702781028169,
1511cro01_azul_md,Size,1511CRO01 AZUL MD,active,Maaji,,7702781028176,
1511cro01_azul_lg,Size,1511CRO01 AZUL LG,active,Maaji,,7702781028183,
1513cls01_azul_sm,Size,1513CLS01 AZUL SM,active,Maaji,,7702781032081,
1513cls01_azul_md,Size,1513CLS01 AZUL MD,active,Maaji,,7702781032098,
1513cls01_azul_lg,Size,1513CLS01 AZUL LG,active,Maaji,,7702781032104,
1514csd01_azul_sm,Size,1514CSD01 AZUL SM,active,Maaji,,7702781032661,
1514csd01_azul_md,Size,1514CSD01 AZUL MD,active,Maaji,,7702781032678,
1514csd01_azul_lg,Size,1514CSD01 AZUL LG,active,Maaji,,7702781032685,
