lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
1049TSS04_blue,Colour,1049TSS04_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494183/Summer2018/1049TSS04_blue_3.jpg,1049TSS04_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494184/Summer2018/1049TSS04_blue_4.jpg,1049TSS04_blue_4,,,,,,,,,,,,,,azul,1049TSS04_blue_sm|1049TSS04_blue_md|1049TSS04_blue_lg|1049TSS04_blue_xl
1049TSS03_green,Colour,1049TSS03_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494183/Summer2018/1049TSS03_green_3.jpg,1049TSS03_green_3,,https://res.cloudinary.com/maaji/image/upload/v1517494186/Summer2018/1049TSS03_green_4.jpg,1049TSS03_green_4,,,,,,,,,,,,,,verde,1049TSS03_green_sm|1049TSS03_green_md|1049TSS03_green_lg|1049TSS03_green_xl
1049TSS02_red,Colour,1049TSS02_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494182/Summer2018/1049TSS02_red_3.jpg,1049TSS02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517494181/Summer2018/1049TSS02_red_4.jpg,1049TSS02_red_4,,,,,,,,,,,,,,rojo,1049TSS02_red_sm|1049TSS02_red_md|1049TSS02_red_lg|1049TSS02_red_xl
1046TSF04_wine,Colour,1046TSF04_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494177/Summer2018/1046TSF04_wine_3.jpg,1046TSF04_wine_3,,https://res.cloudinary.com/maaji/image/upload/v1517494179/Summer2018/1046TSF04_wine_4.jpg,1046TSF04_wine_4,,,,,,,,,,,,,,vinotinto,1046TSF04_wine_sm|1046TSF04_wine_md|1046TSF04_wine_lg|1046TSF04_wine_xl
1046TSF03_blue,Colour,1046TSF03_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494179/Summer2018/1046TSF03_blue_3.jpg,1046TSF03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494181/Summer2018/1046TSF03_blue_4.jpg,1046TSF03_blue_4,,,,,,,,,,,,,,azul,1046TSF03_blue_sm|1046TSF03_blue_md|1046TSF03_blue_lg|1046TSF03_blue_xl
1042TRS03_red,Colour,1042TRS03_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494172/Summer2018/1042TRS03_red_3.jpg,1042TRS03_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517494174/Summer2018/1042TRS03_red_4.jpg,1042TRS03_red_4,,https://res.cloudinary.com/maaji/image/upload/v1517494171/Summer2018/1042TRS03_red_5.jpg,1042TRS03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517494173/Summer2018/1042TRS03_red_6.jpg,1042TRS03_red_6,,,,,,,,rojo,1042TRS03_red_sm|1042TRS03_red_md|1042TRS03_red_lg|1042TRS03_red_xl
1042TRS02_blue,Colour,1042TRS02_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494176/Summer2018/1042TRS02_blue_3.jpg,1042TRS02_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494175/Summer2018/1042TRS02_blue_4.jpg,1042TRS02_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1517494176/Summer2018/1042TRS02_blue_5.jpg,1042TRS02_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517494178/Summer2018/1042TRS02_blue_6.jpg,1042TRS02_blue_6,,,,,,,,azul,1042TRS02_blue_sm|1042TRS02_blue_md|1042TRS02_blue_lg|1042TRS02_blue_xl
1041TBS03_green,Colour,1041TBS03_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494173/Summer2018/1041TBS03_green_3.jpg,1041TBS03_green_3,,https://res.cloudinary.com/maaji/image/upload/v1517494171/Summer2018/1041TBS03_green_4.jpg,10541TBS03_green_4,,,,,,,,,,,,,,verde,1041TBS03_green_sm|1041TBS03_green_md|1041TBS03_green_lg|1041TBS03_green_xl
1041TBS02_red,Colour,1041TBS02_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494168/Summer2018/1041TBS02_red_3.jpg,1041TBS02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517494168/Summer2018/1041TBS02_red_4.jpg,1041TBS02_red_4,,,,,,,,,,,,,,rojo,1041TBS02_red_sm|1041TBS02_red_md|1041TBS02_red_lg|1041TBS02_red_xl
1038TSL03_red,Colour,1038TSL03_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL03_red_3.jpg,1038TSL03_red,,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL03_red_4.jpg,1038TSL03_red_4,,,,,,,,,,,,,,rojo,1038TSL03_red_sm|1038TSL03_red_md|1038TSL03_red_lg|1038TSL03_red_xl
