lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
1049TSS04_blue,Colour,1049TSS04_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525033050/Summer2018/1049TSS04_blue_3.jpg,1049TSS04_blue_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525033069/Summer2018/1049TSS04_blue_4.jpg,1049TSS04_blue_4,,,,,,,,,,,,,,blue,1049TSS04_blue_sm|1049TSS04_blue_md|1049TSS04_blue_lg|1049TSS04_blue_xl
1049TSS03_green,Colour,1049TSS03_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525032984/Summer2018/1049TSS03_green_3.jpg,1049TSS03_green_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525032994/Summer2018/1049TSS03_green_4.jpg,1049TSS03_green_4,,,,,,,,,,,,,,green,1049TSS03_green_sm|1049TSS03_green_md|1049TSS03_green_lg|1049TSS03_green_xl
1049TSS02_red,Colour,1049TSS02_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525032750/Summer2018/1049TSS02_red_3.jpg,1049TSS02_red_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525032769/Summer2018/1049TSS02_red_4.jpg,1049TSS02_red_4,,,,,,,,,,,,,,red,1049TSS02_red_sm|1049TSS02_red_md|1049TSS02_red_lg|1049TSS02_red_xl
1046TSF04_wine,Colour,1046TSF04_wine,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525032678/Summer2018/1046TSF04_wine_3.jpg,1046TSF04_wine_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525032694/Summer2018/1046TSF04_wine_4.jpg,1046TSF04_wine_4,,,,,,,,,,,,,,wine,1046TSF04_wine_sm|1046TSF04_wine_md|1046TSF04_wine_lg|1046TSF04_wine_xl
1046TSF03_blue,Colour,1046TSF03_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525032538/Summer2018/1046TSF03_blue_3.jpg,1046TSF03_blue_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525032551/Summer2018/1046TSF03_blue_4.jpg,1046TSF03_blue_4,,,,,,,,,,,,,,blue,1046TSF03_blue_sm|1046TSF03_blue_md|1046TSF03_blue_lg|1046TSF03_blue_xl
1042TRS03_red,Colour,1042TRS03_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525032318/Summer2018/1042TRS03_red_3.jpg,1042TRS03_red_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525032335/Summer2018/1042TRS03_red_4.jpg,1042TRS03_red_4,,https://res.cloudinary.com/maaji/image/upload/v1525032354/Summer2018/1042TRS03_red_5.jpg,1042TRS03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1525032484/Summer2018/1042TRS03_red_6.jpg,1042TRS03_red_6,,,,,,,,red,1042TRS03_red_sm|1042TRS03_red_md|1042TRS03_red_lg|1042TRS03_red_xl
1042TRS02_blue,Colour,1042TRS02_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525957931/Summer2018/1042TRS02_blue_3.jpg,1042TRS02_blue_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525957934/Summer2018/1042TRS02_blue_4.jpg,1042TRS02_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1525032112/Summer2018/1042TRS02_blue_5.jpg,1042TRS02_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1525032255/Summer2018/1042TRS02_blue_6.jpg,1042TRS02_blue_6,,,,,,,,blue,1042TRS02_blue_sm|1042TRS02_blue_md|1042TRS02_blue_lg|1042TRS02_blue_xl
1041TBS03_green,Colour,1041TBS03_green,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525957745/Summer2018/1041TBS03_green_3.jpg,1041TBS03_green_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525957750/Summer2018/1041TBS03_green_4.jpg,10541TBS03_green_4,,,,,,,,,,,,,,green,1041TBS03_green_sm|1041TBS03_green_md|1041TBS03_green_lg|1041TBS03_green_xl
1041TBS02_red,Colour,1041TBS02_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525957503/Summer2018/1041TBS02_red_3.jpg,1041TBS02_red_3,yes,https://res.cloudinary.com/maaji/image/upload/v1525957506/Summer2018/1041TBS02_red_4.jpg,1041TBS02_red_4,,,,,,,,,,,,,,red,1041TBS02_red_sm|1041TBS02_red_md|1041TBS02_red_lg|1041TBS02_red_xl
1038TSL03_red,Colour,1038TSL03_red,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1525957037/Summer2018/1038TSL03_red_3.jpg,1038TSL03_red,yes,https://res.cloudinary.com/maaji/image/upload/v1525957040/Summer2018/1038TSL03_red_4.jpg,1038TSL03_red_4,,,,,,,,,,,,,,red,1038TSL03_red_sm|1038TSL03_red_md|1038TSL03_red_lg|1038TSL03_red_xl
