lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1049TSS04_blue_sm,Size,1049TSS04_blue_sm,active,Maaji,SMALL,7702781037499,SMALL,180000,COP Price
1049TSS04_blue_md,Size,1049TSS04_blue_md,active,Maaji,MEDIUM,7702781037505,MEDIUM,180000,COP Price
1049TSS04_blue_lg,Size,1049TSS04_blue_lg,active,Maaji,LARGE,7702781037512,LARGE,180000,COP Price
1049TSS04_blue_xl,Size,1049TSS04_blue_xl,active,Maaji,EXTRA LARGE,7702781037529,EXTRA LARGE,180000,COP Price
1049TSS03_green_sm,Size,1049TSS03_green_sm,active,Maaji,SMALL,7702781038571,SMALL,180000,COP Price
1049TSS03_green_md,Size,1049TSS03_green_md,active,Maaji,MEDIUM,7702781038588,MEDIUM,180000,COP Price
1049TSS03_green_lg,Size,1049TSS03_green_lg,active,Maaji,LARGE,7702781038595,LARGE,180000,COP Price
1049TSS03_green_xl,Size,1049TSS03_green_xl,active,Maaji,EXTRA LARGE,7702781038601,EXTRA LARGE,180000,COP Price
1049TSS02_red_sm,Size,1049TSS02_red_sm,active,Maaji,SMALL,7702781037291,SMALL,180000,COP Price
1049TSS02_red_md,Size,1049TSS02_red_md,active,Maaji,MEDIUM,7702781037307,MEDIUM,180000,COP Price
1049TSS02_red_lg,Size,1049TSS02_red_lg,active,Maaji,LARGE,7702781037314,LARGE,180000,COP Price
1049TSS02_red_xl,Size,1049TSS02_red_xl,active,Maaji,EXTRA LARGE,7702781037321,EXTRA LARGE,180000,COP Price
1046TSF04_wine_sm,Size,1046TSF04_wine_sm,active,Maaji,SMALL,7702781043421,SMALL,180000,COP Price
1046TSF04_wine_md,Size,1046TSF04_wine_md,active,Maaji,MEDIUM,7702781043438,MEDIUM,180000,COP Price
1046TSF04_wine_lg,Size,1046TSF04_wine_lg,active,Maaji,LARGE,7702781043445,LARGE,180000,COP Price
1046TSF04_wine_xl,Size,1046TSF04_wine_xl,active,Maaji,EXTRA LARGE,7702781043452,EXTRA LARGE,180000,COP Price
1046TSF03_blue_sm,Size,1046TSF03_blue_sm,active,Maaji,SMALL,7702781038526,SMALL,180000,COP Price
1046TSF03_blue_md,Size,1046TSF03_blue_md,active,Maaji,MEDIUM,7702781038533,MEDIUM,180000,COP Price
1046TSF03_blue_lg,Size,1046TSF03_blue_lg,active,Maaji,LARGE,7702781038540,LARGE,180000,COP Price
1046TSF03_blue_xl,Size,1046TSF03_blue_xl,active,Maaji,EXTRA LARGE,7702781038557,EXTRA LARGE,180000,COP Price
