lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1049TSS04_blue_sm,Size,1049TSS04_blue_sm,active,Maaji,PEQUEÑO,7702781037499,PEQUEÑO,180000,COP Price
1049TSS04_blue_md,Size,1049TSS04_blue_md,active,Maaji,MEDIO,7702781037505,MEDIO,180000,COP Price
1049TSS04_blue_lg,Size,1049TSS04_blue_lg,active,Maaji,GRANDE,7702781037512,GRANDE,180000,COP Price
1049TSS04_blue_xl,Size,1049TSS04_blue_xl,active,Maaji,EXTRA GRANDE,7702781037529,EXTRA GRANDE,180000,COP Price
1049TSS03_green_sm,Size,1049TSS03_green_sm,active,Maaji,PEQUEÑO,7702781038571,PEQUEÑO,180000,COP Price
1049TSS03_green_md,Size,1049TSS03_green_md,active,Maaji,MEDIO,7702781038588,MEDIO,180000,COP Price
1049TSS03_green_lg,Size,1049TSS03_green_lg,active,Maaji,GRANDE,7702781038595,GRANDE,180000,COP Price
1049TSS03_green_xl,Size,1049TSS03_green_xl,active,Maaji,EXTRA GRANDE,7702781038601,EXTRA GRANDE,180000,COP Price
1049TSS02_red_sm,Size,1049TSS02_red_sm,active,Maaji,PEQUEÑO,7702781037291,PEQUEÑO,180000,COP Price
1049TSS02_red_md,Size,1049TSS02_red_md,active,Maaji,MEDIO,7702781037307,MEDIO,180000,COP Price
1049TSS02_red_lg,Size,1049TSS02_red_lg,active,Maaji,GRANDE,7702781037314,GRANDE,180000,COP Price
1049TSS02_red_xl,Size,1049TSS02_red_xl,active,Maaji,EXTRA GRANDE,7702781037321,EXTRA GRANDE,180000,COP Price
1046TSF04_wine_sm,Size,1046TSF04_wine_sm,active,Maaji,PEQUEÑO,7702781043421,PEQUEÑO,180000,COP Price
1046TSF04_wine_md,Size,1046TSF04_wine_md,active,Maaji,MEDIO,7702781043438,MEDIO,180000,COP Price
1046TSF04_wine_lg,Size,1046TSF04_wine_lg,active,Maaji,GRANDE,7702781043445,GRANDE,180000,COP Price
1046TSF04_wine_xl,Size,1046TSF04_wine_xl,active,Maaji,EXTRA GRANDE,7702781043452,EXTRA GRANDE,180000,COP Price
1046TSF03_blue_sm,Size,1046TSF03_blue_sm,active,Maaji,PEQUEÑO,7702781038526,PEQUEÑO,180000,COP Price
1046TSF03_blue_md,Size,1046TSF03_blue_md,active,Maaji,MEDIO,7702781038533,MEDIO,180000,COP Price
1046TSF03_blue_lg,Size,1046TSF03_blue_lg,active,Maaji,GRANDE,7702781038540,GRANDE,180000,COP Price
1046TSF03_blue_xl,Size,1046TSF03_blue_xl,active,Maaji,EXTRA GRANDE,7702781038557,EXTRA GRANDE,180000,COP Price
1042TRS03_red_sm,Size,1042TRS03_red_sm,active,Maaji,PEQUEÑO,7702781039226,PEQUEÑO,189000,COP Price
1042TRS03_red_md,Size,1042TRS03_red_md,active,Maaji,MEDIO,7702781039233,MEDIO,189000,COP Price
1042TRS03_red_lg,Size,1042TRS03_red_lg,active,Maaji,GRANDE,7702781039240,GRANDE,189000,COP Price
1042TRS03_red_xl,Size,1042TRS03_red_xl,active,Maaji,EXTRA GRANDE,7702781039257,EXTRA GRANDE,189000,COP Price
1042TRS02_blue_sm,Size,1042TRS02_blue_sm,active,Maaji,PEQUEÑO,7702781038977,PEQUEÑO,189000,COP Price
1042TRS02_blue_md,Size,1042TRS02_blue_md,active,Maaji,MEDIO,7702781038984,MEDIO,189000,COP Price
1042TRS02_blue_lg,Size,1042TRS02_blue_lg,active,Maaji,GRANDE,7702781038991,GRANDE,189000,COP Price
1042TRS02_blue_xl,Size,1042TRS02_blue_xl,active,Maaji,EXTRA GRANDE,7702781039004,EXTRA GRANDE,189000,COP Price
1041TBS03_green_sm,Size,1041TBS03_green_sm,active,Maaji,PEQUEÑO,7702781038823,PEQUEÑO,180000,COP Price
1041TBS03_green_md,Size,1041TBS03_green_md,active,Maaji,MEDIO,7702781038830,MEDIO,180000,COP Price
1041TBS03_green_lg,Size,1041TBS03_green_lg,active,Maaji,GRANDE,7702781038847,GRANDE,180000,COP Price
1041TBS03_green_xl,Size,1041TBS03_green_xl,active,Maaji,EXTRA GRANDE,7702781038854,EXTRA GRANDE,180000,COP Price
1041TBS02_red_sm,Size,1041TBS02_red_sm,active,Maaji,PEQUEÑO,7702781038779,PEQUEÑO,180000,COP Price
1041TBS02_red_md,Size,1041TBS02_red_md,active,Maaji,MEDIO,7702781038786,MEDIO,180000,COP Price
1041TBS02_red_lg,Size,1041TBS02_red_lg,active,Maaji,GRANDE,7702781038793,GRANDE,180000,COP Price
1041TBS02_red_xl,Size,1041TBS02_red_xl,active,Maaji,EXTRA GRANDE,7702781038809,EXTRA GRANDE,180000,COP Price
1038TSL03_red_sm,Size,1038TSL03_red_sm,active,Maaji,PEQUEÑO,7702781039523,PEQUEÑO,189000,COP Price
1038TSL03_red_md,Size,1038TSL03_red_md,active,Maaji,MEDIO,7702781039530,MEDIO,189000,COP Price
1038TSL03_red_lg,Size,1038TSL03_red_lg,active,Maaji,GRANDE,7702781039547,GRANDE,189000,COP Price
1038TSL03_red_xl,Size,1038TSL03_red_xl,active,Maaji,EXTRA GRANDE,7702781039554,EXTRA GRANDE,189000,COP Price
1038TSL02_green_sm,Size,1038TSL02_green_sm,active,Maaji,PEQUEÑO,7702781039325,PEQUEÑO,189000,COP Price
1038TSL02_green_md,Size,1038TSL02_green_md,active,Maaji,MEDIO,7702781039332,MEDIO,189000,COP Price
1038TSL02_green_lg,Size,1038TSL02_green_lg,active,Maaji,GRANDE,7702781039349,GRANDE,189000,COP Price
1038TSL02_green_xl,Size,1038TSL02_green_xl,active,Maaji,EXTRA GRANDE,7702781039356,EXTRA GRANDE,189000,COP Price
1372CSH02_white_sm,Size,1372CSH02_white_sm,active,Maaji,PEQUEÑO,7702781027261,PEQUEÑO,125000,COP Price
1372CSH02_white_md,Size,1372CSH02_white_md,active,Maaji,MEDIO,7702781027278,MEDIO,125000,COP Price
1372CSH02_white_lg,Size,1372CSH02_white_lg,active,Maaji,GRANDE,7702781027285,GRANDE,125000,COP Price
1422CSD04_purple_sm,Size,1422CSD04_purple_sm,active,Maaji,PEQUEÑO,7702781028060,PEQUEÑO,180000,COP Price
1422CSD04_purple_md,Size,1422CSD04_purple_md,active,Maaji,MEDIO,7702781028077,MEDIO,180000,COP Price
1422CSD04_purple_lg,Size,1422CSD04_purple_lg,active,Maaji,GRANDE,7702781028084,GRANDE,180000,COP Price
1438CSD05_red_sm,Size,1438CSD05_red_sm,active,Maaji,PEQUEÑO,7702781030971,PEQUEÑO,180000,COP Price
1438CSD05_red_md,Size,1438CSD05_red_md,active,Maaji,MEDIO,7702781030988,MEDIO,180000,COP Price
1438CSD05_red_lg,Size,1438CSD05_red_lg,active,Maaji,GRANDE,7702781030995,GRANDE,180000,COP Price
1442CSH05_purple_sm,Size,1442CSH05_purple_sm,active,Maaji,PEQUEÑO,7702781027407,PEQUEÑO,125000,COP Price
1442CSH05_purple_md,Size,1442CSH05_purple_md,active,Maaji,MEDIO,7702781027414,MEDIO,125000,COP Price
1442CSH05_purple_lg,Size,1442CSH05_purple_lg,active,Maaji,GRANDE,7702781027421,GRANDE,125000,COP Price
