lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1049TSS04_blue_sm,Size,1049TSS04_blue_sm,active,Maaji,,7702781037499,
1049TSS04_blue_md,Size,1049TSS04_blue_md,active,Maaji,,7702781037505,
1049TSS04_blue_lg,Size,1049TSS04_blue_lg,active,Maaji,,7702781037512,
1049TSS04_blue_xl,Size,1049TSS04_blue_xl,active,Maaji,,7702781037529,
1049TSS03_green_sm,Size,1049TSS03_green_sm,active,Maaji,,7702781038571,
1049TSS03_green_md,Size,1049TSS03_green_md,active,Maaji,,7702781038588,
1049TSS03_green_lg,Size,1049TSS03_green_lg,active,Maaji,,7702781038595,
1049TSS03_green_xl,Size,1049TSS03_green_xl,active,Maaji,,7702781038601,
1049TSS02_red_sm,Size,1049TSS02_red_sm,active,Maaji,,7702781037291,
1049TSS02_red_md,Size,1049TSS02_red_md,active,Maaji,,7702781037307,
1049TSS02_red_lg,Size,1049TSS02_red_lg,active,Maaji,,7702781037314,
1049TSS02_red_xl,Size,1049TSS02_red_xl,active,Maaji,,7702781037321,
1046TSF04_wine_sm,Size,1046TSF04_wine_sm,active,Maaji,,7702781043421,
1046TSF04_wine_md,Size,1046TSF04_wine_md,active,Maaji,,7702781043438,
1046TSF04_wine_lg,Size,1046TSF04_wine_lg,active,Maaji,,7702781043445,
1046TSF04_wine_xl,Size,1046TSF04_wine_xl,active,Maaji,,7702781043452,
1046TSF03_blue_sm,Size,1046TSF03_blue_sm,active,Maaji,,7702781038526,
1046TSF03_blue_md,Size,1046TSF03_blue_md,active,Maaji,,7702781038533,
1046TSF03_blue_lg,Size,1046TSF03_blue_lg,active,Maaji,,7702781038540,
1046TSF03_blue_xl,Size,1046TSF03_blue_xl,active,Maaji,,7702781038557,
1042TRS03_red_sm,Size,1042TRS03_red_sm,active,Maaji,,7702781039226,
1042TRS03_red_md,Size,1042TRS03_red_md,active,Maaji,,7702781039233,
1042TRS03_red_lg,Size,1042TRS03_red_lg,active,Maaji,,7702781039240,
1042TRS03_red_xl,Size,1042TRS03_red_xl,active,Maaji,,7702781039257,
1042TRS02_blue_sm,Size,1042TRS02_blue_sm,active,Maaji,,7702781038977,
1042TRS02_blue_md,Size,1042TRS02_blue_md,active,Maaji,,7702781038984,
1042TRS02_blue_lg,Size,1042TRS02_blue_lg,active,Maaji,,7702781038991,
1042TRS02_blue_xl,Size,1042TRS02_blue_xl,active,Maaji,,7702781039004,
1041TBS03_green_sm,Size,1041TBS03_green_sm,active,Maaji,,7702781038823,
1041TBS03_green_md,Size,1041TBS03_green_md,active,Maaji,,7702781038830,
1041TBS03_green_lg,Size,1041TBS03_green_lg,active,Maaji,,7702781038847,
1041TBS03_green_xl,Size,1041TBS03_green_xl,active,Maaji,,7702781038854,
1041TBS02_red_sm,Size,1041TBS02_red_sm,active,Maaji,,7702781038779,
1041TBS02_red_md,Size,1041TBS02_red_md,active,Maaji,,7702781038786,
1041TBS02_red_lg,Size,1041TBS02_red_lg,active,Maaji,,7702781038793,
1041TBS02_red_xl,Size,1041TBS02_red_xl,active,Maaji,,7702781038809,
1038TSL03_red_sm,Size,1038TSL03_red_sm,active,Maaji,,7702781039523,
1038TSL03_red_md,Size,1038TSL03_red_md,active,Maaji,,7702781039530,
1038TSL03_red_lg,Size,1038TSL03_red_lg,active,Maaji,,7702781039547,
1038TSL03_red_xl,Size,1038TSL03_red_xl,active,Maaji,,7702781039554,
1038TSL02_green_sm,Size,1038TSL02_green_sm,active,Maaji,,7702781039325,
1038TSL02_green_md,Size,1038TSL02_green_md,active,Maaji,,7702781039332,
1038TSL02_green_lg,Size,1038TSL02_green_lg,active,Maaji,,7702781039349,
1038TSL02_green_xl,Size,1038TSL02_green_xl,active,Maaji,,7702781039356,
1372CSH02_white_sm,Size,1372CSH02_white_sm,active,Maaji,,7702781027261,
1372CSH02_white_md,Size,1372CSH02_white_md,active,Maaji,,7702781027278,
1372CSH02_white_lg,Size,1372CSH02_white_lg,active,Maaji,,7702781027285,
1422CSD04_purple_sm,Size,1422CSD04_purple_sm,active,Maaji,,7702781028060,
1422CSD04_purple_md,Size,1422CSD04_purple_md,active,Maaji,,7702781028077,
1422CSD04_purple_lg,Size,1422CSD04_purple_lg,active,Maaji,,7702781028084,
1438CSD05_red_sm,Size,1438CSD05_red_sm,active,Maaji,,7702781030971,
1438CSD05_red_md,Size,1438CSD05_red_md,active,Maaji,,7702781030988,
1438CSD05_red_lg,Size,1438CSD05_red_lg,active,Maaji,,7702781030995,
1442CSH05_purple_sm,Size,1442CSH05_purple_sm,active,Maaji,,7702781027407,
1442CSH05_purple_md,Size,1442CSH05_purple_md,active,Maaji,,7702781027414,
1442CSH05_purple_lg,Size,1442CSH05_purple_lg,active,Maaji,,7702781027421,
1442CSH06_blue_sm,Size,1442CSH06_blue_sm,active,Maaji,,7702781027452,
1442CSH06_blue_md,Size,1442CSH06_blue_md,active,Maaji,,7702781027469,
1442CSH06_blue_lg,Size,1442CSH06_blue_lg,active,Maaji,,7702781027476,
1446CKL01_blue_sm,Size,1446CKL01_blue_sm,active,Maaji,,7702781027506,
1446CKL01_blue_md,Size,1446CKL01_blue_md,active,Maaji,,7702781027513,
1446CKL01_blue_lg,Size,1446CKL01_blue_lg,active,Maaji,,7702781027520,
1461CSD03_blue_sm,Size,1461CSD03_blue_sm,active,Maaji,,7702781030650,
1461CSD03_blue_md,Size,1461CSD03_blue_md,active,Maaji,,7702781030667,
1461CSD03_blue_lg,Size,1461CSD03_blue_lg,active,Maaji,,7702781030674,
1461CSD04_purple_sm,Size,1461CSD04_purple_sm,active,Maaji,,7702781030605,
1461CSD04_purple_md,Size,1461CSD04_purple_md,active,Maaji,,7702781030612,
1461CSD04_purple_lg,Size,1461CSD04_purple_lg,active,Maaji,,7702781030629,
1468CPA03_red_sm,Size,1468CPA03_red_sm,active,Maaji,,7702781031374,
1468CPA03_red_md,Size,1468CPA03_red_md,active,Maaji,,7702781031381,
1468CPA03_red_lg,Size,1468CPA03_red_lg,active,Maaji,,7702781031398,
1469CKS04_purple_sm,Size,1469CKS04_purple_sm,active,Maaji,,7702781032562,
1469CKS04_purple_md,Size,1469CKS04_purple_md,active,Maaji,,7702781032579,
1469CKS04_purple_lg,Size,1469CKS04_purple_lg,active,Maaji,,7702781032586,
1471CSD02_white_sm,Size,1471CSD02_white_sm,active,Maaji,,7702781027315,
1471CSD02_white_md,Size,1471CSD02_white_md,active,Maaji,,7702781027322,
1471CSD02_white_lg,Size,1471CSD02_white_lg,active,Maaji,,7702781027339,
1477CSD03_purple_sm,Size,1477CSD03_purple_sm,active,Maaji,,7702781028114,
1477CSD03_purple_md,Size,1477CSD03_purple_md,active,Maaji,,7702781028121,
1477CSD03_purple_lg,Size,1477CSD03_purple_lg,active,Maaji,,7702781028138,
1502CSD01_red_sm,Size,1502CSD01_red_sm,active,Maaji,,7702781037796,
1502CSD01_red_md,Size,1502CSD01_red_md,active,Maaji,,7702781037802,
1502CSD01_red_lg,Size,1502CSD01_red_lg,active,Maaji,,7702781037819,
1503CSD01_red_sm,Size,1503CSD01_red_sm,active,Maaji,,7702781027162,
1503CSD01_red_md,Size,1503CSD01_red_md,active,Maaji,,7702781027179,
1503CSD01_red_lg,Size,1503CSD01_red_lg,active,Maaji,,7702781027186,
1504CLD01_red_sm,Size,1504CLD01_red_sm,active,Maaji,,7702781027216,
1504CLD01_red_md,Size,1504CLD01_red_md,active,Maaji,,7702781027223,
1504CLD01_red_lg,Size,1504CLD01_red_lg,active,Maaji,,7702781027230,
1506CSD01_green_sm,Size,1506CSD01_green_sm,active,Maaji,,7702781030551,
1506CSD01_green_md,Size,1506CSD01_green_md,active,Maaji,,7702781030568,
1506CSD01_green_lg,Size,1506CSD01_green_lg,active,Maaji,,7702781030575,
1507CKS01_green_sm,Size,1507CKS01_green_sm,active,Maaji,,7702781030926,
1507CKS01_green_md,Size,1507CKS01_green_md,active,Maaji,,7702781030933,
1507CKS01_green_lg,Size,1507CKS01_green_lg,active,Maaji,,7702781030940,
1508CCT01_green_sm,Size,1508CCT01_green_sm,active,Maaji,,7702781035440,
1508CCT01_green_md,Size,1508CCT01_green_md,active,Maaji,,7702781035457,
1508CCT01_green_lg,Size,1508CCT01_green_lg,active,Maaji,,7702781035464,
1509CKL01_white_sm,Size,1509CKL01_white_sm,active,Maaji,,7702781033217,
1509CKL01_white_md,Size,1509CKL01_white_md,active,Maaji,,7702781033224,
1509CKL01_white_lg,Size,1509CKL01_white_lg,active,Maaji,,7702781033231,
1511CRO01_blue_sm,Size,1511CRO01_blue_sm,active,Maaji,,7702781028169,
1511CRO01_blue_md,Size,1511CRO01_blue_md,active,Maaji,,7702781028176,
1511CRO01_blue_lg,Size,1511CRO01_blue_lg,active,Maaji,,7702781028183,
1513CLS01_blue_sm,Size,1513CLS01_blue_sm,active,Maaji,,7702781032081,
1513CLS01_blue_md,Size,1513CLS01_blue_md,active,Maaji,,7702781032098,
1513CLS01_blue_lg,Size,1513CLS01_blue_lg,active,Maaji,,7702781032104,
1514CSD01_blue_sm,Size,1514CSD01_blue_sm,active,Maaji,,7702781032661,
1514CSD01_blue_md,Size,1514CSD01_blue_md,active,Maaji,,7702781032678,
1514CSD01_blue_lg,Size,1514CSD01_blue_lg,active,Maaji,,7702781032685,
1516CCT01_blue_sm,Size,1516CCT01_blue_sm,active,Maaji,,7702781032517,
1516CCT01_blue_md,Size,1516CCT01_blue_md,active,Maaji,,7702781032524,
1516CCT01_blue_lg,Size,1516CCT01_blue_lg,active,Maaji,,7702781032531,
1518CSD01_wine_sm,Size,1518CSD01_wine_sm,active,Maaji,,7702781032289,
1518CSD01_wine_md,Size,1518CSD01_wine_md,active,Maaji,,7702781032296,
1518CSD01_wine_lg,Size,1518CSD01_wine_lg,active,Maaji,,7702781032302,
1519CCT01_purple_sm,Size,1519CCT01_purple_sm,active,Maaji,,7702781033163,
1519CCT01_purple_md,Size,1519CCT01_purple_md,active,Maaji,,7702781033170,
1519CCT01_purple_lg,Size,1519CCT01_purple_lg,active,Maaji,,7702781033187,
2173SFA01_blue_sm,Size,2173SFA01_blue_sm,active,Maaji,,7702781037444,
2173SFA01_blue_md,Size,2173SFA01_blue_md,active,Maaji,,7702781037451,
2173SFA01_blue_lg,Size,2173SFA01_blue_lg,active,Maaji,,7702781037468,
2174SLT01_blue_sm,Size,2174SLT01_blue_sm,active,Maaji,,7702781038922,
2174SLT01_blue_md,Size,2174SLT01_blue_md,active,Maaji,,7702781038939,
2174SLT01_blue_lg,Size,2174SLT01_blue_lg,active,Maaji,,7702781038946,
2174SLT01_blue_xl,Size,2174SLT01_blue_xl,active,Maaji,,7702781038953,
2175SFA01_white_sm,Size,2175SFA01_white_sm,active,Maaji,,7702781036393,
2175SFA01_white_md,Size,2175SFA01_white_md,active,Maaji,,7702781036409,
2175SFA01_white_lg,Size,2175SFA01_white_lg,active,Maaji,,7702781036416,
2175SFA01_white_xl,Size,2175SFA01_white_xl,active,Maaji,,7702781036423,
2176SRA01_black_sm,Size,2176SRA01_black_sm,active,Maaji,,7702781035341,
2176SRA01_black_md,Size,2176SRA01_black_md,active,Maaji,,7702781035358,
2176SRA01_black_lg,Size,2176SRA01_black_lg,active,Maaji,,7702781035365,
2176SRA01_black_xl,Size,2176SRA01_black_xl,active,Maaji,,7702781035372,
2177SFA01_blue_sm,Size,2177SFA01_blue_sm,active,Maaji,,7702781037345,
2177SFA01_blue_md,Size,2177SFA01_blue_md,active,Maaji,,7702781037352,
2177SFA01_blue_lg,Size,2177SFA01_blue_lg,active,Maaji,,7702781037369,
2177SFA01_blue_xl,Size,2177SFA01_blue_xl,active,Maaji,,7702781037376,
2178SUN01_blue_sm,Size,2178SUN01_blue_sm,active,Maaji,,7702781040727,
2178SUN01_blue_md,Size,2178SUN01_blue_md,active,Maaji,,7702781040734,
2178SUN01_blue_lg,Size,2178SUN01_blue_lg,active,Maaji,,7702781040741,
2178SUN01_blue_xl,Size,2178SUN01_blue_xl,active,Maaji,,7702781040758,
2179SSE01_blue_sm,Size,2179SSE01_blue_sm,active,Maaji,,7702781037598,
2179SSE01_blue_md,Size,2179SSE01_blue_md,active,Maaji,,7702781037604,
2179SSE01_blue_lg,Size,2179SSE01_blue_lg,active,Maaji,,7702781037611,
2179SSE01_blue_xl,Size,2179SSE01_blue_xl,active,Maaji,,7702781037628,
2180SFT01_blue_sm,Size,2180SFT01_blue_sm,active,Maaji,,7702781040123,
2180SFT01_blue_md,Size,2180SFT01_blue_md,active,Maaji,,7702781040130,
2180SFT01_blue_lg,Size,2180SFT01_blue_lg,active,Maaji,,7702781040147,
2180SFT01_blue_xl,Size,2180SFT01_blue_xl,active,Maaji,,7702781040154,
2181SBA01_blue_sm,Size,2181SBA01_blue_sm,active,Maaji,,7702781044596,
2181SBA01_blue_md,Size,2181SBA01_blue_md,active,Maaji,,7702781044602,
2181SBA01_blue_lg,Size,2181SBA01_blue_lg,active,Maaji,,7702781044619,
2181SBA01_blue_xl,Size,2181SBA01_blue_xl,active,Maaji,,7702781044626,
2183SCT01_orange_sm,Size,2183SCT01_orange_sm,active,Maaji,,7702781044640,
2183SCT01_orange_md,Size,2183SCT01_orange_md,active,Maaji,,7702781044657,
2183SCT01_orange_lg,Size,2183SCT01_orange_lg,active,Maaji,,7702781044664,
2183SCT01_orange_xl,Size,2183SCT01_orange_xl,active,Maaji,,7702781044671,
2184SBA01_orange_sm,Size,2184SBA01_orange_sm,active,Maaji,,7702781036447,
2184SBA01_orange_md,Size,2184SBA01_orange_md,active,Maaji,,7702781036454,
2184SBA01_orange_lg,Size,2184SBA01_orange_lg,active,Maaji,,7702781036461,
2184SBA01_orange_xl,Size,2184SBA01_orange_xl,active,Maaji,,7702781036478,
