lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SAC_brown_sm,Size,3007SAC14_brown_sm,active,Maaji,SMALL,7702781046460,SMALL,95000,COP Price
3007SAC_brown_md,Size,3007SAC14_brown_md,active,Maaji,MEDIUM,7702781046477,MEDIUM,95000,COP Price
3007SAC_brown_lg,Size,3007SAC14_brown_lg,active,Maaji,LARGE,7702781046484,LARGE,95000,COP Price
3007SBC_brown_sm,Size,3007SBC14_brown_sm,active,Maaji,SMALL,7702781046514,SMALL,95000,COP Price
3007SBC_brown_md,Size,3007SBC14_brown_md,active,Maaji,MEDIUM,7702781046521,MEDIUM,95000,COP Price
3007SBC_brown_lg,Size,3007SBC14_brown_lg,active,Maaji,LARGE,7702781046538,LARGE,95000,COP Price
3007SCC_brown_sm,Size,3007SCC14_brown_sm,active,Maaji,SMALL,7702781046569,SMALL,95000,COP Price
3007SCC_brown_md,Size,3007SCC14_brown_md,active,Maaji,MEDIUM,7702781046576,MEDIUM,95000,COP Price
3007SCC_brown_lg,Size,3007SCC14_brown_lg,active,Maaji,LARGE,7702781046583,LARGE,95000,COP Price
3007SDC_brown_sm,Size,3007SDC14_brown_sm,active,Maaji,SMALL,7702781035549,SMALL,95000,COP Price
3007SDC_brown_md,Size,3007SDC14_brown_md,active,Maaji,MEDIUM,7702781035556,MEDIUM,95000,COP Price
3007SDC_brown_lg,Size,3007SDC14_brown_lg,active,Maaji,LARGE,7702781035563,LARGE,95000,COP Price
3013SBC_red_sm,Size,3013SBC03_red_sm,active,Maaji,SMALL,7702781031176,SMALL,100000,COP Price
3013SBC_red_md,Size,3013SBC03_red_md,active,Maaji,MEDIUM,7702781031183,MEDIUM,100000,COP Price
3013SBC_red_lg,Size,3013SBC03_red_lg,active,Maaji,LARGE,7702781031190,LARGE,100000,COP Price
3013SCC_red_sm,Size,3013SCC03_red_sm,active,Maaji,SMALL,7702781051402,SMALL,100000,COP Price
3013SCC_red_md,Size,3013SCC03_red_md,active,Maaji,MEDIUM,7702781051419,MEDIUM,100000,COP Price
3013SCC_red_lg,Size,3013SCC03_red_lg,active,Maaji,LARGE,7702781051426,LARGE,100000,COP Price
307SAC_red_sm,Size,3007SAC15_red_sm,active,Maaji,SMALL,7702781031121,SMALL,95000,COP Price
307SAC_red_md,Size,3007SAC15_red_md,active,Maaji,MEDIUM,7702781031138,MEDIUM,95000,COP Price
307SAC_red_lg,Size,3007SAC15_red_lg,active,Maaji,LARGE,7702781031145,LARGE,95000,COP Price
307SBC_red_sm,Size,3007SBC15_red_sm,active,Maaji,SMALL,7702781046361,SMALL,95000,COP Price
307SBC_red_md,Size,3007SBC15_red_md,active,Maaji,MEDIUM,7702781046378,MEDIUM,95000,COP Price
307SBC_red_lg,Size,3007SBC15_red_lg,active,Maaji,LARGE,7702781046385,LARGE,95000,COP Price
307SCC_red_sm,Size,3007SCC15_red_sm,active,Maaji,SMALL,7702781046316,SMALL,95000,COP Price
307SCC_red_md,Size,3007SCC15_red_md,active,Maaji,MEDIUM,7702781046323,MEDIUM,95000,COP Price
307SCC_red_lg,Size,3007SCC15_red_lg,active,Maaji,LARGE,7702781046330,LARGE,95000,COP Price
307SDC_red_sm,Size,3007SDC15_red_sm,active,Maaji,SMALL,7702781046415,SMALL,95000,COP Price
307SDC_red_md,Size,3007SDC15_red_md,active,Maaji,MEDIUM,7702781046422,MEDIUM,95000,COP Price
307SDC_red_lg,Size,3007SDC15_red_lg,active,Maaji,LARGE,7702781046439,LARGE,95000,COP Price
