lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,attribute.saya_color.single_option,variation_children_code
3007sac14_cafe,Colour,3007SAC14 CAFE,active,Maaji,1,1,,3007sac14_cafe_sm|3007sac14_cafe_md|3007sac14_cafe_lg
3007sbc14_cafe,Colour,3007SBC14 CAFE,active,Maaji,1,1,,3007sbc14_cafe_sm|3007sbc14_cafe_md|3007sbc14_cafe_lg
3007scc14_cafe,Colour,3007SCC14 CAFE,active,Maaji,1,1,,3007scc14_cafe_sm|3007scc14_cafe_md|3007scc14_cafe_lg
3007sdc14_cafe,Colour,3007SDC14 CAFE,active,Maaji,1,1,,3007sdc14_cafe_sm|3007sdc14_cafe_md|3007sdc14_cafe_lg
3013sbc03_rojo,Colour,3013SBC03 ROJO,active,Maaji,1,1,,3013sbc03_rojo_sm|3013sbc03_rojo_md|3013sbc03_rojo_lg
3013scc03_rojo,Colour,3013SCC03 ROJO,active,Maaji,1,1,,3013scc03_rojo_sm|3013scc03_rojo_md|3013scc03_rojo_lg
3007sac15_rojo,Colour,3007SAC15 ROJO,active,Maaji,1,1,,3007sac15_rojo_sm|3007sac15_rojo_md|3007sac15_rojo_lg
3007sbc15_rojo,Colour,3007SBC15 ROJO,active,Maaji,1,1,,3007sbc15_rojo_sm|3007sbc15_rojo_md|3007sbc15_rojo_lg
3007scc15_rojo,Colour,3007SCC15 ROJO,active,Maaji,1,1,,3007scc15_rojo_sm|3007scc15_rojo_md|3007scc15_rojo_lg
3007sdc15_rojo,Colour,3007SDC15 ROJO,active,Maaji,1,1,,3007sdc15_rojo_sm|3007sdc15_rojo_md|3007sdc15_rojo_lg
2166sor01_rosado,Colour,2166SOR01 ROSADO,active,Maaji,1,1,,2166sor01_rosado_sm|2166sor01_rosado_md|2166sor01_rosado_lg
2166soh01_rosado,Colour,2166SOH01 ROSADO,active,Maaji,1,1,,2166soh01_rosado_sm|2166soh01_rosado_md|2166soh01_rosado_lg
2043sbc05_rojo,Colour,2043SBC05 ROJO,active,Maaji,1,1,,2043sbc05_rojo_sm|2043sbc05_rojo_md|2043sbc05_rojo_lg
2043scc05_rojo,Colour,2043SCC05 ROJO,active,Maaji,1,1,,2043scc05_rojo_sm|2043scc05_rojo_md|2043scc05_rojo_lg
2168sbc01_rojo,Colour,2168SBC01 ROJO,active,Maaji,1,1,,2168sbc01_rojo_sm|2168sbc01_rojo_md|2168sbc01_rojo_lg
2168scc01_rojo,Colour,2168SCC01 ROJO,active,Maaji,1,1,,2168scc01_rojo_sm|2168scc01_rojo_md|2168scc01_rojo_lg
2062sbc09_rojo,Colour,2062SBC09 ROJO,active,Maaji,1,1,,2062sbc09_rojo_sm|2062sbc09_rojo_md|2062sbc09_rojo_lg
2062scc09_rojo,Colour,2062SCC09 ROJO,active,Maaji,1,1,,2062scc09_rojo_sm|2062scc09_rojo_md|2062scc09_rojo_lg
2024sac05_rojo,Colour,2024SAC05 ROJO,active,Maaji,1,1,,2024sac05_rojo_sm|2024sac05_rojo_md|2024sac05_rojo_lg
2024sbc05_rojo,Colour,2024SBC05 ROJO,active,Maaji,1,1,,2024sbc05_rojo_sm|2024sbc05_rojo_md|2024sbc05_rojo_lg
2061sbc02_cafe,Colour,2061SBC02 CAFE,active,Maaji,1,1,,2061sbc02_cafe_sm|2061sbc02_cafe_md|2061sbc02_cafe_lg
2061scc02_cafe,Colour,2061SCC02 CAFE,active,Maaji,1,1,,2061scc02_cafe_sm|2061scc02_cafe_md|2061scc02_cafe_lg
2172sbc01_rojo,Colour,2172SBC01 ROJO,active,Maaji,1,1,,2172sbc01_rojo_sm|2172sbc01_rojo_md|2172sbc01_rojo_lg
2172sdc01_rojo,Colour,2172SDC01 ROJO,active,Maaji,1,1,,2172sdc01_rojo_sm|2172sdc01_rojo_md|2172sdc01_rojo_lg
2114sac03_rojo,Colour,2114SAC03 ROJO,active,Maaji,1,1,,2114sac03_rojo_sm|2114sac03_rojo_md|2114sac03_rojo_lg
2114sbc03_rojo,Colour,2114SBC03 ROJO,active,Maaji,1,1,,2114sbc03_rojo_sm|2114sbc03_rojo_md|2114sbc03_rojo_lg
3067sor01_negro,Colour,3067SOR01 NEGRO,active,Maaji,1,1,,3067sor01_negro_sm|3067sor01_negro_md|3067sor01_negro_lg
3067soh01_negro,Colour,3067SOH01 NEGRO,active,Maaji,1,1,,3067soh01_negro_sm|3067soh01_negro_md|3067soh01_negro_lg
3007sac16_negro,Colour,3007SAC16 NEGRO,active,Maaji,1,1,,3007sac16_negro_sm|3007sac16_negro_md|3007sac16_negro_lg
3007sbc16_negro,Colour,3007SBC16 NEGRO,active,Maaji,1,1,,3007sbc16_negro_sm|3007sbc16_negro_md|3007sbc16_negro_lg
3007scc16_negro,Colour,3007SCC16 NEGRO,active,Maaji,1,1,,3007scc16_negro_sm|3007scc16_negro_md|3007scc16_negro_lg
3007sdc16_negro,Colour,3007SDC16 NEGRO,active,Maaji,1,1,,3007sdc16_negro_sm|3007sdc16_negro_md|3007sdc16_negro_lg
3039sbc04_negro,Colour,3039SBC04 NEGRO,active,Maaji,1,1,,3039sbc04_negro_sm|3039sbc04_negro_md|3039sbc04_negro_lg
3039scc04_negro,Colour,3039SCC04 NEGRO,active,Maaji,1,1,,3039scc04_negro_sm|3039scc04_negro_md|3039scc04_negro_lg
3039sdc04_negro,Colour,3039SDC04 NEGRO,active,Maaji,1,1,,3039sdc04_negro_sm|3039sdc04_negro_md|3039sdc04_negro_lg
2187sbc01_negro,Colour,2187SBC01 NEGRO,active,Maaji,1,1,,2187sbc01_negro_sm|2187sbc01_negro_md|2187sbc01_negro_lg
2187sdc01_negro,Colour,2187SDC01 NEGRO,active,Maaji,1,1,,2187sdc01_negro_sm|2187sdc01_negro_md|2187sdc01_negro_lg
1943sbc04_azul,Colour,1943SBC04 AZUL,active,Maaji,1,1,,1943sbc04_azul_sm|1943sbc04_azul_md|1943sbc04_azul_lg
1943scc04_azul,Colour,1943SCC04 AZUL,active,Maaji,1,1,,1943scc04_azul_sm|1943scc04_azul_md|1943scc04_azul_lg
2122sob02_negro,Colour,2122SOB02 NEGRO,active,Maaji,1,1,,2122sob02_negro_sm|2122sob02_negro_md|2122sob02_negro_lg
