lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,variation_children_code
3007sac14,Cut,3007SAC14,active,Maaji,,3007sac14_cafe
3007sbc14,Cut,3007SBC14,active,Maaji,,3007sbc14_cafe
3007scc14,Cut,3007SCC14,active,Maaji,,3007scc14_cafe
3007sdc14,Cut,3007SDC14,active,Maaji,,3007sdc14_cafe
3013sbc03,Cut,3013SBC03,active,Maaji,,3013sbc03_rojo
3013scc03,Cut,3013SCC03,active,Maaji,,3013scc03_rojo
3007sac15,Cut,3007SAC15,active,Maaji,,3007sac15_rojo
3007sbc15,Cut,3007SBC15,active,Maaji,,3007sbc15_rojo
3007scc15,Cut,3007SCC15,active,Maaji,,3007scc15_rojo
3007sdc15,Cut,3007SDC15,active,Maaji,,3007sdc15_rojo
2166sor01,Cut,2166SOR01,active,Maaji,,2166sor01_rosado
2166soh01,Cut,2166SOH01,active,Maaji,,2166soh01_rosado
2043sbc05,Cut,2043SBC05,active,Maaji,,2043sbc05_rojo
2043scc05,Cut,2043SCC05,active,Maaji,,2043scc05_rojo
2168sbc01,Cut,2168SBC01,active,Maaji,,2168sbc01_rojo
2168scc01,Cut,2168SCC01,active,Maaji,,2168scc01_rojo
2062sbc09,Cut,2062SBC09,active,Maaji,,2062sbc09_rojo
2062scc09,Cut,2062SCC09,active,Maaji,,2062scc09_rojo
2024sac05,Cut,2024SAC05,active,Maaji,,2024sac05_rojo
2024sbc05,Cut,2024SBC05,active,Maaji,,2024sbc05_rojo
2061sbc02,Cut,2061SBC02,active,Maaji,,2061sbc02_cafe
2061scc02,Cut,2061SCC02,active,Maaji,,2061scc02_cafe
2172sbc01,Cut,2172SBC01,active,Maaji,,2172sbc01_rojo
2172sdc01,Cut,2172SDC01,active,Maaji,,2172sdc01_rojo
2114sac03,Cut,2114SAC03,active,Maaji,,2114sac03_rojo
2114sbc03,Cut,2114SBC03,active,Maaji,,2114sbc03_rojo
3067sor01,Cut,3067SOR01,active,Maaji,,3067sor01_negro
3067soh01,Cut,3067SOH01,active,Maaji,,3067soh01_negro
3007sac16,Cut,3007SAC16,active,Maaji,,3007sac16_negro
3007sbc16,Cut,3007SBC16,active,Maaji,,3007sbc16_negro
3007scc16,Cut,3007SCC16,active,Maaji,,3007scc16_negro
3007sdc16,Cut,3007SDC16,active,Maaji,,3007sdc16_negro
3039sbc04,Cut,3039SBC04,active,Maaji,,3039sbc04_negro
3039scc04,Cut,3039SCC04,active,Maaji,,3039scc04_negro
3039sdc04,Cut,3039SDC04,active,Maaji,,3039sdc04_negro
2187sbc01,Cut,2187SBC01,active,Maaji,,2187sbc01_negro
2187sdc01,Cut,2187SDC01,active,Maaji,,2187sdc01_negro
1943sbc04,Cut,1943SBC04,active,Maaji,,1943sbc04_azul
1943scc04,Cut,1943SCC04,active,Maaji,,1943scc04_azul
2122sob02,Cut,2122SOB02,active,Maaji,,2122sob02_negro
2122soc02,Cut,2122SOC02,active,Maaji,,2122soc02_negro
2050sbc01,Cut,2050SBC01,active,Maaji,,2050sbc01_negro
2050sdc01,Cut,2050SDC01,active,Maaji,,2050sdc01_negro
1943sac03,Cut,1943SAC03,active,Maaji,,1943sac03_negro
1943sbc03,Cut,1943SBC03,active,Maaji,,1943sbc03_negro
2061sbc03,Cut,2061SBC03,active,Maaji,,2061sbc03_negro
2061scc03,Cut,2061SCC03,active,Maaji,,2061scc03_negro
2041sac07,Cut,2041SAC07,active,Maaji,,2041sac07_negro
2041sbc07,Cut,2041SBC07,active,Maaji,,2041sbc07_negro
2047sbc05,Cut,2047SBC05,active,Maaji,,2047sbc05_negro
2047scc05,Cut,2047SCC05,active,Maaji,,2047scc05_negro
3007sac17,Cut,3007SAC17,active,Maaji,,3007sac17_azul
3007sbc17,Cut,3007SBC17,active,Maaji,,3007sbc17_azul
3007scc17,Cut,3007SCC17,active,Maaji,,3007scc17_azul
3007sdc17,Cut,3007SDC17,active,Maaji,,3007sdc17_azul
3039sbc05,Cut,3039SBC05,active,Maaji,,3039sbc05_azul
3039scc05,Cut,3039SCC05,active,Maaji,,3039scc05_azul
3039sdc05,Cut,3039SDC05,active,Maaji,,3039sdc05_azul
3052sbc03,Cut,3052SBC03,active,Maaji,,3052sbc03_rosado
3052sdc03,Cut,3052SDC03,active,Maaji,,3052sdc03_rosado
3007sac18,Cut,3007SAC18,active,Maaji,,3007sac18_rosado
3007sbc18,Cut,3007SBC18,active,Maaji,,3007sbc18_rosado
3007scc18,Cut,3007SCC18,active,Maaji,,3007scc18_rosado
3007sdc18,Cut,3007SDC18,active,Maaji,,3007sdc18_rosado
2062sbc10,Cut,2062SBC10,active,Maaji,,2062sbc10_azul
2062sdc10,Cut,2062SDC10,active,Maaji,,2062sdc10_azul
2043sac07,Cut,2043SAC07,active,Maaji,,2043sac07_azul
2043sac08,Cut,2043SAC08,active,Maaji,,2043sac08_azul
2043sbc08,Cut,2043SBC08,active,Maaji,,2043sbc08_azul
2061sbc05,Cut,2061SBC05,active,Maaji,,2061sbc05_azul
2061sdc05,Cut,2061SDC05,active,Maaji,,2061sdc05_azul
2061sbc04,Cut,2061SBC04,active,Maaji,,2061sbc04_azul
2061scc04,Cut,2061SCC04,active,Maaji,,2061scc04_azul
2119sor02,Cut,2119SOR02,active,Maaji,,2119sor02_azul
2119soh02,Cut,2119SOH02,active,Maaji,,2119soh02_azul
2062sbc11,Cut,2062SBC11,active,Maaji,,2062sbc11_azul
2062scc11,Cut,2062SCC11,active,Maaji,,2062scc11_azul
2041sbc08,Cut,2041SBC08,active,Maaji,,2041sbc08_azul
2041scc08,Cut,2041SCC08,active,Maaji,,2041scc08_azul
3007sac19,Cut,3007SAC19,active,Maaji,,3007sac19_anaranjado
3007sbc19,Cut,3007SBC19,active,Maaji,,3007sbc19_anaranjado
3013sbc04,Cut,3013SBC04,active,Maaji,,3013sbc04_anaranjado
3013scc04,Cut,3013SCC04,active,Maaji,,3013scc04_anaranjado
3007sac20,Cut,3007SAC20,active,Maaji,,3007sac20_morado
3007sbc20,Cut,3007SBC20,active,Maaji,,3007sbc20_morado
3007scc20,Cut,3007SCC20,active,Maaji,,3007scc20_morado
3007sdc20,Cut,3007SDC20,active,Maaji,,3007sdc20_morado
3039sbc06,Cut,3039SBC06,active,Maaji,,3039sbc06_morado
3039scc06,Cut,3039SCC06,active,Maaji,,3039scc06_morado
3039sdc06,Cut,3039SDC06,active,Maaji,,3039sdc06_morado
2182sor01,Cut,2182SOR01,active,Maaji,,2182sor01_anaranjado
2182soh01,Cut,2182SOH01,active,Maaji,,2182soh01_anaranjado
2110sbc03,Cut,2110SBC03,active,Maaji,,2110sb03_anaranjado
2110sdc03,Cut,2110SDC03,active,Maaji,,2110sdc03_anaranjado
2023sbc01,Cut,2023SBC01,active,Maaji,,2023sbc01_anaranjado
2023scc01,Cut,2023SCC01,active,Maaji,,2023scc01_anaranjado
2188sbc01,Cut,2188SBC01,active,Maaji,,2188sbc01_anaranjado
2188scc01,Cut,2188SCC01,active,Maaji,,2188scc01_anaranjado
2185sob01,Cut,2185SOB01,active,Maaji,,2185sob01_anaranjado
2185soc01,Cut,2185SOC01,active,Maaji,,2185soc01_anaranjado
1932sac02,Cut,1932SAC02,active,Maaji,,1932sac02_anaranjado
1932sbc02,Cut,1932SBC02,active,Maaji,,1932sbc02_anaranjado
2062sbc12,Cut,2062SBC12,active,Maaji,,2062sbc12_anaranjado
2062scc12,Cut,2062SCC12,active,Maaji,,2062scc12_anaranjado
2168sbc02,Cut,2168SBC02,active,Maaji,,2168sbc02_anaranjado
2168sdc02,Cut,2168SDC02,active,Maaji,,2168sdc02_anaranjado
3008scc02,Cut,3008SCC02,active,Maaji,,3008scc02_cafe
2187ssf01,Cut,2187SSF01,active,Maaji,,2187ssf01_anaranjado
2135ssf03,Cut,2135SSF03,active,Maaji,,2135ssf03_rojo
