lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
3007sac14_cafe_sm,Size,3007SAC14 CAFE SM,active,Maaji,,,
3007sac14_cafe_md,Size,3007SAC14 CAFE MD,active,Maaji,,,
3007sac14_cafe_lg,Size,3007SAC14 CAFE LG,active,Maaji,,,
3007sbc14_cafe_sm,Size,3007SBC14 CAFE SM,active,Maaji,,,
3007sbc14_cafe_md,Size,3007SBC14 CAFE MD,active,Maaji,,,
3007sbc14_cafe_lg,Size,3007SBC14 CAFE LG,active,Maaji,,,
3007scc14_cafe_sm,Size,3007SCC14 CAFE SM,active,Maaji,,,
3007scc14_cafe_md,Size,3007SCC14 CAFE MD,active,Maaji,,,
3007scc14_cafe_lg,Size,3007SCC14 CAFE LG,active,Maaji,,,
3007sdc14_cafe_sm,Size,3007SDC14 CAFE SM,active,Maaji,,,
3007sdc14_cafe_md,Size,3007SDC14 CAFE MD,active,Maaji,,,
3007sdc14_cafe_lg,Size,3007SDC14 CAFE LG,active,Maaji,,,
3013sbc03_rojo_sm,Size,3013SBC03 ROJO SM,active,Maaji,,,
3013sbc03_rojo_md,Size,3013SBC03 ROJO MD,active,Maaji,,,
3013sbc03_rojo_lg,Size,3013SBC03 ROJO LG,active,Maaji,,,
3013scc03_rojo_sm,Size,3013SCC03 ROJO SM,active,Maaji,,,
3013scc03_rojo_md,Size,3013SCC03 ROJO MD,active,Maaji,,,
3013scc03_rojo_lg,Size,3013SCC03 ROJO LG,active,Maaji,,,
3007sac15_rojo_sm,Size,3007SAC15 ROJO SM,active,Maaji,,,
3007sac15_rojo_md,Size,3007SAC15 ROJO MD,active,Maaji,,,
3007sac15_rojo_lg,Size,3007SAC15 ROJO LG,active,Maaji,,,
3007sbc15_rojo_sm,Size,3007SBC15 ROJO SM,active,Maaji,,,
3007sbc15_rojo_md,Size,3007SBC15 ROJO MD,active,Maaji,,,
3007sbc15_rojo_lg,Size,3007SBC15 ROJO LG,active,Maaji,,,
3007scc15_rojo_sm,Size,3007SCC15 ROJO SM,active,Maaji,,,
3007scc15_rojo_md,Size,3007SCC15 ROJO MD,active,Maaji,,,
3007scc15_rojo_lg,Size,3007SCC15 ROJO LG,active,Maaji,,,
3007sdc15_rojo_sm,Size,3007SDC15 ROJO SM,active,Maaji,,,
3007sdc15_rojo_md,Size,3007SDC15 ROJO MD,active,Maaji,,,
3007sdc15_rojo_lg,Size,3007SDC15 ROJO LG,active,Maaji,,,
2166sor01_rosado_sm,Size,2166SOR01 ROSADO SM,active,Maaji,,,
2166sor01_rosado_md,Size,2166SOR01 ROSADO MD,active,Maaji,,,
2166sor01_rosado_lg,Size,2166SOR01 ROSADO LG,active,Maaji,,,
2166soh01_rosado_sm,Size,2166SOH01 ROSADO SM,active,Maaji,,,
2166soh01_rosado_md,Size,2166SOH01 ROSADO MD,active,Maaji,,,
2166soh01_rosado_lg,Size,2166SOH01 ROSADO LG,active,Maaji,,,
2043sbc05_rojo_sm,Size,2043SBC05 ROJO SM,active,Maaji,,,
2043sbc05_rojo_md,Size,2043SBC05 ROJO MD,active,Maaji,,,
2043sbc05_rojo_lg,Size,2043SBC05 ROJO LG,active,Maaji,,,
2043scc05_rojo_sm,Size,2043SCC05 ROJO SM,active,Maaji,,,
2043scc05_rojo_md,Size,2043SCC05 ROJO MD,active,Maaji,,,
2043scc05_rojo_lg,Size,2043SCC05 ROJO LG,active,Maaji,,,
2168sbc01_rojo_sm,Size,2168SBC01 ROJO SM,active,Maaji,,,
2168sbc01_rojo_md,Size,2168SBC01 ROJO MD,active,Maaji,,,
2168sbc01_rojo_lg,Size,2168SBC01 ROJO LG,active,Maaji,,,
2168scc01_rojo_sm,Size,2168SCC01 ROJO SM,active,Maaji,,,
2168scc01_rojo_md,Size,2168SCC01 ROJO MD,active,Maaji,,,
2168scc01_rojo_lg,Size,2168SCC01 ROJO LG,active,Maaji,,,
2062sbc09_rojo_sm,Size,2062SBC09 ROJO SM,active,Maaji,,,
2062sbc09_rojo_md,Size,2062SBC09 ROJO MD,active,Maaji,,,
2062sbc09_rojo_lg,Size,2062SBC09 ROJO LG,active,Maaji,,,
2062scc09_rojo_sm,Size,2062SCC09 ROJO SM,active,Maaji,,,
2062scc09_rojo_md,Size,2062SCC09 ROJO MD,active,Maaji,,,
2062scc09_rojo_lg,Size,2062SCC09 ROJO LG,active,Maaji,,,
2024sac05_rojo_sm,Size,2024SAC05 ROJO SM,active,Maaji,,,
2024sac05_rojo_md,Size,2024SAC05 ROJO MD,active,Maaji,,,
2024sac05_rojo_lg,Size,2024SAC05 ROJO LG,active,Maaji,,,
2024sbc05_rojo_sm,Size,2024SBC05 ROJO SM,active,Maaji,,,
2024sbc05_rojo_md,Size,2024SBC05 ROJO MD,active,Maaji,,,
2024sbc05_rojo_lg,Size,2024SBC05 ROJO LG,active,Maaji,,,
2061sbc02_cafe_sm,Size,2061SBC02 CAFE SM,active,Maaji,,,
2061sbc02_cafe_md,Size,2061SBC02 CAFE MD,active,Maaji,,,
2061sbc02_cafe_lg,Size,2061SBC02 CAFE LG,active,Maaji,,,
2061scc02_cafe_sm,Size,2061SCC02 CAFE SM,active,Maaji,,,
2061scc02_cafe_md,Size,2061SCC02 CAFE MD,active,Maaji,,,
2061scc02_cafe_lg,Size,2061SCC02 CAFE LG,active,Maaji,,,
2172sbc01_rojo_sm,Size,2172SBC01 ROJO SM,active,Maaji,,,
2172sbc01_rojo_md,Size,2172SBC01 ROJO MD,active,Maaji,,,
2172sbc01_rojo_lg,Size,2172SBC01 ROJO LG,active,Maaji,,,
2172sdc01_rojo_sm,Size,2172SDC01 ROJO SM,active,Maaji,,,
2172sdc01_rojo_md,Size,2172SDC01 ROJO MD,active,Maaji,,,
2172sdc01_rojo_lg,Size,2172SDC01 ROJO LG,active,Maaji,,,
2114sac03_rojo_sm,Size,2114SAC03 ROJO SM,active,Maaji,,,
2114sac03_rojo_md,Size,2114SAC03 ROJO MD,active,Maaji,,,
2114sac03_rojo_lg,Size,2114SAC03 ROJO LG,active,Maaji,,,
2114sbc03_rojo_sm,Size,2114SBC03 ROJO SM,active,Maaji,,,
2114sbc03_rojo_md,Size,2114SBC03 ROJO MD,active,Maaji,,,
2114sbc03_rojo_lg,Size,2114SBC03 ROJO LG,active,Maaji,,,
3067sor01_negro_sm,Size,3067SOR01 NEGRO SM,active,Maaji,,,
3067sor01_negro_md,Size,3067SOR01 NEGRO MD,active,Maaji,,,
3067sor01_negro_lg,Size,3067SOR01 NEGRO LG,active,Maaji,,,
3067soh01_negro_sm,Size,3067SOH01 NEGRO SM,active,Maaji,,,
3067soh01_negro_md,Size,3067SOH01 NEGRO MD,active,Maaji,,,
3067soh01_negro_lg,Size,3067SOH01 NEGRO LG,active,Maaji,,,
3007sac16_negro_sm,Size,3007SAC16 NEGRO SM,active,Maaji,,,
3007sac16_negro_md,Size,3007SAC16 NEGRO MD,active,Maaji,,,
3007sac16_negro_lg,Size,3007SAC16 NEGRO LG,active,Maaji,,,
3007sbc16_negro_sm,Size,3007SBC16 NEGRO SM,active,Maaji,,,
3007sbc16_negro_md,Size,3007SBC16 NEGRO MD,active,Maaji,,,
3007sbc16_negro_lg,Size,3007SBC16 NEGRO LG,active,Maaji,,,
3007scc16_negro_sm,Size,3007SCC16 NEGRO SM,active,Maaji,,,
3007scc16_negro_md,Size,3007SCC16 NEGRO MD,active,Maaji,,,
3007scc16_negro_lg,Size,3007SCC16 NEGRO LG,active,Maaji,,,
3007sdc16_negro_sm,Size,3007SDC16 NEGRO SM,active,Maaji,,,
3007sdc16_negro_md,Size,3007SDC16 NEGRO MD,active,Maaji,,,
3007sdc16_negro_lg,Size,3007SDC16 NEGRO LG,active,Maaji,,,
3039sbc04_negro_sm,Size,3039SBC04 NEGRO SM,active,Maaji,,,
3039sbc04_negro_md,Size,3039SBC04 NEGRO MD,active,Maaji,,,
3039sbc04_negro_lg,Size,3039SBC04 NEGRO LG,active,Maaji,,,
3039scc04_negro_sm,Size,3039SCC04 NEGRO SM,active,Maaji,,,
3039scc04_negro_md,Size,3039SCC04 NEGRO MD,active,Maaji,,,
3039scc04_negro_lg,Size,3039SCC04 NEGRO LG,active,Maaji,,,
3039sdc04_negro_sm,Size,3039SDC04 NEGRO SM,active,Maaji,,,
3039sdc04_negro_md,Size,3039SDC04 NEGRO MD,active,Maaji,,,
3039sdc04_negro_lg,Size,3039SDC04 NEGRO LG,active,Maaji,,,
2187sbc01_negro_sm,Size,2187SBC01 NEGRO SM,active,Maaji,,,
2187sbc01_negro_md,Size,2187SBC01 NEGRO MD,active,Maaji,,,
2187sbc01_negro_lg,Size,2187SBC01 NEGRO LG,active,Maaji,,,
2187sdc01_negro_sm,Size,2187SDC01 NEGRO SM,active,Maaji,,,
2187sdc01_negro_md,Size,2187SDC01 NEGRO MD,active,Maaji,,,
2187sdc01_negro_lg,Size,2187SDC01 NEGRO LG,active,Maaji,,,
1943sbc04_azul_sm,Size,1943SBC04 AZUL SM,active,Maaji,,,
1943sbc04_azul_md,Size,1943SBC04 AZUL MD,active,Maaji,,,
1943sbc04_azul_lg,Size,1943SBC04 AZUL LG,active,Maaji,,,
1943scc04_azul_sm,Size,1943SCC04 AZUL SM,active,Maaji,,,
1943scc04_azul_md,Size,1943SCC04 AZUL MD,active,Maaji,,,
1943scc04_azul_lg,Size,1943SCC04 AZUL LG,active,Maaji,,,
2122sob02_negro_sm,Size,2122SOB02 NEGRO SM,active,Maaji,,,
2122sob02_negro_md,Size,2122SOB02 NEGRO MD,active,Maaji,,,
2122sob02_negro_lg,Size,2122SOB02 NEGRO LG,active,Maaji,,,
2122soc02_negro_sm,Size,2122SOC02 NEGRO SM,active,Maaji,,,
2122soc02_negro_md,Size,2122SOC02 NEGRO MD,active,Maaji,,,
2122soc02_negro_lg,Size,2122SOC02 NEGRO LG,active,Maaji,,,
2050sbc01_negro_sm,Size,2050SBC01 NEGRO SM,active,Maaji,,,
2050sbc01_negro_md,Size,2050SBC01 NEGRO MD,active,Maaji,,,
