lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
3007SAC14_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SAC14_brown_md,,19.5,20,0.19,,24,25,0.24
3007SAC14_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SBC14_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SBC14_brown_md,,19.5,20,0.19,,24,25,0.24
3007SBC14_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SCC14_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SCC14_brown_md,,19.5,20,0.19,,24,25,0.24
3007SCC14_brown_lg,,19.5,20,0.19,,24,25,0.24
3007SDC14_brown_sm,,19.5,20,0.19,,24,25,0.24
3007SDC14_brown_md,,19.5,20,0.19,,24,25,0.24
3007SDC14_brown_lg,,19.5,20,0.19,,24,25,0.24
3013SBC03_red_sm,,19.5,20,0.19,,24,25,0.24
3013SBC03_red_md,,19.5,20,0.19,,24,25,0.24
3013SBC03_red_lg,,19.5,20,0.19,,24,25,0.24
3013SCC03_red_sm,,19.5,20,0.19,,24,25,0.24
3013SCC03_red_md,,19.5,20,0.19,,24,25,0.24
3013SCC03_red_lg,,19.5,20,0.19,,24,25,0.24
3007SAC15_red_sm,,19.5,20,0.19,,24,25,0.24
3007SAC15_red_md,,19.5,20,0.19,,24,25,0.24
3007SAC15_red_lg,,19.5,20,0.19,,24,25,0.24
3007SBC15_red_sm,,19.5,20,0.19,,24,25,0.24
3007SBC15_red_md,,19.5,20,0.19,,24,25,0.24
3007SBC15_red_lg,,19.5,20,0.19,,24,25,0.24
3007SCC15_red_sm,,19.5,20,0.19,,24,25,0.24
3007SCC15_red_md,,19.5,20,0.19,,24,25,0.24
3007SCC15_red_lg,,19.5,20,0.19,,24,25,0.24
3007SDC15_red_sm,,19.5,20,0.19,,24,25,0.24
3007SDC15_red_md,,19.5,20,0.19,,24,25,0.24
3007SDC15_red_lg,,19.5,20,0.19,,24,25,0.24
2166SOR01_pink_sm,,19.5,20,0.19,,24,25,0.24
2166SOR01_pink_md,,19.5,20,0.19,,24,25,0.24
2166SOR01_pink_lg,,19.5,20,0.19,,24,25,0.24
