lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SAC14_brown_sm,Size,3007SAC14_brown_sm,active,Maaji,PEQUEÑO,7702781046460,PEQUEÑO,95000,COP Price
3007SAC14_brown_md,Size,3007SAC14_brown_md,active,Maaji,MEDIO,7702781046477,MEDIO,95000,COP Price
3007SAC14_brown_lg,Size,3007SAC14_brown_lg,active,Maaji,GRANDE,7702781046484,GRANDE,95000,COP Price
3007SBC14_brown_sm,Size,3007SBC14_brown_sm,active,Maaji,PEQUEÑO,7702781046514,PEQUEÑO,95000,COP Price
3007SBC14_brown_md,Size,3007SBC14_brown_md,active,Maaji,MEDIO,7702781046521,MEDIO,95000,COP Price
3007SBC14_brown_lg,Size,3007SBC14_brown_lg,active,Maaji,GRANDE,7702781046538,GRANDE,95000,COP Price
3007SCC14_brown_sm,Size,3007SCC14_brown_sm,active,Maaji,PEQUEÑO,7702781046569,PEQUEÑO,95000,COP Price
3007SCC14_brown_md,Size,3007SCC14_brown_md,active,Maaji,MEDIO,7702781046576,MEDIO,95000,COP Price
3007SCC14_brown_lg,Size,3007SCC14_brown_lg,active,Maaji,GRANDE,7702781046583,GRANDE,95000,COP Price
3007SDC14_brown_sm,Size,3007SDC14_brown_sm,active,Maaji,PEQUEÑO,7702781035549,PEQUEÑO,95000,COP Price
3007SDC14_brown_md,Size,3007SDC14_brown_md,active,Maaji,MEDIO,7702781035556,MEDIO,95000,COP Price
3007SDC14_brown_lg,Size,3007SDC14_brown_lg,active,Maaji,GRANDE,7702781035563,GRANDE,95000,COP Price
3013SBC03_red_sm,Size,3013SBC03_red_sm,active,Maaji,PEQUEÑO,7702781031176,PEQUEÑO,100000,COP Price
3013SBC03_red_md,Size,3013SBC03_red_md,active,Maaji,MEDIO,7702781031183,MEDIO,100000,COP Price
3013SBC03_red_lg,Size,3013SBC03_red_lg,active,Maaji,GRANDE,7702781031190,GRANDE,100000,COP Price
3013SCC03_red_sm,Size,3013SCC03_red_sm,active,Maaji,PEQUEÑO,7702781051402,PEQUEÑO,100000,COP Price
3013SCC03_red_md,Size,3013SCC03_red_md,active,Maaji,MEDIO,7702781051419,MEDIO,100000,COP Price
3013SCC03_red_lg,Size,3013SCC03_red_lg,active,Maaji,GRANDE,7702781051426,GRANDE,100000,COP Price
3007SAC15_red_sm,Size,3007SAC15_red_sm,active,Maaji,PEQUEÑO,7702781031121,PEQUEÑO,95000,COP Price
3007SAC15_red_md,Size,3007SAC15_red_md,active,Maaji,MEDIO,7702781031138,MEDIO,95000,COP Price
3007SAC15_red_lg,Size,3007SAC15_red_lg,active,Maaji,GRANDE,7702781031145,GRANDE,95000,COP Price
3007SBC15_red_sm,Size,3007SBC15_red_sm,active,Maaji,PEQUEÑO,7702781046361,PEQUEÑO,95000,COP Price
3007SBC15_red_md,Size,3007SBC15_red_md,active,Maaji,MEDIO,7702781046378,MEDIO,95000,COP Price
3007SBC15_red_lg,Size,3007SBC15_red_lg,active,Maaji,GRANDE,7702781046385,GRANDE,95000,COP Price
3007SCC15_red_sm,Size,3007SCC15_red_sm,active,Maaji,PEQUEÑO,7702781046316,PEQUEÑO,95000,COP Price
3007SCC15_red_md,Size,3007SCC15_red_md,active,Maaji,MEDIO,7702781046323,MEDIO,95000,COP Price
3007SCC15_red_lg,Size,3007SCC15_red_lg,active,Maaji,GRANDE,7702781046330,GRANDE,95000,COP Price
3007SDC15_red_sm,Size,3007SDC15_red_sm,active,Maaji,PEQUEÑO,7702781046415,PEQUEÑO,95000,COP Price
3007SDC15_red_md,Size,3007SDC15_red_md,active,Maaji,MEDIO,7702781046422,MEDIO,95000,COP Price
3007SDC15_red_lg,Size,3007SDC15_red_lg,active,Maaji,GRANDE,7702781046439,GRANDE,95000,COP Price
2166SOR01_pink_sm,Size,2166SOR01_pink_sm,active,Maaji,PEQUEÑO,7702781038243,PEQUEÑO,265000,COP Price
2166SOR01_pink_md,Size,2166SOR01_pink_md,active,Maaji,MEDIO,7702781038250,MEDIO,265000,COP Price
