lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SAC14_brown_sm,Size,3007SAC14_brown_sm,active,Maaji,SMALL,7702781046460,SMALL,95000,COP Price
3007SAC14_brown_md,Size,3007SAC14_brown_md,active,Maaji,MEDIUM,7702781046477,MEDIUM,95000,COP Price
3007SAC14_brown_lg,Size,3007SAC14_brown_lg,active,Maaji,LARGE,7702781046484,LARGE,95000,COP Price
3007SBC14_brown_sm,Size,3007SBC14_brown_sm,active,Maaji,SMALL,7702781046514,SMALL,95000,COP Price
3007SBC14_brown_md,Size,3007SBC14_brown_md,active,Maaji,MEDIUM,7702781046521,MEDIUM,95000,COP Price
3007SBC14_brown_lg,Size,3007SBC14_brown_lg,active,Maaji,LARGE,7702781046538,LARGE,95000,COP Price
3007SCC14_brown_sm,Size,3007SCC14_brown_sm,active,Maaji,SMALL,7702781046569,SMALL,95000,COP Price
3007SCC14_brown_md,Size,3007SCC14_brown_md,active,Maaji,MEDIUM,7702781046576,MEDIUM,95000,COP Price
3007SCC14_brown_lg,Size,3007SCC14_brown_lg,active,Maaji,LARGE,7702781046583,LARGE,95000,COP Price
3007SDC14_brown_sm,Size,3007SDC14_brown_sm,active,Maaji,SMALL,7702781035549,SMALL,95000,COP Price
3007SDC14_brown_md,Size,3007SDC14_brown_md,active,Maaji,MEDIUM,7702781035556,MEDIUM,95000,COP Price
3007SDC14_brown_lg,Size,3007SDC14_brown_lg,active,Maaji,LARGE,7702781035563,LARGE,95000,COP Price
3013SBC03_red_sm,Size,3013SBC03_red_sm,active,Maaji,SMALL,7702781031176,SMALL,100000,COP Price
3013SBC03_red_md,Size,3013SBC03_red_md,active,Maaji,MEDIUM,7702781031183,MEDIUM,100000,COP Price
3013SBC03_red_lg,Size,3013SBC03_red_lg,active,Maaji,LARGE,7702781031190,LARGE,100000,COP Price
3013SCC03_red_sm,Size,3013SCC03_red_sm,active,Maaji,SMALL,7702781051402,SMALL,100000,COP Price
3013SCC03_red_md,Size,3013SCC03_red_md,active,Maaji,MEDIUM,7702781051419,MEDIUM,100000,COP Price
3013SCC03_red_lg,Size,3013SCC03_red_lg,active,Maaji,LARGE,7702781051426,LARGE,100000,COP Price
