lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
3007SAC14_brown_sm,CO,3007SAC14_brown_sm,10,in_stock,dynamic,10
3007SAC14_brown_md,CO,3007SAC14_brown_md,9,in_stock,dynamic,9
3007SAC14_brown_lg,CO,3007SAC14_brown_lg,12,in_stock,dynamic,12
3007SBC14_brown_sm,CO,3007SBC14_brown_sm,7,in_stock,dynamic,7
3007SBC14_brown_md,CO,3007SBC14_brown_md,6,in_stock,dynamic,6
3007SBC14_brown_lg,CO,3007SBC14_brown_lg,2,in_stock,dynamic,2
3007SCC14_brown_sm,CO,3007SCC14_brown_sm,4,in_stock,dynamic,4
3007SCC14_brown_md,CO,3007SCC14_brown_md,9,in_stock,dynamic,9
3007SCC14_brown_lg,CO,3007SCC14_brown_lg,2,in_stock,dynamic,2
3007SDC14_brown_sm,CO,3007SDC14_brown_sm,1,in_stock,dynamic,1
3007SDC14_brown_md,CO,3007SDC14_brown_md,10,in_stock,dynamic,10
3007SDC14_brown_lg,CO,3007SDC14_brown_lg,12,in_stock,dynamic,12
3013SBC03_red_sm,CO,3013SBC03_red_sm,8,in_stock,dynamic,8
3013SBC03_red_md,CO,3013SBC03_red_md,5,in_stock,dynamic,5
3013SBC03_red_lg,CO,3013SBC03_red_lg,3,in_stock,dynamic,3
3013SCC03_red_sm,CO,3013SCC03_red_sm,1,in_stock,dynamic,1
3013SCC03_red_md,CO,3013SCC03_red_md,8,in_stock,dynamic,8
3013SCC03_red_lg,CO,3013SCC03_red_lg,12,in_stock,dynamic,12
3007SAC15_red_sm,CO,3007SAC15_red_sm,10,in_stock,dynamic,10
3007SAC15_red_md,CO,3007SAC15_red_md,10,in_stock,dynamic,10
3007SAC15_red_lg,CO,3007SAC15_red_lg,9,in_stock,dynamic,9
3007SBC15_red_sm,CO,3007SBC15_red_sm,12,in_stock,dynamic,12
3007SBC15_red_md,CO,3007SBC15_red_md,7,in_stock,dynamic,7
3007SBC15_red_lg,CO,3007SBC15_red_lg,6,in_stock,dynamic,6
3007SCC15_red_sm,CO,3007SCC15_red_sm,2,in_stock,dynamic,2
3007SCC15_red_md,CO,3007SCC15_red_md,4,in_stock,dynamic,4
3007SCC15_red_lg,CO,3007SCC15_red_lg,9,in_stock,dynamic,9
3007SDC15_red_sm,CO,3007SDC15_red_sm,2,in_stock,dynamic,2
3007SDC15_red_md,CO,3007SDC15_red_md,1,in_stock,dynamic,1
3007SDC15_red_lg,CO,3007SDC15_red_lg,10,in_stock,dynamic,10
2166SOR01_pink_sm,CO,2166SOR01_pink_sm,12,in_stock,dynamic,12
2166SOR01_pink_md,CO,2166SOR01_pink_md,8,in_stock,dynamic,8
2166SOR01_pink_lg,CO,2166SOR01_pink_lg,5,in_stock,dynamic,5
2166SOH01_pink_sm,CO,2166SOH01_pink_sm,3,in_stock,dynamic,3
2166SOH01_pink_md,CO,2166SOH01_pink_md,1,in_stock,dynamic,1
2166SOH01_pink_lg,CO,2166SOH01_pink_lg,8,in_stock,dynamic,8
2043SBC05_red_sm,CO,2043SBC05_red_sm,12,in_stock,dynamic,12
2043SBC05_red_md,CO,2043SBC05_red_md,10,in_stock,dynamic,10
2043SBC05_red_lg,CO,2043SBC05_red_lg,10,in_stock,dynamic,10
2043SCC05_red_sm,CO,2043SCC05_red_sm,9,in_stock,dynamic,9
2043SCC05_red_md,CO,2043SCC05_red_md,12,in_stock,dynamic,12
2043SCC05_red_lg,CO,2043SCC05_red_lg,7,in_stock,dynamic,7
2168SBC01_red_sm,CO,2168SBC01_red_sm,6,in_stock,dynamic,6
2168SBC01_red_md,CO,2168SBC01_red_md,2,in_stock,dynamic,2
2168SBC01_red_lg,CO,2168SBC01_red_lg,4,in_stock,dynamic,4
2168SCC01_red_sm,CO,2168SCC01_red_sm,9,in_stock,dynamic,9
2168SCC01_red_md,CO,2168SCC01_red_md,2,in_stock,dynamic,2
2168SCC01_red_lg,CO,2168SCC01_red_lg,1,in_stock,dynamic,1
2062SBC09_red_sm,CO,2062SBC09_red_sm,10,in_stock,dynamic,10
2062SBC09_red_md,CO,2062SBC09_red_md,12,in_stock,dynamic,12
2062SBC09_red_lg,CO,2062SBC09_red_lg,8,in_stock,dynamic,8
2062SCC09_red_sm,CO,2062SCC09_red_sm,5,in_stock,dynamic,5
2062SCC09_red_md,CO,2062SCC09_red_md,3,in_stock,dynamic,3
2062SCC09_red_lg,CO,2062SCC09_red_lg,1,in_stock,dynamic,1
2024SAC05_red_sm,CO,2024SAC05_red_sm,8,in_stock,dynamic,8
2024SAC05_red_md,CO,2024SAC05_red_md,12,in_stock,dynamic,12
2024SAC05_red_lg,CO,2024SAC05_red_lg,10,in_stock,dynamic,10
2024SBC05_red_sm,CO,2024SBC05_red_sm,10,in_stock,dynamic,10
2024SBC05_red_md,CO,2024SBC05_red_md,9,in_stock,dynamic,9
2024SBC05_red_lg,CO,2024SBC05_red_lg,12,in_stock,dynamic,12
2061SBC02_brown_sm,CO,2061SBC02_brown_sm,7,in_stock,dynamic,7
2061SBC02_brown_md,CO,2061SBC02_brown_md,6,in_stock,dynamic,6
2061SBC02_brown_lg,CO,2061SBC02_brown_lg,2,in_stock,dynamic,2
2061SCC02_brown_sm,CO,2061SCC02_brown_sm,4,in_stock,dynamic,4
2061SCC02_brown_md,CO,2061SCC02_brown_md,9,in_stock,dynamic,9
2061SCC02_brown_lg,CO,2061SCC02_brown_lg,2,in_stock,dynamic,2
2172SBC01_red_sm,CO,2172SBC01_red_sm,1,in_stock,dynamic,1
2172SBC01_red_md,CO,2172SBC01_red_md,10,in_stock,dynamic,10
2172SBC01_red_lg,CO,2172SBC01_red_lg,12,in_stock,dynamic,12
2172SDC01_red_sm,CO,2172SDC01_red_sm,8,in_stock,dynamic,8
2172SDC01_red_md,CO,2172SDC01_red_md,5,in_stock,dynamic,5
2172SDC01_red_lg,CO,2172SDC01_red_lg,3,in_stock,dynamic,3
2114SAC03_red_sm,CO,2114SAC03_red_sm,1,in_stock,dynamic,1
2114SAC03_red_md,CO,2114SAC03_red_md,8,in_stock,dynamic,8
2114SAC03_red_lg,CO,2114SAC03_red_lg,12,in_stock,dynamic,12
2114SBC03_red_sm,CO,2114SBC03_red_sm,10,in_stock,dynamic,10
2114SBC03_red_md,CO,2114SBC03_red_md,10,in_stock,dynamic,10
2114SBC03_red_lg,CO,2114SBC03_red_lg,9,in_stock,dynamic,9
3067SOR01_black_sm,CO,3067SOR01_black_sm,12,in_stock,dynamic,12
3067SOR01_black_md,CO,3067SOR01_black_md,7,in_stock,dynamic,7
3067SOR01_black_lg,CO,3067SOR01_black_lg,6,in_stock,dynamic,6
3067SOH01_black_sm,CO,3067SOH01_black_sm,2,in_stock,dynamic,2
3067SOH01_black_md,CO,3067SOH01_black_md,4,in_stock,dynamic,4
3067SOH01_black_lg,CO,3067SOH01_black_lg,9,in_stock,dynamic,9
3007SAC16_black_sm,CO,3007SAC16_black_sm,2,in_stock,dynamic,2
3007SAC16_black_md,CO,3007SAC16_black_md,1,in_stock,dynamic,1
3007SAC16_black_lg,CO,3007SAC16_black_lg,10,in_stock,dynamic,10
3007SBC16_black_sm,CO,3007SBC16_black_sm,12,in_stock,dynamic,12
3007SBC16_black_md,CO,3007SBC16_black_md,8,in_stock,dynamic,8
3007SBC16_black_lg,CO,3007SBC16_black_lg,5,in_stock,dynamic,5
3007SCC16_black_sm,CO,3007SCC16_black_sm,3,in_stock,dynamic,3
3007SCC16_black_md,CO,3007SCC16_black_md,1,in_stock,dynamic,1
3007SCC16_black_lg,CO,3007SCC16_black_lg,8,in_stock,dynamic,8
3007SDC16_black_sm,CO,3007SDC16_black_sm,12,in_stock,dynamic,12
