lv1_code,product_class_name,name,status,attribute.saya_product_status.string,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.text,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_group.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_season.single_option,group_member_code
3060SFA03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>4 ways top (wear it to back and front)<br/>Bandeau off-shoulder top<br/>Removable Soft Pads<br/>Pleated on mid-front<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,"TOP:
Reversible
4 ways top (wear it to back and front)
Bandeau off-shoulder top
Removable Soft Pads
Pleated on mid-front
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,,2018,3060sfa03|shimmering_cognac_sublime
1520SFH03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>Fixed Halter top<br/>Removable soft pads<br/>Pullover<br/>Fixed criss cross back<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,"TOP:
Reversible
Fixed Halter top
Removable soft pads
Pullover
Fixed criss cross back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,,2018,1520sfh03|shimmering_cognac_sublime
3047SFH03-DAHLIA RENDEZVOUS,Sets,DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Criss cross back string with lace up<br/>Pleated on mid-front<br/>Grommet details on back<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Adjustable at sides<br/>Full coverage<br/>Made in Colombia</p>,DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,"TOP:
Reversible
Bralette top
Removable soft pads
Criss cross back string with lace up
Pleated on mid-front
Grommet details on back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Adjustable at sides
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,DAHLIA SANDCASTLE-DAHLIA RENDEZVOUS,,2018,3047sfh03|dahlia_rendezvous
3059SFT02-DAHLIA SUBLIME,Sets,DAHLIA BASKET-DAHLIA SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",DAHLIA BASKET-DAHLIA SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>Fixed Triangle top<br/>Crochet trims detail at shoulder straps<br/>Removable soft pads<br/>Adjustable criss cross back<br/>Demi coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,DAHLIA BASKET-DAHLIA SUBLIME,"TOP:
Reversible
Fixed Triangle top
Crochet trims detail at shoulder straps
Removable soft pads
Adjustable criss cross back
Demi coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,DAHLIA BASKET-DAHLIA SUBLIME,,2018,3059sft02|dahlia_sublime
3062SBA01-DAHLIA SUBLIME,Sets,DAHLIA RUCHED-DAHLIA SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",DAHLIA RUCHED-DAHLIA SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible <br/>Smocked bandeau top<br/>Removable soft pads<br/>Removable shoulder straps<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,DAHLIA RUCHED-DAHLIA SUBLIME,"TOP:
Reversible 
Smocked bandeau top
Removable soft pads
Removable shoulder straps
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,DAHLIA RUCHED-DAHLIA SUBLIME,,2018,3062sba01|dahlia_sublime
2169SBA01-FLOWERY KNOTS,Sets,FLOWERY KNOTS-FLOWERY KNOTS,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",FLOWERY KNOTS-FLOWERY KNOTS,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>4 ways top (wear it to back and front)<br/>Bandeau <br/>Removable shoulder straps<br/>Removable Soft Pads<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,FLOWERY KNOTS-FLOWERY KNOTS,"TOP:
Reversible
4 ways top (wear it to back and front)
Bandeau 
Removable shoulder straps
Removable Soft Pads
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,FLOWERY KNOTS-FLOWERY KNOTS,,2018,2169sba01|flowery_knots
2171SFH01-WAYUU ALLURE,Sets,WAYUU ALLURE-WAYUU ALLURE,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",WAYUU ALLURE-WAYUU ALLURE,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>4 ways top (wear it to back and front)<br/>alter top<br/>Lace up with tie strings<br/>Removable Soft Pads<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,WAYUU ALLURE-WAYUU ALLURE,"TOP:
Reversible
4 ways top (wear it to back and front)
Halter top
Lace up with tie strings
Removable Soft Pads
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,WAYUU ALLURE-WAYUU ALLURE,,2018,2171sfh01|wayuu_allure
3063SBR01-METEORITE SUBLIME,Sets,METEORITE DUNES-METEORITE SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE DUNES-METEORITE SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Lace up with tie strings<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,METEORITE DUNES-METEORITE SUBLIME,"TOP:
Reversible
Bralette top
Removable soft pads
Lace up with tie strings
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,METEORITE DUNES-METEORITE SUBLIME,,2018,3063sbr01|meteorite_sublime
3042SFH02-METEORITE SUBLIME,Sets,METEORITE VALLEY-METEORITE SUBLIME,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE VALLEY-METEORITE SUBLIME,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Reversible<br/>Fixed Halter top<br/>Removable soft pads<br/>Pullover<br/>Fixed criss cross back<br/>Full coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,METEORITE VALLEY-METEORITE SUBLIME,"TOP:
Reversible
Fixed Halter top
Removable soft pads
Pullover
Fixed criss cross back
Full coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,METEORITE VALLEY-METEORITE SUBLIME,,2018,3042sfh02|meteorite_sublime
3066SUN01-METEORITE FLIRT,Sets,METEORITE SWELL-METEORITE FLIRT,active,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",METEORITE SWELL-METEORITE FLIRT,,<h3>TOP</h3><p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p><h3>BOTTOM</h3><br/>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<h3>TOP</h3><p>Underwire top<br/>Without molded cups<br/>Ruffle detail<br/>Adjustable criss cross back<br/>Removable back strap to wear it as a off-shoulder<br/>Medium coverage at front<br/>Made in Colombia</p><h3>BOTTOM</h3><p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,METEORITE SWELL-METEORITE FLIRT,"TOP:
Underwire top
Without molded cups
Ruffle detail
Adjustable criss cross back
Removable back strap to wear it as a off-shoulder
Medium coverage at front
Made in Colombia

BOTTOM: 
Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size S,,SUMMER 2018,COLOMBIA,,METEORITE SWELL-METEORITE FLIRT,,2018,3066sun01|meteorite_flirt
