lv1_code,product_class_name,name,status,attribute.saya_product_status.string,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.text,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_group.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,imag3.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,group_member_code
3060SFA03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,active,active,Maaji,Colombia,1,0,,"Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem.",<p>Maecenas nec odio et ante tincidunt tempus. <br/>Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. <br/>Etiam sit amet orci eget eros faucibus tincidunt. Duis leo.</p>,2,"Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc, quis gravida magna mi a libero.","<p>Fusce vulputate eleifend sapien. <br/>Vestibulum purus quam, scelerisque ut, mollis sed, nonummy id, metus.<br/> Nullam accumsan lorem in dui. Cras ultricies mi eu turpis hendrerit fringilla.</p>",SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In ac dui quis mi consectetuer lacinia. Nam pretium turpis et arcu.,,,,"Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum. Sed aliquam ultrices mauris",,SUMMER 2018,COLOMBIA,SUMMER,SHIMMERING COGNAC CUMBIA-SHIMMERING COGNAC SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_3.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_4.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786916/Summer2018/3060SFA03_3007SDC14_red_5.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_6.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_7.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,http://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_8.jpg,"3060SFA03_SHIMMERING_COGNAC SUBLIME
",,3060SFA03|SHIMMERING COGNAC SUBLIME
1520SFH03-SHIMMERING COGNAC SUBLIME,Sets,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,active,active,Maaji,Colombia,1,0,,"Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem.",<p>Maecenas nec odio et ante tincidunt tempus. <br/>Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. <br/>Etiam sit amet orci eget eros faucibus tincidunt. Duis leo.</p>,2,"Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna. Sed consequat, leo eget bibendum sodales, augue velit cursus nunc, quis gravida magna mi a libero.","<p>Fusce vulputate eleifend sapien. <br/>Vestibulum purus quam, scelerisque ut, mollis sed, nonummy id, metus.<br/> Nullam accumsan lorem in dui. Cras ultricies mi eu turpis hendrerit fringilla.</p>",SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; In ac dui quis mi consectetuer lacinia. Nam pretium turpis et arcu.,,,,"Duis arcu tortor, suscipit eget, imperdiet nec, imperdiet iaculis, ipsum. Sed aliquam ultrices mauris",,SUMMER 2018,COLOMBIA,SUMMER,SHIMMERING COGNAC SWIRL-SHIMMERING COGNAC SUBLIME,WOMEN,2018,https://res.cloudinary.com/maaji/image/upload/v1517761351/Summer2018/1520SFH03_3007SAC14_3007SBC14_red_3.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761347/Summer2018/1520SFH03_3007SAC14_3007SBC14_red_4.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761361/Summer2018/1520SFH03_3007SDC14_red_5.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,https://res.cloudinary.com/maaji/image/upload/v1517761362/Summer2018/1520SFH03_3007SDC14_red_6.jpg,1520SFH03_SHIMMERING_COGNAC_SUBLIME,,,,,,,,1520SFH03|SHIMMERING COGNAC SUBLIME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
