lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
1233xtw02_anaranjado_os,Single Level Product Style,1233XTW02 ANARANJADO OS,active,Maaji,Colombia,1,1,,ACCESSORIES > BEACH COVER,Maaji_CO,ACCESSORIES > BEACH COVER,default,ACCESSORIES > BEACH COVER,Maaji_AU,ACCESSORIES > BEACH COVER,Maaji_EUR,ACCESSORIES > BEACH COVER,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SANDWAVES BEACH TOWEL,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Reversible rectangular beach towell with two bottom pockets and fringes on both sides</p>,SANDWAVES BEACH TOWEL,Reversible rectangular beach towell with two bottom pockets and fringes on both sides,,,,,,SUMMER 2018,COLOMBIA,,,,<h4>SANDWAVES BEACH TOWEL</h4>,,active,2018,63.07.90.90.00,,,OS
1238xcp05_rojo_os,Single Level Product Style,1238XCP05 ROJO OS,active,Maaji,Colombia,1,1,,ACCESSORIES > CAPS AND VISORS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",OASIS KNOT VISOR,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach knot visor</p>,OASIS KNOT VISOR,Beach knot visor,,,,,,SUMMER 2018,COLOMBIA,,,,<h4>OASIS KNOT VISOR</h4>,,active,2018,65.07.00.00.00,,,OS
1238xcp06_anaranjado_os,Single Level Product Style,1238XCP06 ANARANJADO OS,active,Maaji,Colombia,1,1,,ACCESSORIES > CAPS AND VISORS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",WINE KNOT VISOR,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach knot visor</p>,WINE KNOT VISOR,Beach knot visor,,,,,,SUMMER 2018,COLOMBIA,,,,<h4>WINE KNOT VISOR</h4>,,active,2018,65.07.00.00.00,,,OS
1244xpk02_multicolor_os,Single Level Product Style,1244XPK02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_CO,ACCESSORIES > COSMETICS AND ENVELOPES,default,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_AU,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_EUR,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",ASSORTED FESTIVAL BIKINI BAG,OS,"<p>Do not soak, do not iron, wash backwards, do not use soaps with decolorizing</p>","<p>Pack of two bags to pack, with zippers and big capacity. <br/>In lightweight fabric</p>",ASSORTED FESTIVAL BIKINI BAG,"Pack of two bags to pack, with zippers and big capacity. In lightweight fabric",,,,,,SUMMER 2018,COLOMBIA,,,,<h4>ASSORTED FESTIVAL BIKINI BAG</h4>,,active,2018,42.02.32.00.00,,,OS
1245xvr02_multicolor_os,Single Level Product Style,1245XVR02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,ACCESSORIES > BAGS,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",ASSORTED ROLL ME UP,OS,"<p>Do not soak, do not iron, wash backwards, do not use soaps with decolorizing</p>","<p>Packable tote in its internal pocket,  <br/>unlined, in lightweight fabric</p>",ASSORTED ROLL ME UP,"Packable tote in its internal pocket,  unlined, in lightweight fabric",,,,,,SUMMER 2018,COLOMBIA,,,,<h4>ASSORTED ROLL ME UP</h4>,,active,2018,42.02.22.00.00,,,OS
1268xwk01_aguamarina_os,Single Level Product Style,1268XWK01 AGUAMARINA OS,active,Maaji,Colombia,1,1,,ACCESSORIES > BAGS,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MISTERY LOVELY WEEKENDER,OS,"<p>Do not soak, do not iron, wash backwards, do not use soaps with decolorizing</p>","<p>Weekender bag with bottom shoe pocket, front pocket with zipper to keep small stuff, <br/>long adjustable strap and short straps.</p>",MISTERY LOVELY WEEKENDER,"Weekender bag with bottom shoe pocket, front pocket with zipper to keep small stuff, <br/>long adjustable strap and short straps",,,,,,SUMMER 2018,COLOMBIA,,,,<h4>MISTERY LOVELY WEEKENDER</h4>,,active,2018,42.02.22.00.00,,,OS
1269xbp01_aguamarina_os,Single Level Product Style,1269XBP01 AGUAMARINA OS,active,Maaji,Colombia,1,1,,ACCESSORIES > BAGS,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MISTERY BACPACK,OS,"<p>Do not soak, do not iron, wash backwards, do not use soaps with decolorizing</p>","<p>Tick fabric backpack with computer pocket, strong straps and big capacity, <br/>side mesh bottle pocket, outside pocket to keep medium stuff and internal pocket to keep little staff</p>",MISTERY BACPACK,"Tick fabric backpack with computer pocket, strong straps and big capacity, side mesh bottle pocket, outside pocket to keep medium stuff and internal pocket to keep little staff",,,,,,SUMMER 2018,COLOMBIA,,,,<h4>MISTERY BACPACK</h4>,,active,2018,42.02.22.00.00,,,OS
1270xte01_rojo_os,Single Level Product Style,1270XTE01 ROJO OS,active,Maaji,Colombia,1,1,,ACCESSORIES > BAGS,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",CORAL TREASURES BEACH BAG,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Reversible beach bag with thick drawstring as straps, inside pocket and big opacity</p>",CORAL TREASURES BEACH BAG,"Reversible beach bag with thick drawstring as straps, inside pocket and big opacity",,,,,,SUMMER 2018,COLOMBIA,,,,<h4>CORAL TREASURES BEACH BAG</h4>,,active,2018,42.02.22.00.00,,,OS
1273xcp01_aguamarina_os,Single Level Product Style,1273XCP01 AGUAMARINA OS,active,Maaji,Colombia,1,1,,ACCESSORIES > CAPS AND VISORS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",MISTERY KNOT CAP,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot cap</p>,MISTERY KNOT CAP,Knot cap,,,,,,SUMMER 2018,COLOMBIA,,,,<h4>MISTERY KNOT CAP</h4>,,active,2018,65.06.99.00.00,,,OS
1273xcp02_morado_os,Single Level Product Style,1273XCP02 MORADO OS,active,Maaji,Colombia,1,1,,ACCESSORIES > CAPS AND VISORS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",EXOTIC KNOT CAP,OS,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot cap</p>,EXOTIC KNOT CAP,Knot cap,,,,,,SUMMER 2018,COLOMBIA,,,,<h4>EXOTIC KNOT CAP</h4>,,active,2018,65.06.99.00.00,,,OS
