lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1049TSS04_blue_sm,Size,1049TSS04_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1049TSS04_blue_md,Size,1049TSS04_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1049TSS04_blue_lg,Size,1049TSS04_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1049TSS04_blue_xl,Size,1049TSS04_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1049TSS03_blue_sm,Size,1049TSS03_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1049TSS03_blue_md,Size,1049TSS03_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1049TSS03_blue_lg,Size,1049TSS03_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1049TSS03_blue_xl,Size,1049TSS03_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1049TSS02_red_sm,Size,1049TSS02_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1049TSS02_red_md,Size,1049TSS02_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1049TSS02_red_lg,Size,1049TSS02_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1049TSS02_red_xl,Size,1049TSS02_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1046TSF04_purple_sm,Size,1046TSF04_purple_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1046TSF04_purple_md,Size,1046TSF04_purple_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1046TSF04_purple_lg,Size,1046TSF04_purple_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1046TSF04_purple_xl,Size,1046TSF04_purple_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1046TSF03_blue_sm,Size,1046TSF03_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1046TSF03_blue_md,Size,1046TSF03_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1046TSF03_blue_lg,Size,1046TSF03_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1046TSF03_blue_xl,Size,1046TSF03_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1042TRS03_red_sm,Size,1042TRS03_red_sm,active,Maaji,7.70278E+12,SMALL,189000,COP Price
1042TRS03_red_md,Size,1042TRS03_red_md,active,Maaji,7.70278E+12,MEDIUM,189000,COP Price
1042TRS03_red_lg,Size,1042TRS03_red_lg,active,Maaji,7.70278E+12,LARGE,189000,COP Price
1042TRS03_red_xl,Size,1042TRS03_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,189000,COP Price
1042TRS02_blue_sm,Size,1042TRS02_blue_sm,active,Maaji,7.70278E+12,SMALL,189000,COP Price
1042TRS02_blue_md,Size,1042TRS02_blue_md,active,Maaji,7.70278E+12,MEDIUM,189000,COP Price
1042TRS02_blue_lg,Size,1042TRS02_blue_lg,active,Maaji,7.70278E+12,LARGE,189000,COP Price
1042TRS02_blue_xl,Size,1042TRS02_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,189000,COP Price
1041TBS03_black_sm,Size,1041TBS03_black_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1041TBS03_black_md,Size,1041TBS03_black_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1041TBS03_black_lg,Size,1041TBS03_black_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1041TBS03_black_xl,Size,1041TBS03_black_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1041TBS02_red_sm,Size,1041TBS02_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1041TBS02_red_md,Size,1041TBS02_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1041TBS02_red_lg,Size,1041TBS02_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1041TBS02_red_xl,Size,1041TBS02_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,180000,COP Price
1038TSL03_red_sm,Size,1038TSL03_red_sm,active,Maaji,7.70278E+12,SMALL,189000,COP Price
1038TSL03_red_md,Size,1038TSL03_red_md,active,Maaji,7.70278E+12,MEDIUM,189000,COP Price
1038TSL03_red_lg,Size,1038TSL03_red_lg,active,Maaji,7.70278E+12,LARGE,189000,COP Price
1038TSL03_red_xl,Size,1038TSL03_red_xl,active,Maaji,7.70278E+12,EXTRA LARGE,189000,COP Price
1038TSL02_blue_sm,Size,1038TSL02_blue_sm,active,Maaji,7.70278E+12,SMALL,189000,COP Price
1038TSL02_blue_md,Size,1038TSL02_blue_md,active,Maaji,7.70278E+12,MEDIUM,189000,COP Price
1038TSL02_blue_lg,Size,1038TSL02_blue_lg,active,Maaji,7.70278E+12,LARGE,189000,COP Price
1038TSL02_blue_xl,Size,1038TSL02_blue_xl,active,Maaji,7.70278E+12,EXTRA LARGE,189000,COP Price
1372CSH02_black_sm,Size,1372CSH02_black_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
1372CSH02_black_md,Size,1372CSH02_black_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
1372CSH02_black_lg,Size,1372CSH02_black_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
1422CSD04_purple_sm,Size,1422CSD04_purple_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1422CSD04_purple_md,Size,1422CSD04_purple_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1422CSD04_purple_lg,Size,1422CSD04_purple_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1438CSD05_red_sm,Size,1438CSD05_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1438CSD05_red_md,Size,1438CSD05_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1438CSD05_red_lg,Size,1438CSD05_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1442CSH05_purple_sm,Size,1442CSH05_purple_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
1442CSH05_purple_md,Size,1442CSH05_purple_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
1442CSH05_purple_lg,Size,1442CSH05_purple_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
1442CSH06_blue_sm,Size,1442CSH06_blue_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
1442CSH06_blue_md,Size,1442CSH06_blue_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
1442CSH06_blue_lg,Size,1442CSH06_blue_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
