lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
SHIMMERING COGNAC SUBLIME,4 Level Product Style,SHIMMERING COGNAC SUBLIME,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,SHIMMERING COGNAC SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_3.jpg,3007SAC14_red_3,,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_4.jpg,3007SAC14_red_4,,https://res.cloudinary.com/maaji/image/upload/v1518786916/Summer2018/3060SFA03_3007SDC14_red_5.jpg,3007SAC14_red_5,,https://res.cloudinary.com/maaji/image/upload/v1518786915/Summer2018/3060SFA03_3007SDC14_red_6.jpg,3007SAC14_red_6,,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_7.jpg,3007SAC14_red_7,,https://res.cloudinary.com/maaji/image/upload/v1518786914/Summer2018/3060SFA03_3007SDC14_red_8.jpg,3007SAC14_red_8,,61.12.41.00.00,3007SAC14|3007SBC14|3007SCC14|3007SDC14
DAHLIA RENDEZVOUS,4 Level Product Style,DAHLIA RENDEZVOUS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,DAHLIA RENDEZVOUS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1518788600/Summer2018/3047SFH03_3013SCC03_red_3.jpg,3013SBC03_red_3,,https://res.cloudinary.com/maaji/image/upload/v1518788599/Summer2018/3047SFH03_3013SCC03_red_4.jpg,3013SBC03_red_4,,https://res.cloudinary.com/maaji/image/upload/v1518788601/Summer2018/3047SFH03_3013SCC03_red_5.jpg,3013SBC03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1518788601/Summer2018/3047SFH03_3013SCC03_red_6.jpg,3013SBC03_red_6,,,,,,,,61.12.41.00.00,3013SBC03|3013SCC03
DAHLIA SUBLIME,4 Level Product Style,DAHLIA SUBLIME,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,DAHLIA SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007_SAC15_red_5.jpg,3007SAC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007_SAC15_red_6.jpg,3007SAC15_red_6,,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007SAC15_red_3.jpg,3007SAC15_red_3,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007SAC15_red_4.jpg,3007SAC15_red_4,,https://res.cloudinary.com/maaji/image/upload/v1518803520/Summer2018/3062SBA01_3007_SAC15_red_7.jpg,3007SAC15_red_7,,https://res.cloudinary.com/maaji/image/upload/v1518803519/Summer2018/3062SBA01_3007_SAC15_red_8.jpg,3007SAC15_red_8,,61.12.41.00.00,3007SAC15|3007SBC15|3007SCC15|3007SDC15
CAPE LA VELA,4 Level Product Style,CAPE LA VELA,active,Maaji,SWIMWEAR > WOMENS ONE PIECE/REGULAR RISE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 85%NYLON 12%SPANDEX 1% POLYESTER 1%PET 1%ACRYLIC KNIT,SUMMER,SWIMWEAR,CAPE LA VELA,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517877870/Summer2018/2166SOR01_2166SOH01_red_3.jpg,2166SOR01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517877869/Summer2018/2166SOR01_2166SOH01_red_4.jpg,2166SOH01_red_4,,,,,,,,,,,,,,61.12.41.00.00,2166SOR01|2166SOH01
GUAJIRA PARK,4 Level Product Style,GUAJIRA PARK,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SUMMER,SWIMWEAR,GUAJIRA PARK,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517783371/Summer2018/2153SUN02_2043SBC05_red_3.jpg,2043SBC05_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517783373/Summer2018/2153SUN02_2043SCC05_red_4.jpg,2043SCC05_red_3,,,,,,,,,,,,,,61.12.41.00.00,2043SBC05|2043SCC05
RED LEAVES,4 Level Product Style,RED LEAVES,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 83% NYLON 17% SPANDEX KNIT,SUMMER,SWIMWEAR,RED LEAVES,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517879313/Summer2018/2167SFT01_2168SBC01_red_3.jpg.jpg,2168SBC01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517879308/Summer2018/2167SFT01_2168SCC01_red_4.jpg,2168SBC01_red_4,,,,,,,,,,,,,,61.12.41.00.00,2168SBC01|2168SCC01
CURUBA TROPICA,4 Level Product Style,CURUBA TROPICA,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,CURUBA TROPICA,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517842642/Summer2018/2131SUN02_2062SBC09_red_3.jpg,2062SBC09_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517842643/Summer2018/2131SUN02_2062SCC09_red_4.jpg,2062SBC09_red_4,,,,,,,,,,,,,,61.12.41.00.00,2062SBC09|2062SCC09
CORAL REEF TOUCAN,4 Level Product Style,CORAL REEF TOUCAN,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,CORAL REEF TOUCAN,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517787112/Summer2018/2047SHN03_2024SBC05_red_3.jpg,2024SAC05_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517787111/Summer2018/2047SHN03_2024SBC05_red_4.jpg,2024SAC05_red_4,,,,,,,,,,,,,,61.12.41.00.00,2024SAC05|2024SBC05
FLOWERY KNOTS,4 Level Product Style,FLOWERY KNOTS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,FLOWERY KNOTS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517838639/Summer2018/2169SBA01_2061SBC02_red_3.jpg,2061SBC02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517840649/Summer2018/2169SBA01_2061SCC02_red_4.jpg,2061SBC02_red_4,,https://res.cloudinary.com/maaji/image/upload/v1517838640/Summer2018/2169SBA01_2061SBC02_red_7.jpg,2061SBC02_red_7,,https://res.cloudinary.com/maaji/image/upload/v1517840649/Summer2018/2169SBA01_2061SCC02_red_8.jpg,2061SBC02_red_8,,,,,,,,61.12.41.00.00,2061SBC02|2061SCC02
ANDALUSIA FRILLS,4 Level Product Style,ANDALUSIA FRILLS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SUMMER,SWIMWEAR,ANDALUSIA FRILLS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517881128/Summer2018/2170SSE01_2172SBC01_red_3.jpg,2172SBC01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517880543/Summer2018/2170SSE01_2172SDC01_red_4.jpg,2172SDC01_red_4,,,,,,,,,,,,,,61.12.41.00.00,2172SBC01|2172SDC01
