lv1_code;product_class_name;name;status;brand;category.1.path;category.1.category_set;attribute.country_of_origin.string;attribute.description.html;attribute.saya_collection.single_option;attribute.saya_country.string;attribute.saya_fabric_content.single_option;attribute.saya_group.single_option;attribute.saya_line.single_option;attribute.saya_long_description.html;attribute.saya_occasion.multi_option;attribute.saya_product_department.string;attribute.saya_product_line.single_option;attribute.saya_product_status.string;attribute.saya_reference_product.string;attribute.saya_season.single_option;attribute.saya_short_description.html;attribute.saya_tariff_code.string;variation_children_code
9088KST03;Style;9088KST03;active;Maaji;TRUNKS;default;Colombia;;SUMMER ;Colombia;BOYS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;SPEECHLESS;;BOYS;TRUNKS;active;;2018;PANTALONETAS;6203430000;9088KST03-blue
9088KST02;Style;9088KST02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;BOYS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;BLUE SKY BLUE;;BOYS;TRUNKS;active;;2018;PANTALONETAS;6203430000;9088KST02-red
9086KST03;Style;9086KST03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;BOYS TRUNKS 68% POLYESTER 27% NYLON 3% POLIETILENO 2% ACRYLIC WOVEN;TRUNKS;TRUNKS;BEACH REPEAT;;BOYS;TRUNKS;active;;2018;PANTALONETAS;6203430000;9086KST03-blue
9086KST02;Style;9086KST02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;BOYS TRUNKS 68% POLYESTER 27% NYLON 3% POLIETILENO 2% ACRYLIC WOVEN;TRUNKS;TRUNKS;JOY QUEST;;BOYS;TRUNKS;active;;2018;PANTALONETAS;6203430000;9086KST02-blue
1049TSS04;Style;1049TSS04;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN;TRUNKS;TRUNKS;BEACH REPEAT;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1049TSS04-blue
1049TSS03;Style;1049TSS03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN;TRUNKS;TRUNKS;JOY QUEST;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1049TSS03-blue
1049TSS02;Style;1049TSS02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN;TRUNKS;TRUNKS;CHASING THE WILD;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1049TSS02-red
1046TSF04;Style;1046TSF04;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;SEEK THE SEA;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1046TSF04-purple
1046TSF03;Style;1046TSF03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;SANDED MULTICOLOR;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1046TSF03-blue
1042TRS03;Style;1042TRS03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;SPEECHLESS;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1042TRS03-red
1042TRS02;Style;1042TRS02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;BLUE SKY BLUE;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1042TRS02-black
1041TBS03;Style;1041TBS03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;SOULIOURNER;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1041TBS03-black
1041TBS02;Style;1041TBS02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN;TRUNKS;TRUNKS;OCEANAHOLIC;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1041TBS02-black
1038TSL03;Style;1038TSL03;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 97% NYLON 1% POLYESTER 1% ACRYLIC 1% POLIETILENO WOVEN;TRUNKS;TRUNKS;ADMIRABLE LANDSCAPE;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1038TSL03-red
1038TSL02;Style;1038TSL02;active;Maaji;TRUNKS;default;Colombia;;SUMMER;Colombia;MENS TRUNKS 97% NYLON 1% POLYESTER 1% ACRYLIC 1% POLIETILENO WOVEN;TRUNKS;TRUNKS;THE WANDERERS;;MEN;TRUNKS;active;;2018;PANTALONETAS;6203430000;1038TSL02-blue
